no,media_type,title,place_name,place_type,description,opening_hours,break_time,closed_days,address,latitude,longitude,phone,last_updated,michelin_tier
1,show,1박2일 시즌1,옛날초당순두부,restaurant,글로벌특집 2탄을 촬영한 순두부 맛집,매일 07시  - 21시,정보없음,연중무휴,강원도 강릉시 경포동 운정길 141,37.786707,128.892774,0507-1333-0557,2022-11-18,
2,show,1박2일 시즌1,단천식당,restaurant,1박2일 멤버들이 방문한 순대 맛집,매일 08시 30분 - 19시,15시 30분 - 16시,연중무휴,강원도 속초시 아바이마을길 17,38.202626,128.593672,033-632-7828,2022-11-18,
3,show,1박2일 시즌1,장금성,restaurant,성탄특집을 촬영한 짬뽕 맛집,매일 10시 30분 - 20시 30분,정보없음,"1, 3번째 수요일",강원도 원주시 판부면 치악로 1000,37.274739,128.014985,033-765-1267,2022-11-18,
4,show,1박2일 시즌1,숲속의빈터 방동막국수,restaurant,1박2일 멤버들이 방문한 막국수 맛집,매일 10시 30분 - 20시,15시 20분 - 16시,연중무휴,강원도 인제군 기린면 조침령로 496,37.952463,128.358508,033-461-0419,2022-11-18,
5,show,1박2일 시즌1,현대찜닭,restaurant,경북 안동 특집 중 방문한 찜닭 맛집,매일 10시 - 21시,정보없음,"1, 3번째 월요일 ",경상북도 안동시 번영1길 47,36.56541,128.727802,054-857-2662,2022-11-18,
6,show,1박2일 시즌1,박달식당,restaurant,1박2일 멤버들이 방문한 순대국밥집,화-일 10시 - 21시 ,정보없음,월요일,경상북도 예천군 용궁면 읍부리 397-10,36.607731,128.273585,054-652-0522,2022-11-18,
7,show,1박2일 시즌1,낙영찜갈비 본점,restaurant,강호동과 양준혁이 방문한 찜갈비 맛집,매일 10시 - 21시,정보없음,연중무휴,대구광역시 중구 동덕로36길 9-17,35.8712706,128.6049424,053-423-3330,2022-11-18,
8,show,1박2일 시즌1,청하식당,restaurant,영암편을 촬영한 낙지 맛집,매일 10시 30분 - 18시,정보없음,연중무휴,전라남도 영암군 학산면 독천로 170-1,34.725038,126.567914,061-473-6993,2022-11-18,
9,show,1박2일 시즌1,마라도해녀촌짜장,restaurant,제주도를 가다 편을 촬영한 짜장면 맛집,매일 09시 - 16시,정보없음,연중무휴,제주특별자치도 서귀포시 대정읍 가파리 588,33.119912,126.267075,064-794-0701,2022-11-18,
10,show,1박2일 시즌1,토끼와거북이,restaurant,가파도여행 2편을 촬영한 한식당,매일 08시 - 22시,정보없음,연중무휴,제주특별자치도 제주시 서해안로 498-6,33.518829,126.492183,064-713-4444,2022-11-18,
11,show,1박2일 시즌1,감초식당,restaurant,5대섬 특집편에서 방문한 순대 맛집,매일 11시 30분 - 21시 30분 ,정보없음,"1, 3번째 일요일",제주특별자치도 제주시 이도1동 동광로1길 32,33.503296,126.52777,064-753-7462,2022-11-18,
12,show,1박2일 시즌4,황가네해물짬뽕,restaurant,1박2일 시즌 4 11회차 점심 식사 게임,수-월 10시 - 20시,정보없음,화요일,전라남도 완도군 완도읍 해변공원로 39,34.317521,126.750802,061-552-9300,2022-11-18,
13,show,1박2일 시즌4,충주호유람선,restaurant,1박2일 시즌 2 담양편에 구담봉을 관람했던 곳,매일 09시 - 18시,정보없음,연중무휴,충청북도 단양군 단성면 월악로 3811-19,36.931629,128.253858,043-422-1188,2022-11-18,
14,show,2TV생생정보,고토히라우동,restaurant,2TV생생정보 6회 우동,매일 11시 30분 - 21시,정보없음,연중무휴,서울특별시 마포구 와우산로29길 14-8,37.5550433,126.9291813,02-6487-1678,2022-11-18,
15,show,2TV생생정보,영진항,restaurant,2TV생생정보 1595회 대왕해물철판 맛집,매일 11시 - 22시,정보없음,연중무휴,강원도 강릉시 주문진읍 신리천로 11,37.8859158,128.8289368,033-661-8889,2022-11-18,
16,show,2TV생생정보,고선생 화덕생선구이,restaurant,"2TV생생정보 1553회 화덕생선구이, 통갈치조림 맛집",매일 10시 - 21시 30분,16시 - 17시,연중무휴,강원도 강릉시 해안로 286 2층,37.751853,128.8760574,0507-1373-2741,2022-11-18,
17,show,2TV생생정보,물꼬기,restaurant,2TV생생정보 1588회 생선구이정식 맛집,목-화 11시 30분 - 21시,정보없음,수요일,강원도 삼척시 새천년도로 53-1 1층,37.4385457,129.1873093,,2022-11-18,
18,show,2TV생생정보,왕가수라청,restaurant,2TV생생정보 1647회 황태구이정식 맛집,매일 08시 - 20시,정보없음,연중무휴,강원도 속초시 신흥2길 40,38.2019841,128.5349434,0507-1354-4492,2022-11-18,
19,show,2TV생생정보,범바우막국수 양양본점,restaurant,2TV생생정보 1598회 꾸지뽕막국수 맛집,목-화 08시 30분 - 18시 30분,정보없음,수요일,강원도 양양군 강현면 동해대로 3277-22,38.1328882,128.6188784,033-671-5966,2022-11-18,
20,show,2TV생생정보,수라상,restaurant,"2TV생생정보 1589회 통섭전골, 오징어순대 맛집",목-화 10시 - 20시,15시 - 17시,수요일,강원도 양양군 손양면 수산1길 41,38.0791899,128.6721997,0507-1378-5857,2022-11-18,
21,show,2TV생생정보,비치얼스,restaurant,2TV생생정보 1628회 피자 맛집,매일 11시 - 23시,정보없음,연중무휴,강원도 양양군 현북면 하조대4길 32 3층,38.0223162,128.7229179,0507-1429-1633,2022-11-18,
22,show,2TV생생정보,다하누한우프라자,restaurant,2TV생생정보 1663회 한우 맛집,매일 09시 - 20시,정보없음,연중무휴,강원도 영월군 주천면 도천길 22,37.2787744,128.2573146,0507-1440-2280,2022-11-18,
23,show,2TV생생정보,산촌두부마을,restaurant,2TV생생정보 1575회 두부갈비 맛집,목-화 10시 - 20시,15시 - 17시,수요일,강원도 인제군 북면 원통로 254,38.1251715,128.2113407,033-462-0333,2022-11-18,
24,show,2TV생생정보,인제막국수,restaurant,"2TV생생정보 1619회 메밀옹심이칼국수, 비빔막국수, 감자전 맛집",매일 10시 - 20시,정보없음,연중무휴,강원도 인제군 인제읍 인제로168번길 48-4,38.0639603,128.1719582,033-461-5313,2022-11-18,
25,show,2TV생생정보,임꺽정가든,restaurant,2TV생생정보 1660회 민물매운탕 맛집,수-월 09시 - 20시,15시 40분 - 17시,화요일,강원도 철원군 동송읍 태봉로 1825-6,38.1865639,127.2874501,033-455-3128,2022-11-18,
26,show,2TV생생정보,연사랑,restaurant,2TV생생정보 1592회 돌미나리밥상 맛집,수-월 11시 - 20시,14시 30분 - 17시,화요일,강원도 철원군 철원읍 금학로339번길 12-28,38.2178956,127.2085751,0507-1399-0775,2022-11-18,
27,show,2TV생생정보,해누리,restaurant,"2TV생생정보 1555회 통문어해물찜, 산더미해물탕 맛집",매일 11시 30분 - 22시,정보없음,"1, 3번째 일요일",강원도 춘천시 공지로 345,37.8692607,127.7280439,033-261-8820,2022-11-18,
28,show,2TV생생정보,명가춘천막국수,restaurant,2TV생생정보 1544회 메밀막국수 맛집,매일 10시 - 20시 30분,정보없음,연중무휴,강원도 춘천시 당간지주길 76 1층,37.89222,127.72382,0507-1433-2251,2022-11-18,
29,show,2TV생생정보,우성닭갈비 본점,restaurant,2TV생생정보 1260회 철판닭갈비,수-월 11시 - 21시 50분,평일만 15시 - 17시,화요일,강원도 춘천시 동면 만천양지길 87,37.887309,127.763261,033-242-3833,2022-11-18,
30,show,2TV생생정보,참나무숯불닭갈비,restaurant,2TV생생정보 1649회 맥반석닭갈비 맛집,매일 10시 - 21시,정보없음,연중무휴,강원도 춘천시 신북읍 신샘밭로 715,37.9305019,127.788979,0507-1332-0388,2022-11-18,
31,show,2TV생생정보,승소 닭갈비,restaurant,2TV생생정보 1604회 물닭갈비 맛집,매일 10시 30분 - 21시,정보없음,연중무휴,강원도 태백시 번영로 347,37.1717831,128.9910498,033-552-4040,2022-11-18,
32,show,2TV생생정보,황태회관,restaurant,2TV생생정보 1663회 오삼불고기 맛집,매일 06시 - 23시,정보없음,연중무휴,강원도 평창군 대관령면 눈마을길 19,37.6698745,128.7098617,033-335-5795,2022-11-18,
33,show,2TV생생정보,밥먹을시간,restaurant,2TV생생정보 1606회 더덕오삼불고기 맛집,매일 10시 - 22시,정보없음,연중무휴,강원도 평창군 대관령면 횡계2길 3-7,37.6726963,128.708263,033-336-5533,2022-11-18,
34,show,2TV생생정보,느티나무 돌솥곤드레밥,restaurant,"2TV생생정보 1654회 돌솥곤드레밥, 감자옹심이 맛집","화-금 10시 30분 - 18시, 주말 11시 - 18시",정보없음,월요일,강원도 홍천군 영귀미면 수타사로 380,37.6937337,127.9552314,0507-1466-7557,2022-11-18,
35,show,2TV생생정보,무궁화화로숯불구이,restaurant,"2TV생생정보 1665회 고추장삼겹살, 막국수 맛집",수-월 09시 - 21시,정보없음,화요일,강원도 홍천군 홍천읍 양지말길 3,37.6589297,127.8298349,033-435-6954,2022-11-18,
36,show,2TV생생정보,식당별하 버섯요리전문점,restaurant,2TV생생정보 1659회 버섯전골 맛집,매일 11시 - 20시,정보없음,"2, 4번째 화요일",강원도 홍천군 화촌면 홍천로 1134,37.7403398,127.9412654,033-432-5552,2022-11-18,
37,show,2TV생생정보,북한강횟집,restaurant,2TV생생정보 1580회 산천어요리 맛집,매일 10시 30분 - 21시,정보없음,연중무휴,강원도 화천군 화천읍 중앙로 12-10,38.1042779,127.7051239,033-442-5750,2022-11-18,
38,show,2TV생생정보,화천손만두,restaurant,2TV생생정보 1580회 고추장떡 맛집,매일 08시 - 20시,정보없음,연중무휴,강원도 화천군 화천읍 중앙로4길 12,38.104047,127.7053974,033-442-2629,2022-11-18,
39,show,2TV생생정보,반길이국밥,restaurant,"2TV생생정보 1618회 한우국밥, 잣수육무침 맛집",화-일 08시 - 15시,정보없음,월요일,경기도 가평군 상면 조종로 1808,37.8049606,127.3570731,031-584-4800,2022-11-18,
40,show,2TV생생정보,축령가든,restaurant,2TV생생정보 1665회 한정식 맛집,정보없음,정보없음,정보없음,경기도 가평군 상면 축령로45번길 114-3,37.7659297,127.3620947,031-585-5858,2022-11-18,
