"연번","미디어타입","제목","장소명","장소타입","장소설명","영업시간","브레이크타임","휴무일","주소","위도","경도","전화번호","최종작성일"
"15273","guide","미슐랭 가이드 2025","이목 스모크다이닝","restaurant","미슐랭 셀렉티드 레스토랑.","정보없음","정보없음","정보없음","강남구 압구정로 2길 6 ,지하1층","37.5211262","127.0191253","+82 50-71341-4729","2026-01-29"
"15274","guide","미슐랭 가이드 2025","뫼밀집","restaurant","미슐랭 셀렉티드 레스토랑.","정보없음","정보없음","정보없음","해운대구 마린시티 3로 23, 오렌지 프라자 2층","35.1566471","129.1469306","+82 51-744-9944","2026-01-29"
"15275","guide","미슐랭 가이드 2025","오리지널 넘버스","restaurant","미슐랭 셀렉티드 레스토랑.","정보없음","정보없음","정보없음","강남구 도산대로 55길 24","37.5250958","127.0407378","+82 2-545-1777","2026-01-29"
"15276","guide","미슐랭 가이드 2025","진돼지곰탕","restaurant","미슐랭 셀렉티드 레스토랑.","정보없음","정보없음","정보없음","수영구 광안해변로 284번길 4, 2층","35.1557386","129.1247437","+82 50-71468-1634","2026-01-29"
"15277","guide","미슐랭 가이드 2025","평산옥","restaurant","미슐랭 셀렉티드 레스토랑.","정보없음","정보없음","정보없음","동구 초량중로 26","35.1142900","129.0371019","+82 51-468-6255","2026-01-29"
"15278","guide","미슐랭 가이드 2025","안덕","restaurant","미슐랭 셀렉티드 레스토랑.","정보없음","정보없음","정보없음","종로구 자하문로 17길 18","37.5814872","126.9696752","+82 2-723-1518","2026-01-29"
"15279","guide","미슐랭 가이드 2025","꼴라쥬","restaurant","미슐랭 셀렉티드 레스토랑.","정보없음","정보없음","정보없음","강남구 논현로 136길 11, 아난티 앳 강남 2층","37.5162328","127.0310428","+82 2-2190-4112","2026-01-29"
"15280","guide","미슐랭 가이드 2025","명보당","restaurant","미슐랭 셀렉티드 레스토랑.","정보없음","정보없음","정보없음","강남구 선릉로 158길 13-12, 3층","37.5261338","127.0414897","+82 2-511-5046","2026-01-29"
"15281","guide","미슐랭 가이드 2025","레스토랑 산","restaurant","미슐랭 셀렉티드 레스토랑.","정보없음","정보없음","정보없음","강남구 언주로 168길 6, 지하1층","37.5263391","127.0339387","+82-2-540-1729","2026-01-29"
"15282","guide","미슐랭 가이드 2025","마츠자키","restaurant","미슐랭 셀렉티드 레스토랑.","정보없음","정보없음","정보없음","수영구 수영로 582번길 10","35.1574277","129.1136243","+82 10-9433-4065","2026-01-29"
"15283","guide","미슐랭 가이드 2025","송헌집","restaurant","미슐랭 셀렉티드 레스토랑.","정보없음","정보없음","정보없음","수영구 민락로 19번길 18","35.1565547","129.1214394","+82 51-711-4648","2026-01-29"
"15284","guide","미슐랭 가이드 2025","1969 부원동 칼국수","restaurant","미슐랭 셀렉티드 레스토랑.","정보없음","정보없음","정보없음","중구 구덕로 22번길 3","35.0979335","129.0331503","+82 51-242-9909","2026-01-29"
"15285","guide","미슐랭 가이드 2025","미락슈퍼","restaurant","미슐랭 셀렉티드 레스토랑.","정보없음","정보없음","정보없음","수영구 민락본동로 31번길 46","35.1589258","129.1259698","+82 50-71371-3318","2026-01-29"
"15286","guide","미슐랭 가이드 2025","잔둔가","restaurant","미슐랭 셀렉티드 레스토랑.","정보없음","정보없음","정보없음","부산진구 동천로 108번길 41","35.1583936","129.0644337","+82 50-71399-9208","2026-01-29"
"15287","guide","미슐랭 가이드 2025","이안","restaurant","미슐랭 셀렉티드 레스토랑.","정보없음","정보없음","정보없음","해운대구 달맞이길 65번길 88","35.1587379","129.1758550","+82 50-71480-1465","2026-01-29"
"15288","guide","미슐랭 가이드 2025","3대 삼계장인","restaurant","미슐랭 셀렉티드 레스토랑.","정보없음","정보없음","정보없음","서초구 반포대로 28길 56-3","37.4913028","127.0115914","+82 50-71465-2294","2026-01-29"
"15289","guide","미슐랭 가이드 2025","소넷","restaurant","미슐랭 셀렉티드 레스토랑.","정보없음","정보없음","정보없음","강남구 선릉로 157길 33, 3층","37.5262952","127.0370630","+82 2-6953-5999","2026-01-29"
"15290","guide","미슐랭 가이드 2025","묵정","restaurant","미슐랭 셀렉티드 레스토랑.","정보없음","정보없음","정보없음","중구 퇴계로48길 17","37.5618161","127.0005226","+82 10-8350-6743","2026-01-29"
"15291","guide","미슐랭 가이드 2025","샤콘느","restaurant","미슐랭 셀렉티드 레스토랑.","정보없음","정보없음","정보없음","강남구 논현로 97길 23 역삼힐스 102동 1층","37.5027377","127.0337653","+82 10-2693-6392","2026-01-29"
