"연번","미디어타입","제목","장소명","장소타입","장소설명","영업시간","브레이크타임","휴무일","주소","위도","경도","전화번호","최종작성일"
"16000","show","흑백요리사 시즌1","윤서울","restaurant","흑백요리사 시즌1 참가. 쉐프: 김도윤","정보없음","정보없음","정보없음","서울 강남구 선릉로 805","37.5241350","127.0389980","정보없음","2026-01-29"
"16001","show","흑백요리사 시즌1","모리노아루요","restaurant","흑백요리사 시즌1 참가. 쉐프: 김승민","정보없음","정보없음","정보없음","제주 제주시 애월읍 하소로 769-58","33.4186632","126.4010728","정보없음","2026-01-29"
"16002","show","흑백요리사 시즌1","로컬릿","restaurant","흑백요리사 시즌1 참가. 쉐프: 남정석","정보없음","정보없음","정보없음","서울 성동구 한림말길 33","37.5409746","127.0147495","정보없음","2026-01-29"
"16003","show","흑백요리사 시즌1","그린볼","restaurant","흑백요리사 시즌1 참가. 쉐프: 남정석","정보없음","정보없음","정보없음","강원 강릉시 산양큰길22번길 30","37.7787343","128.9174958","정보없음","2026-01-29"
"16004","show","흑백요리사 시즌1","카페 오쁘띠베르","restaurant","흑백요리사 시즌1 참가. 쉐프: 박준우","정보없음","정보없음","정보없음","서울 종로구 자하문로 47-1","37.5802707","126.9710002","정보없음","2026-01-29"
"16005","show","흑백요리사 시즌1","깃든","restaurant","흑백요리사 시즌1 참가. 쉐프: 방기수","정보없음","정보없음","정보없음","서울 강북구 월계로7나길 46-5","37.6132702","127.0316957","정보없음","2026-01-29"
"16006","show","흑백요리사 시즌1","가매일식","restaurant","흑백요리사 시즌1 참가. 쉐프: 안유성","정보없음","정보없음","정보없음","광주광역시 서구 상무대로 1104-26","35.1525099","126.8838142","정보없음","2026-01-29"
"16007","show","흑백요리사 시즌1","광주옥1947","restaurant","흑백요리사 시즌1 참가. 쉐프: 안유성","정보없음","정보없음","정보없음","광주광역시 서구 상무대로 1104-20","35.1524831","126.8835687","정보없음","2026-01-29"
"16008","show","흑백요리사 시즌1","장수나주곰탕","restaurant","흑백요리사 시즌1 참가. 쉐프: 안유성","정보없음","정보없음","정보없음","광주광역시 서구 대남대로487번길 14","35.1516593","126.8841531","정보없음","2026-01-29"
"16009","show","흑백요리사 시즌1","홍보각","restaurant","흑백요리사 시즌1 참가. 쉐프: 여경래","정보없음","정보없음","정보없음","서울 강남구 봉은사로 130","37.5052988","127.0289651","정보없음","2026-01-29"
"16010","show","흑백요리사 시즌1","친밀 제주","restaurant","흑백요리사 시즌1 참가. 쉐프: 오세득","정보없음","정보없음","정보없음","제주 제주시 조천읍 남조로 1781","33.4269266","126.6736656","정보없음","2026-01-29"
"16011","show","흑백요리사 시즌1","오팬파이어","restaurant","흑백요리사 시즌1 참가. 쉐프: 오세득","정보없음","정보없음","정보없음","제주 제주시 조천읍 남조로 1781","33.4269266","126.6736656","정보없음","2026-01-29"
"16012","show","흑백요리사 시즌1","나경버섯농가","restaurant","흑백요리사 시즌1 참가. 쉐프: 이영숙","정보없음","정보없음","정보없음","충남 부여군 석성면 비당로109번길 100","36.2180984","127.0061563","정보없음","2026-01-29"
"16013","show","흑백요리사 시즌1","610 Magnolia","restaurant","흑백요리사 시즌1 참가. 쉐프: 에드워드 리","정보없음","정보없음","정보없음","610 W Magnolia Ave, Louisville, KY, USA","0.0","0.0","정보없음","2026-01-29"
