id,sector,title,name,type,chef,address,lat,lng,date,area,user_score,review_cnt
1,맛있는녀석들,맛있는녀석들,백토미가,"집밥, 시래기불고기",,,,,2026-02-01,양구,3.9,3
2,맛있는녀석들,맛있는녀석들,40년전통오미냉면,"냉면, 명태회냉면",,,,,2026-02-01,고성,4.4,19
3,맛있는녀석들,맛있는녀석들,자작나무집,"황태정식, 민물매운탕",,,,,2026-02-01,인제,4.4,8
4,맛있는녀석들,맛있는녀석들,대월오골계,"숯불구이, 오골계",,,,,2026-02-01,양구,3.4,4
5,맛있는녀석들,맛있는녀석들,원조숯불닭불고기,"닭갈비, 숯불닭갈비",,,,,2026-02-01,춘천,4.3,56
6,맛있는녀석들,맛있는녀석들,폭포가든,"매운탕, 민물매운탕",,,,,2026-02-01,철원,4.0,1
7,맛있는녀석들,맛있는녀석들,백담황태구이,"황태해장국, 황태구이",,,,,2026-02-01,인제,3.9,2
8,맛있는녀석들,맛있는녀석들,현대장칼국수,장칼국수,,,,,2026-02-01,강릉,4.0,56
9,맛있는녀석들,맛있는녀석들,간성동해반점,"짬뽕, 차돌짬뽕",,,,,2026-02-01,고성,4.0,1
10,맛있는녀석들,맛있는녀석들,솔향기,"만두국, 만두전골",,,,,2026-02-01,철원,4.5,24
11,맛있는녀석들,맛있는녀석들,진양횟집,"물회, 오징어순대",,,,,2026-02-01,속초,4.3,8
12,맛있는녀석들,맛있는녀석들,동화가든,"짬뽕순두부, 청국장",,,,,2026-02-01,본점,4.3,304
13,맛있는녀석들,맛있는녀석들,동명항대게마을,"대게, 대게찜",,,,,2026-02-01,속초,3.5,4
14,맛있는녀석들,맛있는녀석들,통나무집닭갈비,"닭갈비, 철판닭갈비",,,,,2026-02-01,춘천,4.4,148
15,맛있는녀석들,맛있는녀석들,내대막국수,"막국수, 편육",,,,,2026-02-01,철원,4.4,9
16,맛있는녀석들,맛있는녀석들,샘밭막국수,"막국수, 순메밀막국수",,,,,2026-02-01,본점,3.9,32
17,맛있는녀석들,맛있는녀석들,대원당,빵,,,,,2026-02-01,춘천,3.8,30
18,맛있는녀석들,맛있는녀석들,명가막국수,"막국수, 감자부침",,,,,2026-02-01,춘천,4.1,16
19,맛있는녀석들,맛있는녀석들,동명항 생선숯불구이,생선구이,,,,,2026-02-01,속초,4.2,25
20,맛있는녀석들,맛있는녀석들,속초우리왕만두,"만두, 고기왕만두",,,,,2026-02-01,속초,,
21,맛있는녀석들,맛있는녀석들,터미널기사님식당,"백반, 기사식당",,,,,2026-02-01,양양,,
22,맛있는녀석들,맛있는녀석들,양지말 화로구이,"고추장삼겹살, 화로구이",,,,,2026-02-01,홍천,4.4,55
23,맛있는녀석들,맛있는녀석들,청초수물회,"물회, 해전물회",,,,,2026-02-01,본점,4.1,246
24,맛있는녀석들,맛있는녀석들,요기국수김밥,"김밥, 홍게",,,,,2026-02-01,속초,,
25,맛있는녀석들,맛있는녀석들,최대섭 대박김밥,"김밥, 명태",,,,,2026-02-01,속초,4.3,17
26,맛있는녀석들,맛있는녀석들,사돈집,"물곰탕, 가자미조림",,,,,2026-02-01,속초,4.6,29
27,맛있는녀석들,맛있는녀석들,동명항게찜본점,"대게, 게찜",,,,,2026-02-01,속초,4.4,2
28,맛있는녀석들,맛있는녀석들,다이닝조개,"조개구이, 조개찜",,,,,2026-02-01,강릉,4.0,17
29,맛있는녀석들,맛있는녀석들,광주빛고을식당,"물곰탕, 생선구이",,,,,2026-02-01,양양,2.7,7
30,맛있는녀석들,맛있는녀석들,속초대게나라홍게마을,"대게, 홍게",,,,,2026-02-01,속초,,
31,맛있는녀석들,맛있는녀석들,찜대감,"생선조림, 가오리찜",,,,,2026-02-01,강릉,2.6,8
32,맛있는녀석들,맛있는녀석들,고선생 화덕생선구이,"생선구이, 솥밥",,,,,2026-02-01,강릉,4.0,16
33,맛있는녀석들,맛있는녀석들,마당예쁜집,"한식, 전골",,,,,2026-02-01,철원,,
34,맛있는녀석들,맛있는녀석들,카페속초에살다,"카페, 빵",,,,,2026-02-01,속초,,
