id,sector,title,name,type,chef,address,lat,lng,date,area,user_score,review_cnt
1,맛있는녀석들,맛있는녀석들,고려분식,"분식, 수제군만두",,,,,2026-02-01,상주,4.1,11
2,맛있는녀석들,맛있는녀석들,안동신세계찜닭,"찜닭, 쪼림닭",,,,,2026-02-01,안동,3.7,19
3,맛있는녀석들,맛있는녀석들,소문난할매국밥집,"국밥, 돼지국밥",,,,,2026-02-01,고령,4.1,6
4,맛있는녀석들,맛있는녀석들,내호냉면,"밀면, 비빔밀면",,,,,2026-02-01,문현동,4.1,22
5,맛있는녀석들,맛있는녀석들,할매닭발,"닭발, 닭목살",,,,,2026-02-01,의성,4.6,5
6,맛있는녀석들,맛있는녀석들,모리칼국수,"동태탕, 모리국수",,,,,2026-02-01,포항,3.5,7
7,맛있는녀석들,맛있는녀석들,할매우짜,"우짜, 빼떼기죽",,,,,2026-02-01,통영,3.8,10
8,맛있는녀석들,맛있는녀석들,동흥식당,"재첩, 재첩국",,,,,2026-02-01,하동,3.0,1
9,맛있는녀석들,맛있는녀석들,의성마늘소 덕향,"한우, 백반",,,,,2026-02-01,의성,4.8,7
10,맛있는녀석들,맛있는녀석들,대동할매국수,"국수, 물국수",,,,,2026-02-01,김해,4.0,16
11,맛있는녀석들,맛있는녀석들,우리식당,"멸치쌈밥, 멸치회무침",,,,,2026-02-01,남해,4.0,27
12,맛있는녀석들,맛있는녀석들,구기영조방낙지,"낙곱새, 낙지볶음",,,,,2026-02-01,명장역,4.0,7
13,맛있는녀석들,맛있는녀석들,부산안면옥,평양냉면,,,,,2026-02-01,대구중구,4.2,27
14,맛있는녀석들,맛있는녀석들,완벽한인생,"수제맥주, 독일",,,,,2026-02-01,남해,3.5,14
15,맛있는녀석들,맛있는녀석들,수양식당,"백반, 회백반",,,,,2026-02-01,경남고성,4.5,4
16,맛있는녀석들,맛있는녀석들,남도횟집,"횟집, 무침회",,,,,2026-02-01,대구중구,4.9,4
17,맛있는녀석들,맛있는녀석들,운수대통,"한우, 돼지갈비",,,,,2026-02-01,경주,4.5,3
18,맛있는녀석들,맛있는녀석들,설송식당,"참게탕, 은어회",,,,,2026-02-01,하동,,
19,맛있는녀석들,맛있는녀석들,송정3대국밥,"돼지국밥, 수육",,,,,2026-02-01,서면,4.0,45
20,맛있는녀석들,맛있는녀석들,뚱보할매김밥,"충무김밥, 오징어무침",,,,,2026-02-01,통영,3.6,34
21,맛있는녀석들,맛있는녀석들,엘토로 원조 구룡포 과메기,"과메기, 꽁치",,,,,2026-02-01,포항,4.7,4
22,맛있는녀석들,맛있는녀석들,김정식의삼일뒷고기,"뒷고기, 고깃집",,,,,2026-02-01,김해,4.3,5
23,맛있는녀석들,맛있는녀석들,개미집,"낙곱새, 낙곱새볶음",,,,,2026-02-01,서면점,4.2,42
24,맛있는녀석들,맛있는녀석들,사랑방,"조개구이, 조개구이전문",,,,,2026-02-01,태종대,3.8,9
25,맛있는녀석들,맛있는녀석들,목마식당,"석쇠불고기, 청국장",,,,,2026-02-01,구미,5.0,1
26,맛있는녀석들,맛있는녀석들,장성향,"짜장면, 군만두",,,,,2026-02-01,부산역,4.3,24
27,맛있는녀석들,맛있는녀석들,속씨원한대구탕,"대구탕, 알말이",,,,,2026-02-01,해운대본점,4.1,32
28,맛있는녀석들,맛있는녀석들,조조칼국수,"칼국수, 동죽칼국수",,,,,2026-02-01,본점,4.3,27
29,맛있는녀석들,맛있는녀석들,동래할매파전,"파전, 동동주",,,,,2026-02-01,동래,3.8,5
30,맛있는녀석들,맛있는녀석들,낙영찜갈비,"찜갈비, 한우",,,,,2026-02-01,본관,3.7,21
31,맛있는녀석들,맛있는녀석들,나폴리,"화덕피자, 나폴리피자",,,,,2026-02-01,하동,5.0,1
32,맛있는녀석들,맛있는녀석들,교리김밥,"김밥, 계란",,,,,2026-02-01,본점,3.4,101
33,맛있는녀석들,맛있는녀석들,상주축협 명실상감한우홍보테마타운,"갈비탕, 한우탕",,,,,2026-02-01,상주,4.2,8
34,맛있는녀석들,맛있는녀석들,울산식당,"집밥, 유기농",,,,,2026-02-01,경주,5.0,2
35,맛있는녀석들,맛있는녀석들,무주무손국수,"안동국시, 콩국수",,,,,2026-02-01,안동,,
36,맛있는녀석들,맛있는녀석들,맘모스베이커리,"빵, 크림치즈빵",,,,,2026-02-01,안동,4.0,53
37,맛있는녀석들,맛있는녀석들,울산다찌집,"해산물, 다찌",,,,,2026-02-01,통영,3.0,1
38,맛있는녀석들,맛있는녀석들,영도해녀촌,"해산물, 성게알",,,,,2026-02-01,영도,4.3,10
