id,sector,title,name,type,chef,address,lat,lng,date,area,user_score,review_cnt
1,맛있는녀석들,맛있는녀석들,오복가정식,"백반, 가정식백반",,,,,2026-02-01,상암,4.2,4
2,맛있는녀석들,맛있는녀석들,아소정,"함흥냉면, 갈비찜",,,,,2026-02-01,공덕,4.1,24
3,맛있는녀석들,맛있는녀석들,광주식당,"청국장, 오징어볶음",,,,,2026-02-01,청량리,4.0,40
4,맛있는녀석들,맛있는녀석들,가나점보돈가스,돈까스,,,,,2026-02-01,면목동,4.1,8
5,맛있는녀석들,맛있는녀석들,일미식당,"백반, 청국장",,,,,2026-02-01,낙원상가,4.0,27
6,맛있는녀석들,맛있는녀석들,동경전통육개장 설곰탕,"육개장, 백반",,,,,2026-02-01,강남역,3.2,16
7,맛있는녀석들,맛있는녀석들,한강껍데기,"삼겹살, 껍데기",,,,,2026-02-01,망원동,4.6,33
8,맛있는녀석들,맛있는녀석들,김영자 나주곰탕,"곰탕, 수육",,,,,2026-02-01,신림,4.2,8
9,맛있는녀석들,맛있는녀석들,장지녕 간장게장,"게장정식, 꼬막무침",,,,,2026-02-01,한남동,4.4,13
10,맛있는녀석들,맛있는녀석들,호남식당,"갈치, 갈치조림",,,,,2026-02-01,남대문시장,3.5,9
11,맛있는녀석들,맛있는녀석들,다락정,"만두국, 만두전골",,,,,2026-02-01,삼청동,3.4,9
12,맛있는녀석들,맛있는녀석들,봉자마라탕,마라탕,,,,,2026-02-01,건대,3.9,14
13,맛있는녀석들,맛있는녀석들,초롱이고모부대찌개,"부대찌개, 부대전골",,,,,2026-02-01,암사,4.4,12
14,맛있는녀석들,맛있는녀석들,장모님해장국,"해장국, 선지",,,,,2026-02-01,구기동,4.3,13
15,맛있는녀석들,맛있는녀석들,길풍식당,"꼬리곰탕, 꼬리찜",,,,,2026-02-01,선유도역,4.1,7
16,맛있는녀석들,맛있는녀석들,자연석돌구이,"대패삼겹살, 오징어불고기",,,,,2026-02-01,논현동,4.2,12
17,맛있는녀석들,맛있는녀석들,와글와글 족발,"족발, 야채비빔밥",,,,,2026-02-01,동대문,4.7,8
18,맛있는녀석들,맛있는녀석들,빅토리아,"등갈비, 등갈비찜",,,,,2026-02-01,응암동,4.4,6
19,맛있는녀석들,맛있는녀석들,김선생조개찜,"조개찜, 문어",,,,,2026-02-01,신논현역,4.3,9
20,맛있는녀석들,맛있는녀석들,사대분식,"집밥, 섞어찌개",,,,,2026-02-01,어린이대공원역,4.4,3
21,맛있는녀석들,맛있는녀석들,전주식당,"생선구이, 솥밥",,,,,2026-02-01,종로3가,4.1,10
22,맛있는녀석들,맛있는녀석들,웰빙김치찜,"김치찜, 계란말이",,,,,2026-02-01,공덕,4.5,11
23,맛있는녀석들,맛있는녀석들,북촌김치재,"김치찌개, 묵은지갈비찜",,,,,2026-02-01,안국역,3.8,21
24,맛있는녀석들,맛있는녀석들,미정이네식당,"코다리, 코다리찜",,,,,2026-02-01,성수,4.4,4
25,맛있는녀석들,맛있는녀석들,군자네,"김치찜, 고등어김치찜",,,,,2026-02-01,대흥역,4.1,8
26,맛있는녀석들,맛있는녀석들,은성보쌈,"보쌈, 삼겹보쌈",,,,,2026-02-01,금남시장,3.8,12
27,맛있는녀석들,맛있는녀석들,충무집,"횟집, 도다리쑥국",,,,,2026-02-01,을지로입구역,4.0,18
