id,sector,title,name,type,chef,address,lat,lng,date,area,user_score,review_cnt
1,맛있는녀석들,맛있는녀석들,화정떡갈비,"떡갈비, 뼈국",,,,,2026-02-01,광주송정역,4.5,24
2,맛있는녀석들,맛있는녀석들,천담집,"다슬기, 다슬기탕",,,,,2026-02-01,임실,4.7,5
3,맛있는녀석들,맛있는녀석들,독천식당,"낙지, 갈낙탕",,,,,2026-02-01,영암,4.5,9
4,맛있는녀석들,맛있는녀석들,민속촌,"돼지갈비, 돌판비빔밥",,,,,2026-02-01,영광점,4.7,2
5,맛있는녀석들,맛있는녀석들,순천만가든,"꼬막, 꼬막정식",,,,,2026-02-01,순천,3.5,12
6,맛있는녀석들,맛있는녀석들,소룡각,"짬뽕, 탕수육",,,,,2026-02-01,익산,3.4,4
7,맛있는녀석들,맛있는녀석들,초가정담,"더덕구이, 등갈비",,,,,2026-02-01,진안,4.0,14
8,맛있는녀석들,맛있는녀석들,진솔통닭,"닭, 토종닭",,,,,2026-02-01,해남,4.2,6
9,맛있는녀석들,맛있는녀석들,새만금횟집,"횟집, 박대구이",,,,,2026-02-01,군산,3.5,5
10,맛있는녀석들,맛있는녀석들,산들엄니밥상,한식,,,,,2026-02-01,진안,5.0,2
11,맛있는녀석들,맛있는녀석들,청룡식당,"재첩, 재첩국",,,,,2026-02-01,광양,4.6,13
12,맛있는녀석들,맛있는녀석들,하당먹거리,"산낙지, 낙지탕탕이",,,,,2026-02-01,목포,4.2,44
13,맛있는녀석들,맛있는녀석들,씨엘비베이커리,"빵, 새우바게트",,,,,2026-02-01,목포,4.0,87
14,맛있는녀석들,맛있는녀석들,당치민박산장,"산닭구이, 닭구이",,,,,2026-02-01,구례,4.6,6
15,맛있는녀석들,맛있는녀석들,전주물갈비,"물갈비, 볶음밥",,,,,2026-02-01,전주,,
16,맛있는녀석들,맛있는녀석들,금목서 광양불고기,광양불고기,,,,,2026-02-01,광양,4.2,18
17,맛있는녀석들,맛있는녀석들,영미오리탕,"오리고기, 오리탕",,,,,2026-02-01,본점,4.2,40
18,맛있는녀석들,맛있는녀석들,바다동산,"톳밥, 매생이국",,,,,2026-02-01,해남,,
19,맛있는녀석들,맛있는녀석들,소래기냉면,"곰탕, 수육무침",,,,,2026-02-01,목포,4.1,12
20,맛있는녀석들,맛있는녀석들,한일옥,"한우, 무국",,,,,2026-02-01,군산,4.2,118
21,맛있는녀석들,맛있는녀석들,양지가든,"짱뚱어탕, 짱뚱어",,,,,2026-02-01,영암,,
22,맛있는녀석들,맛있는녀석들,빈해원,"짬뽕, 물짜장",,,,,2026-02-01,군산,3.7,49
23,맛있는녀석들,맛있는녀석들,수협회센타,"횟집, 해초비빔밥",,,,,2026-02-01,완도,,
24,맛있는녀석들,맛있는녀석들,궁전제과,"빵, 나비파이",,,,,2026-02-01,충장점,4.2,49
25,맛있는녀석들,맛있는녀석들,조점례 남문피순대,"순대국, 피순대",,,,,2026-02-01,전주,4.1,137
26,맛있는녀석들,맛있는녀석들,고궁,"비빔밥, 떡갈비",,,,,2026-02-01,전주본점,4.0,27
27,맛있는녀석들,맛있는녀석들,이성당,"베이커리카페, 카페",,,,,2026-02-01,군산,4.2,168
28,맛있는녀석들,맛있는녀석들,미락식당,"꽃게탕, 꽃게살비빔밥",,,,,2026-02-01,목포,4.3,8
29,맛있는녀석들,맛있는녀석들,화덕쿡,화덕피자,,,,,2026-02-01,임실,4.5,2
