id,sector,title,name,type,chef,address,lat,lng,date,area,user_score,review_cnt
1,맛있는녀석들,맛있는녀석들,산밑할머니묵집,"보리밥, 묵사발",,,,,2026-02-01,대전관평동,3.9,6
2,맛있는녀석들,맛있는녀석들,짜글짜글,"짜글이, 볶음",,,,,2026-02-01,제천,3.9,6
3,맛있는녀석들,맛있는녀석들,서유기짬뽕,"짜장면, 쟁반짜장",,,,,2026-02-01,삽교호,4.3,12
4,맛있는녀석들,맛있는녀석들,청화집,"순대국, 병천순대",,,,,2026-02-01,천안,4.4,39
5,맛있는녀석들,맛있는녀석들,삽다리곱창,"곱창, 곱창전골",,,,,2026-02-01,홍성,4.3,4
6,맛있는녀석들,맛있는녀석들,천등산 염소마을,"흑염소전골, 염소고기",,,,,2026-02-01,충주,4.2,2
7,맛있는녀석들,맛있는녀석들,강경해물칼국수,"칼국수, 굴칼국수",,,,,2026-02-01,논산,4.0,12
8,맛있는녀석들,맛있는녀석들,찐한식당,"어죽, 생선국수",,,,,2026-02-01,옥천,4.4,10
9,맛있는녀석들,맛있는녀석들,남당리수산,"새조개, 새조개샤브샤브",,,,,2026-02-01,남당항,3.0,1
10,맛있는녀석들,맛있는녀석들,회정식 어랑어랑,"물회, 꽃게탕",,,,,2026-02-01,보령,5.0,1
11,맛있는녀석들,맛있는녀석들,태조석갈비,"석갈비, 돼지석갈비",,,,,2026-02-01,천안,3.5,11
12,맛있는녀석들,맛있는녀석들,진로집,"두부두루치기, 수육",,,,,2026-02-01,대전대흥동,4.3,91
13,맛있는녀석들,맛있는녀석들,내당한우,"한우, 소고기",,,,,2026-02-01,홍성,4.3,11
14,맛있는녀석들,맛있는녀석들,오천항수산물판매센터,"조개구이, 키조개",,,,,2026-02-01,2호점,5.0,1
15,맛있는녀석들,맛있는녀석들,원조뚝배기식당,게국지,,,,,2026-02-01,태안,4.5,7
16,맛있는녀석들,맛있는녀석들,대선칼국수,"칼국수, 수육",,,,,2026-02-01,본점,4.3,73
17,맛있는녀석들,맛있는녀석들,유가네칼국수,"칼국수, 해물칼국수",,,,,2026-02-01,공주,4.3,10
18,맛있는녀석들,맛있는녀석들,청주해장국,"해장국, 소고기해장국",,,,,2026-02-01,유성본점,3.6,7
19,맛있는녀석들,맛있는녀석들,오시오칼국수,"칼국수, 샤브칼국수",,,,,2026-02-01,대전,4.1,8
20,맛있는녀석들,맛있는녀석들,황산옥,"복어, 복탕",,,,,2026-02-01,논산,,
21,맛있는녀석들,맛있는녀석들,종가면옥,"냉면, 물냉면",,,,,2026-02-01,본점,4.1,23
22,맛있는녀석들,맛있는녀석들,태평소국밥,"국밥, 소국밥",,,,,2026-02-01,봉명점,4.4,89
23,맛있는녀석들,맛있는녀석들,오씨칼국수,"칼국수, 손칼국수",,,,,2026-02-01,본점,4.5,106
24,맛있는녀석들,맛있는녀석들,산아래,"한정식, 유기농",,,,,2026-02-01,제천,3.9,14
25,맛있는녀석들,맛있는녀석들,대한횟집 만세튀김,"해산물, 튀김",,,,,2026-02-01,태안,3.8,17
26,맛있는녀석들,맛있는녀석들,숯골원냉면,"평양냉면, 꿩냉면",,,,,2026-02-01,신성동,4.1,58
27,맛있는녀석들,맛있는녀석들,성심당,"빵, 튀김소보로",,,,,2026-02-01,본점,4.6,297
