id,sector,title,name,type,chef,address,lat,lng,date,area,user_score,review_cnt
1,백종원의3대천왕,백종원의3대천왕,재기돼지국밥,돼지국밥,,,,,2026-02-01,영도,4.3,23
2,백종원의3대천왕,백종원의3대천왕,내호냉면,"밀면, 비빔밀면",,,,,2026-02-01,문현동,4.1,22
3,백종원의3대천왕,백종원의3대천왕,이가네 떡볶이,떡볶이,,,,,2026-02-01,국제시장,4.1,82
4,백종원의3대천왕,백종원의3대천왕,원조 깡통골목 비빔당면,"비빔당면, 김밥",,,,,2026-02-01,부평동,3.6,6
5,백종원의3대천왕,백종원의3대천왕,맛나기사식당,"대구탕, 기사식당",,,,,2026-02-01,동아대,3.5,4
6,백종원의3대천왕,백종원의3대천왕,소문난 원조조방낙지,"낙곱새, 낙지",,,,,2026-02-01,동래,4.4,21
7,백종원의3대천왕,백종원의3대천왕,거인통닭,"치킨, 통닭",,,,,2026-02-01,동아대,4.1,16
8,백종원의3대천왕,백종원의3대천왕,원조부산족발,냉채족발,,,,,2026-02-01,자갈치역,3.6,41
9,백종원의3대천왕,백종원의3대천왕,바다집,"수중전골, 낙지볶음",,,,,2026-02-01,남포동,3.9,15
10,백종원의3대천왕,백종원의3대천왕,대남포장집,"문어, 문어숙회",,,,,2026-02-01,경성대,4.5,3
11,백종원의3대천왕,백종원의3대천왕,기장손칼국수,"칼국수, 손칼국수",,,,,2026-02-01,서면,4.0,72
12,백종원의3대천왕,백종원의3대천왕,간판없는김치찌개,"김치찌개, 보리밥",,,,,2026-02-01,부산부평동,4.2,2
13,백종원의3대천왕,백종원의3대천왕,부광돼지국밥,"돼지국밥, 국밥",,,,,2026-02-01,부산중앙동,3.9,9
14,백종원의3대천왕,백종원의3대천왕,회국수할매집,"국수, 회국수",,,,,2026-02-01,서면,4.0,9
15,백종원의3대천왕,백종원의3대천왕,신발원,"만두, 군만두",,,,,2026-02-01,부산역,4.2,172
16,백종원의3대천왕,백종원의3대천왕,대길고추불고기,"집밥, 고추",,,,,2026-02-01,부산대,3.1,10
17,백종원의3대천왕,백종원의3대천왕,김해식당,"아구찜, 아구수육",,,,,2026-02-01,남포동,4.5,7
18,백종원의3대천왕,백종원의3대천왕,범일빈대떡,"빈대떡, 파전",,,,,2026-02-01,범일동,4.6,4
19,백종원의3대천왕,백종원의3대천왕,장군멸치회촌,멸치쌈밥,,,,,2026-02-01,기장,3.2,2
20,백종원의3대천왕,백종원의3대천왕,모짜르트,"경양식, 함박스테이크",,,,,2026-02-01,대연동,4.0,8
21,백종원의3대천왕,백종원의3대천왕,백화양곱창1호,양곱창,,,,,2026-02-01,자갈치시장,4.3,4
22,백종원의3대천왕,백종원의3대천왕,동궁,"짜장면, 중국집",,,,,2026-02-01,부산중앙동,3.8,3
23,백종원의3대천왕,백종원의3대천왕,일미단팥죽,"단팥죽, 팥빙수",,,,,2026-02-01,부산,,
24,백종원의3대천왕,백종원의3대천왕,매드독스,"피자, 시카고피자",,,,,2026-02-01,광안리,3.9,30
25,백종원의3대천왕,백종원의3대천왕,경주집,"오리고기, 생오리양념불고기",,,,,2026-02-01,범어사,5.0,1
