id,sector,title,name,type,chef,address,lat,lng,date,area,user_score,review_cnt
1,생생정보통,생생정보통,중식 1프로,"짬뽕, 냉짬뽕",,,,,2026-02-01,수원,4.7,14
2,생생정보통,생생정보통,오뎅식당,"부대찌개, 부대볶음",,,,,2026-02-01,의정부,4.1,43
3,생생정보통,생생정보통,봉궁순대국,"순대국, 시래기순대국",,,,,2026-02-01,안산,4.5,14
4,생생정보통,생생정보통,데니스 스모크하우스,"바베큐, 미국식바베큐",,,,,2026-02-01,양주,4.5,9
5,생생정보통,생생정보통,장수대,황태해장국,,,,,2026-02-01,파주,4.7,11
6,생생정보통,생생정보통,착한가게닭도리탕,"닭도리탕, 한식",,,,,2026-02-01,병점역,5.0,12
7,생생정보통,생생정보통,학교가는길,"분식, 떡볶이",,,,,2026-02-01,역곡,4.2,12
8,생생정보통,생생정보통,옛고을쌈밥,"쌈밥, 제육쌈밥",,,,,2026-02-01,고양,4.2,6
9,생생정보통,생생정보통,수타신짬뽕,"짜장면, 수타면",,,,,2026-02-01,안산,4.4,4
10,생생정보통,생생정보통,윤가곰탕,"곰탕, 한우곰탕",,,,,2026-02-01,영통,4.1,10
11,생생정보통,생생정보통,아소정,"함흥냉면, 갈비찜",,,,,2026-02-01,롯데백화점 수원점,3.7,6
12,생생정보통,생생정보통,골목추어탕,"추어탕, 우렁이추어탕",,,,,2026-02-01,안양,4.6,5
13,생생정보통,생생정보통,보영식당,"부대찌개, 라면",,,,,2026-02-01,본점,4.1,12
14,생생정보통,생생정보통,등갈비의신,"등갈비, 등갈비찜",,,,,2026-02-01,퇴계원,3.4,4
15,생생정보통,생생정보통,원조원주추어탕,"추어탕, 메기불고기",,,,,2026-02-01,분당,4.0,3
16,생생정보통,생생정보통,국가대표치킨,치킨,,,,,2026-02-01,고양,4.6,2
17,생생정보통,생생정보통,지지네 조개마을 무한리필,조개구이,,,,,2026-02-01,파주,3.4,3
18,생생정보통,생생정보통,남서문매운왕갈비찜,"갈비찜, 매운왕갈비찜",,,,,2026-02-01,화성남양,4.5,1
19,생생정보통,생생정보통,이원희직화쌈밥,"쌈밥, 칼국수",,,,,2026-02-01,율동공원,4.5,7
20,생생정보통,생생정보통,채박골 육개달,"육개장, 차돌박이육개장",,,,,2026-02-01,평택,4.3,3
21,생생정보통,생생정보통,종화네돌솥추어탕,"추어탕, 돌솥추어탕",,,,,2026-02-01,고양시,4.1,2
22,생생정보통,생생정보통,늘찬애쭈꾸미,"쭈꾸미, 쭈꾸미보쌈",,,,,2026-02-01,향남,4.7,6
23,생생정보통,생생정보통,안성맞춤 솥뚜껑매운탕,"매운탕, 메기매운탕",,,,,2026-02-01,안성,5.0,1
24,생생정보통,생생정보통,김사부의 진짜순대 감자탕,"순대국, 감자탕",,,,,2026-02-01,안산,4.2,3
25,생생정보통,생생정보통,우리한우소곱창,"곱창, 소곱창",,,,,2026-02-01,구리점,4.3,2
26,생생정보통,생생정보통,경희궁,"갈비탕, 왕갈비탕",,,,,2026-02-01,부천,4.7,3
27,생생정보통,생생정보통,퓨전 굽는 삼계탕,"삼계탕, 닭",,,,,2026-02-01,시흥,4.3,9
28,생생정보통,생생정보통,클로렐라햄버거,햄버거,,,,,2026-02-01,광명,4.9,8
29,생생정보통,생생정보통,밀가랑,육개장칼국수,,,,,2026-02-01,시흥,4.8,2
30,생생정보통,생생정보통,평택주물럭,"주물럭, 돼지주물럭",,,,,2026-02-01,평택,4.0,2
31,생생정보통,생생정보통,곤지암 웅골,"등갈비, 묵은지등갈비찜",,,,,2026-02-01,화담숲,4.1,6
32,생생정보통,생생정보통,착한소,"한식, 소고기",,,,,2026-02-01,양주,5.0,2
33,생생정보통,생생정보통,줄줄이호떡,"호떡, 꿀호떡",,,,,2026-02-01,구리,3.0,2
34,생생정보통,생생정보통,신사강 정육식당,"삼겹살, 김치찌개",,,,,2026-02-01,수원,4.4,11
35,생생정보통,생생정보통,중화요리 쎼쎼,"중식당, 간짜장",,,,,2026-02-01,오리역,4.5,2
36,생생정보통,생생정보통,리틀꼬마김밥,"김밥, 꼬마김밥",,,,,2026-02-01,동탄나루마을직영점,4.3,3
37,생생정보통,생생정보통,무한리필 소고기 연통,"소고기, 소고기무한리필",,,,,2026-02-01,행신,5.0,1
38,생생정보통,생생정보통,백년돌판짜장교동짬뽕,짜장면,,,,,2026-02-01,수원,4.9,4
39,생생정보통,생생정보통,꽈페,"꽈배기, 디저트",,,,,2026-02-01,평택소사벌점,3.5,1
40,생생정보통,생생정보통,심학산 두부마을,"두부요리, 수제두부",,,,,2026-02-01,파주,4.2,20
41,생생정보통,생생정보통,두부나라,"두부요리, 수제두부",,,,,2026-02-01,안양,4.0,2
42,생생정보통,생생정보통,해미청,아구찜,,,,,2026-02-01,안산,5.0,3
43,생생정보통,생생정보통,보배네집,"만두, 만두전골",,,,,2026-02-01,여주,3.8,13
44,생생정보통,생생정보통,주문진생태찌개,"생태찌개, 솥밥",,,,,2026-02-01,융건릉,4.5,1
45,생생정보통,생생정보통,또와 우리콩감자탕,"감자탕, 콩비지감자탕",,,,,2026-02-01,안양,4.0,2
46,생생정보통,생생정보통,강황추어탕,"추어탕, 추어튀김",,,,,2026-02-01,포천,3.5,1
47,생생정보통,생생정보통,더 누룽지,"짬뽕, 해물누룽지탕",,,,,2026-02-01,일산,4.8,7
48,생생정보통,생생정보통,평원집,"순대국, 족발",,,,,2026-02-01,용인,4.2,8
49,생생정보통,생생정보통,만두예찬,"만두, 만두전골",,,,,2026-02-01,호원점,4.5,9
50,생생정보통,생생정보통,압도오리불고기,"오리고기, 오리불고기",,,,,2026-02-01,용인역북점,5.0,1
51,생생정보통,생생정보통,산아래메밀집,"막국수, 코다리막국수",,,,,2026-02-01,고양,5.0,2
52,생생정보통,생생정보통,맷돌우리콩감자탕,"감자탕, 콩비지감자탕",,,,,2026-02-01,본점,4.2,16
53,생생정보통,생생정보통,퇴촌명가,"갈비탕, 갈비찜",,,,,2026-02-01,퇴촌,5.0,2
54,생생정보통,생생정보통,엄처시하,"감자탕, 해물뼈찜",,,,,2026-02-01,진접,3.7,5
55,생생정보통,생생정보통,조박사감자탕,"감자탕, 시래기",,,,,2026-02-01,포천,3.8,3
56,생생정보통,생생정보통,초가지붕남원추어탕,"추어탕, 장어탕",,,,,2026-02-01,수원,5.0,1
57,생생정보통,생생정보통,곽지원 빵공방,"베이커리, 깜빠뉴",,,,,2026-02-01,양평,3.9,5
58,생생정보통,생생정보통,산비탈손두부,"두부전골, 두부버섯전골",,,,,2026-02-01,포천,4.0,15
59,생생정보통,생생정보통,장어독립,"장어, 파김치장어전골",,,,,2026-02-01,본점,4.3,3
60,생생정보통,생생정보통,마당집추어탕,"추어탕, 추어튀김",,,,,2026-02-01,여주,4.4,3
61,생생정보통,생생정보통,모해,"해물탕, 코다리조림",,,,,2026-02-01,오산,4.5,2
62,생생정보통,생생정보통,장단가든,"어탕국수, 참게매운탕",,,,,2026-02-01,파주,3.5,2
63,생생정보통,생생정보통,우리집토종닭,"백숙, 토종닭매운탕",,,,,2026-02-01,김포,5.0,1
64,생생정보통,생생정보통,아소정 롯데백화점,"냉면, 갈비찜",,,,,2026-02-01,동탄점,4.0,1
65,생생정보통,생생정보통,본누벨 베이커리,베이커리,,,,,2026-02-01,용인,4.0,14
66,생생정보통,생생정보통,형제불고기,"고추장불고기, 선지해장국",,,,,2026-02-01,동두천,4.0,1
