id,sector,title,name,type,chef,address,lat,lng,date,area,user_score,review_cnt
1,생생정보통,생생정보통,화정떡갈비,"떡갈비, 뼈국",,,,,2026-02-01,광주송정역,4.5,24
2,생생정보통,생생정보통,송극떡갈비,"떡갈비, 한우떡갈비",,,,,2026-02-01,광주송정역,4.4,4
3,생생정보통,생생정보통,새송정 떡갈비,"떡갈비, 뼈국",,,,,2026-02-01,광주송정역,4.5,8
4,생생정보통,생생정보통,김명화서리태콩국수,"콩국수, 서리태콩국수",,,,,2026-02-01,광주충장로,3.8,4
5,생생정보통,생생정보통,원보,"짜장면, 중국집",,,,,2026-02-01,광주북구,5.0,1
6,생생정보통,생생정보통,어쩌다 토종닭,"백숙, 버섯백숙",,,,,2026-02-01,쌍촌동,5.0,6
7,생생정보통,생생정보통,느린먹거리by부각마을,김부각,,,,,2026-02-01,광주송정역,5.0,1
8,생생정보통,생생정보통,원이네웰빙호떡튀김,"호떡, 튀김",,,,,2026-02-01,광주북구,4.5,1
9,생생정보통,생생정보통,곡간,"애호박찌개, 생오리주물럭",,,,,2026-02-01,금남로,2.0,1
10,생생정보통,생생정보통,수일통닭,"치킨, 통닭",,,,,2026-02-01,광주서구,4.1,13
11,생생정보통,생생정보통,태화오리탕,"오리고기, 오리탕",,,,,2026-02-01,광주북구,4.4,4
12,생생정보통,생생정보통,대풍식당,"국밥, 순대",,,,,2026-02-01,광주동구,4.4,9
13,생생정보통,생생정보통,당산나무집,"우렁이쌈밥, 우렁이초무침",,,,,2026-02-01,봉선동,4.2,13
14,생생정보통,생생정보통,청정바다,"횟집, 멍게비빔밥",,,,,2026-02-01,광산구,3.0,1
15,생생정보통,생생정보통,서울장수국수,"국수, 잔치국수",,,,,2026-02-01,광주송정역,4.2,8
16,생생정보통,생생정보통,한옥식당,"불고기백반, 애호박찌개",,,,,2026-02-01,광주남구,4.2,7
17,생생정보통,생생정보통,초원팥죽,"팥죽, 동지죽",,,,,2026-02-01,광주북구,,
18,생생정보통,생생정보통,민들레,"간장게장, 간장게장정식",,,,,2026-02-01,상무지구,,
19,생생정보통,생생정보통,자연 고구마순 감자탕,"감자탕, 고구마순감자탕",,,,,2026-02-01,본점,4.0,4
20,생생정보통,생생정보통,수궁,"닭불고기, 버섯전",,,,,2026-02-01,증심사,,
21,생생정보통,생생정보통,골메골,"애호박찌개, 백반",,,,,2026-02-01,광산구,4.7,3
22,생생정보통,생생정보통,장호덕손만두,"만두, 손만두",,,,,2026-02-01,광주상무점,5.0,3
23,생생정보통,생생정보통,하남낙지마당,"낙지, 낙지비빔밥",,,,,2026-02-01,광산구,5.0,3
24,생생정보통,생생정보통,무등분식,상추튀김,,,,,2026-02-01,금남로,3.5,2
25,생생정보통,생생정보통,옛날팥죽,"팥칼국수, 팥죽",,,,,2026-02-01,광주송정역,,
26,생생정보통,생생정보통,매일팥죽,"팥죽, 동지죽",,,,,2026-02-01,광주북구,,
27,생생정보통,생생정보통,고려가족식당,"러시아음식, 중앙아시아음식",,,,,2026-02-01,광주,4.4,4
28,생생정보통,생생정보통,대밭가든,"메기탕, 촌닭",,,,,2026-02-01,무등산,5.0,1
29,생생정보통,생생정보통,황제능이버섯백숙삼계탕,"해신탕, 능이백숙",,,,,2026-02-01,쌍촌동,5.0,1
30,생생정보통,생생정보통,내고향 찐빵 손만두,"찐빵, 팥빵",,,,,2026-02-01,수완지구,,
31,생생정보통,생생정보통,전라도홍어망월상회,"생선회, 횟집",,,,,2026-02-01,광주,,
32,생생정보통,생생정보통,수화강황울금국밥,"국밥, 찰순대국밥",,,,,2026-02-01,광주동구,,
33,생생정보통,생생정보통,하당먹거리,"산낙지, 낙지탕탕이",,,,,2026-02-01,광주,,
34,생생정보통,생생정보통,보미약오리탕,"오리고기, 오리탕",,,,,2026-02-01,광주북구,,
35,생생정보통,생생정보통,착한명인국수와숯불냉면,"국수, 숯불고기",,,,,2026-02-01,광주남구,,
36,생생정보통,생생정보통,곰탕 고우고,"곰탕, 수육",,,,,2026-02-01,광주동구,,
37,생생정보통,생생정보통,양동국시,"국수, 우리밀",,,,,2026-02-01,광주서구,,
38,생생정보통,생생정보통,영암매실한우,"한우, 한우불고기백반",,,,,2026-02-01,용봉동,,
39,생생정보통,생생정보통,수완지구 스트리트 푸드 스테이크&닭꼬치 푸드트럭,"스테이크, 토시살스테이크",,,,,2026-02-01,봉선동,,
40,생생정보통,생생정보통,머글꼬지,"닭강정, 닭꼬치",,,,,2026-02-01,광주송정역,,
41,생생정보통,생생정보통,이모네맛집,"김치찌개, 묵은지김치찌개",,,,,2026-02-01,광주,,
42,생생정보통,생생정보통,나루터,"하모샤브샤브, 새조개샤브샤브",,,,,2026-02-01,광주서구,,
43,생생정보통,생생정보통,진고집 동해동태탕,"동태탕, 코다리조림",,,,,2026-02-01,상무점,,
44,생생정보통,생생정보통,이화점,"밥집, 해물야채전",,,,,2026-02-01,광주동구,,
45,생생정보통,생생정보통,상무홍어,"홍어, 홍어애국",,,,,2026-02-01,쌍촌동,,
46,생생정보통,생생정보통,조선옥,"굴비, 굴비정식",,,,,2026-02-01,광주남구,,
47,생생정보통,생생정보통,평화루,"짜장면, 중국집",,,,,2026-02-01,광주남구,,
