id,sector,title,name,type,chef,address,lat,lng,date,area,user_score,review_cnt
1,생생정보통,생생정보통,순봉홍두깨손칼국수,칼국수,,,,,2026-02-01,대전서구,4.4,4
2,생생정보통,생생정보통,황기왕짬뽕,"짬뽕, 탕수육",,,,,2026-02-01,대전중리동,3.8,6
3,생생정보통,생생정보통,오복성황제짬뽕,"짬뽕, 중국집",,,,,2026-02-01,대전점,2.0,1
4,생생정보통,생생정보통,명자네전집,"전집, 막걸리",,,,,2026-02-01,유성,3.0,2
5,생생정보통,생생정보통,진메닭도리탕,"닭볶음탕, 묵은지닭도리탕",,,,,2026-02-01,궁동,3.7,5
6,생생정보통,생생정보통,주상유황족,"낙지볶음, 족발",,,,,2026-02-01,대전탄방동,3.4,2
7,생생정보통,생생정보통,차오차오,"짜장면, 중국집",,,,,2026-02-01,한남대,4.3,2
8,생생정보통,생생정보통,보리고개 칼국수,"두부두루치기, 수육",,,,,2026-02-01,대전중구,4.4,3
9,생생정보통,생생정보통,장호덕손만두 대전,"왕고기만두, 왕김치만두",,,,,2026-02-01,신탄진점,5.0,1
10,생생정보통,생생정보통,홍두깨칼국수,"칼국수, 얼큰이칼국수",,,,,2026-02-01,대전중구,4.0,6
11,생생정보통,생생정보통,홍가짜장,"짜장면, 탕수육",,,,,2026-02-01,갈마점,4.5,2
12,생생정보통,생생정보통,명품진한우,"한우, 한우불고기전골",,,,,2026-02-01,대전,,
13,생생정보통,생생정보통,용수타,"짜장면, 중국집",,,,,2026-02-01,대전중구,,
14,생생정보통,생생정보통,홍가짜장,"짜장면, 탕수육",,,,,2026-02-01,대전,4.6,5
15,생생정보통,생생정보통,박선희황태어글탕,"황태, 어글탕",,,,,2026-02-01,월평직영점,4.0,11
16,생생정보통,생생정보통,성심관,"짜장면, 중국집",,,,,2026-02-01,우송대,2.4,2
17,생생정보통,생생정보통,강변산닭,"닭볶음탕, 곱도리탕",,,,,2026-02-01,대전대흥동,4.0,1
18,생생정보통,생생정보통,숯골원냉면갈비,평양냉면,,,,,2026-02-01,유성온천,2.0,1
19,생생정보통,생생정보통,역전가락국수,"국수, 만두",,,,,2026-02-01,대전역,,
20,생생정보통,생생정보통,진칼국수,"만두, 칼국수",,,,,2026-02-01,도마점,4.0,1
21,생생정보통,생생정보통,이가네 황기짬뽕,"짜장면, 짬뽕",,,,,2026-02-01,대전복합터미널,,
22,생생정보통,생생정보통,박선희황태어글탕,"황태, 어글탕",,,,,2026-02-01,대전유성구,4.4,5
23,생생정보통,생생정보통,월광박속낙지탕,낙지볶음,,,,,2026-02-01,대전서구,4.3,3
24,생생정보통,생생정보통,산내돌짜장,"돌짜장, 매운돼지갈비찜",,,,,2026-02-01,금산,3.8,16
25,생생정보통,생생정보통,산막골가든,"삼겹살, 흑돼지구이",,,,,2026-02-01,금산,3.0,1
26,생생정보통,생생정보통,미강손짜장,"짜장면, 간짜장",,,,,2026-02-01,신탄진,4.3,3
27,생생정보통,생생정보통,전낙소,"전복, 코스요리",,,,,2026-02-01,도룡점,3.8,2
28,생생정보통,생생정보통,임단아갈비탕전문점,"해신탕, 갈비탕",,,,,2026-02-01,본점,5.0,3
