id,sector,title,name,type,chef,address,lat,lng,date,area,user_score,review_cnt
1,생생정보통,생생정보통,일로장터백반,"백반, 조기매운탕",,,,,2026-02-01,무안,4.3,2
2,생생정보통,생생정보통,중화루,"짜장면, 중깐",,,,,2026-02-01,목포,4.1,22
3,생생정보통,생생정보통,명량주막,"우럭, 보리숭어",,,,,2026-02-01,해남군,3.5,1
4,생생정보통,생생정보통,송현불고기,"불고기, 돼지불고기",,,,,2026-02-01,나주,4.7,11
5,생생정보통,생생정보통,동부어묵,"핫바, 소세지",,,,,2026-02-01,목포,4.0,3
6,생생정보통,생생정보통,영란횟집,"민어, 민어회",,,,,2026-02-01,목포,4.0,22
7,생생정보통,생생정보통,사계절횟집,"횟집, 하모샤브샤브",,,,,2026-02-01,여수,2.3,2
8,생생정보통,생생정보통,시후네 낙지,낙지볶음,,,,,2026-02-01,신안,5.0,1
9,생생정보통,생생정보통,한우촌,"삼겹살, 쌀국수",,,,,2026-02-01,진도,4.0,1
10,생생정보통,생생정보통,향림낙지한마당,"낙지, 뻘낙지",,,,,2026-02-01,무안,4.3,5
11,생생정보통,생생정보통,과역기사님식당,"백반, 삼겹살백반",,,,,2026-02-01,고흥,4.6,10
12,생생정보통,생생정보통,진미옛날순대,"국밥, 암뽕",,,,,2026-02-01,나주,4.0,1
13,생생정보통,생생정보통,우남식당,"짬뽕, 탕수육",,,,,2026-02-01,나주,4.4,6
14,생생정보통,생생정보통,순천만가든,"꼬막, 꼬막정식",,,,,2026-02-01,순천,3.5,12
15,생생정보통,생생정보통,무안식당,"한우, 갈낙탕",,,,,2026-02-01,무안,4.2,2
16,생생정보통,생생정보통,병영연탄불고기식당,"연탄불고기, 백반",,,,,2026-02-01,강진,4.0,2
17,생생정보통,생생정보통,민호네전전문점,"전집, 맛조개",,,,,2026-02-01,순천,4.0,3
18,생생정보통,생생정보통,대박집,"갈치조림, 한식당",,,,,2026-02-01,완도,3.4,5
19,생생정보통,생생정보통,별천지가든,"참게탕, 은어튀김",,,,,2026-02-01,곡성,3.9,6
20,생생정보통,생생정보통,내고향뻘낙지,"낙지, 세발낙지",,,,,2026-02-01,무안,5.0,3
21,생생정보통,생생정보통,강진만한정식,"한정식, 간장게장",,,,,2026-02-01,강진,3.0,1
22,생생정보통,생생정보통,원조장수통닭,"닭, 토종닭",,,,,2026-02-01,해남,4.1,8
23,생생정보통,생생정보통,산수유두부마을식당,"한식, 두부전골",,,,,2026-02-01,구례,4.0,2
24,생생정보통,생생정보통,금수한방숯불가든,"떡갈비, 대통밥",,,,,2026-02-01,담양,4.3,6
25,생생정보통,생생정보통,장성팥죽,"팥죽, 동지죽",,,,,2026-02-01,장성,1.0,2
26,생생정보통,생생정보통,명품전복궁,"전복, 전복요리",,,,,2026-02-01,완도,4.0,4
27,생생정보통,생생정보통,토정 황손두꺼비국밥,"삼합, 장흥삼합",,,,,2026-02-01,전남장흥,5.0,1
