id,sector,title,name,type,chef,address,lat,lng,date,area,user_score,review_cnt
1,생생정보통,생생정보통,백합식당,"백합, 백합정식",,,,,2026-02-01,부안,4.1,13
2,생생정보통,생생정보통,새집추어탕,"추어탕, 깻잎말이튀김",,,,,2026-02-01,남원,4.5,10
3,생생정보통,생생정보통,서전주돌판오징어,"오징어볶음, 장칼국수",,,,,2026-02-01,전주혁신도시,4.3,8
4,생생정보통,생생정보통,산들애,"버섯전골, 능이버섯전골",,,,,2026-02-01,무주,4.5,7
5,생생정보통,생생정보통,뜨란채,"한정식, 고추장불고기",,,,,2026-02-01,순창,5.0,1
6,생생정보통,생생정보통,섬마을,"어죽, 도리뱅뱅이",,,,,2026-02-01,무주,4.6,7
7,생생정보통,생생정보통,풍년순두부,"순두부, 두부전골",,,,,2026-02-01,남원,5.0,2
8,생생정보통,생생정보통,본가,"백합, 바지락죽",,,,,2026-02-01,고창,4.6,19
9,생생정보통,생생정보통,진미식당,"비빔밥, 육회비빔밥",,,,,2026-02-01,익산,3.4,10
10,생생정보통,생생정보통,명월갈비,"소갈비, 한우갈비",,,,,2026-02-01,군산,5.0,2
11,생생정보통,생생정보통,익산성,"감자탕, 무한리필",,,,,2026-02-01,익산,5.0,1
12,생생정보통,생생정보통,한소끔,"해물탕, 꽃게장정식",,,,,2026-02-01,군산,3.4,9
13,생생정보통,생생정보통,가족회관,"비빔밥, 육회비빔밥",,,,,2026-02-01,전주,3.9,18
14,생생정보통,생생정보통,강천풍경식당,"더덕구이, 더덕불고기",,,,,2026-02-01,순창,5.0,1
15,생생정보통,생생정보통,명인바지락죽,"바지락칼국수, 바지락죽",,,,,2026-02-01,부안,4.2,26
16,생생정보통,생생정보통,초모,"전통차, 쌍화차",,,,,2026-02-01,정읍,4.2,6
17,생생정보통,생생정보통,삼대젓갈직판장,"젓갈전문, 백합탕",,,,,2026-02-01,부안,5.0,1
18,생생정보통,생생정보통,해변촌,갑오징어돌판구이,,,,,2026-02-01,부안,4.0,3
19,생생정보통,생생정보통,다오세,"아구찜, 시래기",,,,,2026-02-01,김제,4.4,3
20,생생정보통,생생정보통,시장비빔밥,"비빔밥, 육회비빔밥",,,,,2026-02-01,익산,4.1,9
21,생생정보통,생생정보통,피자워크샵,화덕피자,,,,,2026-02-01,순창,5.0,1
22,생생정보통,생생정보통,초가정담,"더덕구이, 등갈비",,,,,2026-02-01,진안,4.0,14
23,생생정보통,생생정보통,해변상회,"핫도그, 커피",,,,,2026-02-01,부안,4.0,1
24,생생정보통,생생정보통,산으로,"산채정식, 능이버섯전골",,,,,2026-02-01,대둔산,4.0,1
25,생생정보통,생생정보통,새만금횟집,"횟집, 박대구이",,,,,2026-02-01,군산,3.5,5
26,생생정보통,생생정보통,장흥식당,"백반, 고등어조림",,,,,2026-02-01,익산,5.0,1
27,생생정보통,생생정보통,보석추어탕,추어탕,,,,,2026-02-01,남원,5.0,2
28,생생정보통,생생정보통,한일식당,"육회, 육회비빔밥",,,,,2026-02-01,익산,4.3,21
29,생생정보통,생생정보통,고향마루추어탕,"추어탕, 시래기",,,,,2026-02-01,남원,5.0,2
30,생생정보통,생생정보통,신덕식당,"장어양념구이, 장어소금구이",,,,,2026-02-01,고창,4.5,5
31,생생정보통,생생정보통,우리풍천장어,"장어, 풍천장어",,,,,2026-02-01,고창,4.6,2
32,생생정보통,생생정보통,서해식당,"해산물, 백반",,,,,2026-02-01,부안,,
33,생생정보통,생생정보통,중동호떡,"호떡, 커피",,,,,2026-02-01,군산,5.0,2
34,생생정보통,생생정보통,인천가든,민물새우탕,,,,,2026-02-01,고창,4.5,12
