id,sector,title,name,type,chef,address,lat,lng,date,area,user_score,review_cnt
1,생생정보통,생생정보통,황해도전통손만두국,"만두, 만두전골",,,,,2026-02-01,공주,4.3,7
2,생생정보통,생생정보통,장항집,"쭈꾸미, 주꾸미볶음",,,,,2026-02-01,서천,4.4,2
3,생생정보통,생생정보통,한양분식,"만두, 감자만두",,,,,2026-02-01,충주,4.5,2
4,생생정보통,생생정보통,명동김치만두,"만두, 감자만두",,,,,2026-02-01,충주,5.0,3
5,생생정보통,생생정보통,연산시장도토리묵,"도토리묵, 묵밥",,,,,2026-02-01,논산,5.0,1
6,생생정보통,생생정보통,큰집 뼈대있는짬뽕,"짬뽕, 탕수육",,,,,2026-02-01,세종,4.1,29
7,생생정보통,생생정보통,정겨운감나무집,"간장뼈찜, 매운뼈찜",,,,,2026-02-01,공주,5.0,2
8,생생정보통,생생정보통,결성칼국수,"칼국수, 굴칼국수",,,,,2026-02-01,홍성,4.3,8
9,생생정보통,생생정보통,김평화의한우마을,"한우, 정육식당",,,,,2026-02-01,성환,4.0,2
10,생생정보통,생생정보통,쌍둥이네,"인삼튀김, 잔치국수",,,,,2026-02-01,금산,4.0,1
11,생생정보통,생생정보통,청화집,"순대국, 병천순대",,,,,2026-02-01,천안,4.4,39
12,생생정보통,생생정보통,바다식당,"우럭, 매운탕",,,,,2026-02-01,서산,3.0,1
13,생생정보통,생생정보통,청해식당,"칼국수, 손칼국수",,,,,2026-02-01,진천,5.0,1
14,생생정보통,생생정보통,순봉홍두깨손칼국수,칼국수,,,,,2026-02-01,대전서구,4.4,4
15,생생정보통,생생정보통,황기왕짬뽕,"짬뽕, 탕수육",,,,,2026-02-01,대전중리동,3.8,6
16,생생정보통,생생정보통,명성각,"짜장면, 중국집",,,,,2026-02-01,홍성,4.0,1
17,생생정보통,생생정보통,산촌가든,"오리백숙, 오리불고기",,,,,2026-02-01,단양,5.0,1
18,생생정보통,생생정보통,유명한꼬마족발,"족발, 미니족발",,,,,2026-02-01,청주,4.0,2
19,생생정보통,생생정보통,진주회관,"돈까스, 우거지갈비탕",,,,,2026-02-01,성환,4.2,7
20,생생정보통,생생정보통,황우제매운탕,"메기탕, 메기매운탕",,,,,2026-02-01,세종,5.0,2
21,생생정보통,생생정보통,대동버섯손칼국수,"칼국수, 버섯",,,,,2026-02-01,영동,4.0,2
22,생생정보통,생생정보통,호반식당,"어죽, 민물새우",,,,,2026-02-01,예산,5.0,1
23,생생정보통,생생정보통,보재기손두부,두부전골,,,,,2026-02-01,세종,5.0,2
24,생생정보통,생생정보통,임지훈의 시골생고기,"삼겹살, 쌈",,,,,2026-02-01,개신점,4.0,1
25,생생정보통,생생정보통,짜글짜글,"짜글이, 볶음",,,,,2026-02-01,제천,3.9,6
26,생생정보통,생생정보통,하니쌈밥,"두루치기, 쌈밥",,,,,2026-02-01,보령,4.0,2
27,생생정보통,생생정보통,천등산 염소마을,"흑염소전골, 염소고기",,,,,2026-02-01,충주,4.2,2
28,생생정보통,생생정보통,호떡남매,"호떡, 오뎅",,,,,2026-02-01,천안,4.7,3
29,생생정보통,생생정보통,오복성황제짬뽕,"짬뽕, 중국집",,,,,2026-02-01,대전점,2.0,1
30,생생정보통,생생정보통,암숙회의집,"추어탕, 추어튀김",,,,,2026-02-01,청주,4.0,2
31,생생정보통,생생정보통,섬덕회센타,"횟집, 전어",,,,,2026-02-01,서천,4.6,2
32,생생정보통,생생정보통,숙꽈배기,"꽈배기, 맛조개",,,,,2026-02-01,태안,5.0,1
33,생생정보통,생생정보통,운주산오리,"오리고기, 오리주물럭",,,,,2026-02-01,세종,3.0,1
34,생생정보통,생생정보통,만나식당,"백반, 젓갈백반",,,,,2026-02-01,논산,3.0,3
35,생생정보통,생생정보통,참나무골,한식뷔페,,,,,2026-02-01,청주,3.4,3
36,생생정보통,생생정보통,충청도순대,순대국,,,,,2026-02-01,단양,4.3,36
37,생생정보통,생생정보통,서산회관,"쭈꾸미, 쭈꾸미철판볶음",,,,,2026-02-01,서천,4.3,12
38,생생정보통,생생정보통,명자네전집,"전집, 막걸리",,,,,2026-02-01,유성,3.0,2
39,생생정보통,생생정보통,장모님순대,"순대국, 수제순대",,,,,2026-02-01,홍성,3.5,2
40,생생정보통,생생정보통,청석한우,"한우육회, 한우불고기",,,,,2026-02-01,충북혁신도시,4.1,4
41,생생정보통,생생정보통,왕곰탕,"곰탕, 시금치",,,,,2026-02-01,부여,4.5,17
42,생생정보통,생생정보통,구단양순두부,"청국장, 떡갈비",,,,,2026-02-01,단양,3.8,6
43,생생정보통,생생정보통,청룡각,"짜장면, 유니짜장",,,,,2026-02-01,천안,4.1,2
44,생생정보통,생생정보통,강화족탕,"설렁탕, 족탕",,,,,2026-02-01,아산,5.0,3
45,생생정보통,생생정보통,대성야채만두,만두,,,,,2026-02-01,충주,4.9,7
46,생생정보통,생생정보통,대성송어양식장 횟집,송어회,,,,,2026-02-01,제천,4.0,1
47,생생정보통,생생정보통,민영이네,"횟집, 포장마차",,,,,2026-02-01,당진,4.0,5
48,생생정보통,생생정보통,신설집,순대국,,,,,2026-02-01,세종,4.0,1
49,생생정보통,생생정보통,나루터민물식당,"메기탕, 쏘가리매운탕",,,,,2026-02-01,단양,4.0,2
50,생생정보통,생생정보통,방아실돼지집,"고깃집, 생고기",,,,,2026-02-01,대청호,4.4,4
51,생생정보통,생생정보통,신코다리네,코다리조림,,,,,2026-02-01,서산,5.0,2
52,생생정보통,생생정보통,진메닭도리탕,"닭볶음탕, 묵은지닭도리탕",,,,,2026-02-01,궁동,3.7,5
53,생생정보통,생생정보통,25시횟집,"새조개, 주꾸미",,,,,2026-02-01,남당항,3.0,1
54,생생정보통,생생정보통,주상유황족,"낙지볶음, 족발",,,,,2026-02-01,대전탄방동,3.4,2
55,생생정보통,생생정보통,대장군,꿩요리,,,,,2026-02-01,수안보,5.0,5
56,생생정보통,생생정보통,울엄마영양굴밥,"굴요리, 영양굴밥",,,,,2026-02-01,간월도,4.8,3
57,생생정보통,생생정보통,오천항수산물판매센터,"조개구이, 키조개",,,,,2026-02-01,2호점,5.0,1
58,생생정보통,생생정보통,시장정육점식당,"육회, 육회비빔밥",,,,,2026-02-01,공주,4.5,18
59,생생정보통,생생정보통,차오차오,"짜장면, 중국집",,,,,2026-02-01,한남대,4.3,2
60,생생정보통,생생정보통,천용맛집,"짜글이, 주물럭",,,,,2026-02-01,충주,5.0,2
61,생생정보통,생생정보통,보리고개 칼국수,"두부두루치기, 수육",,,,,2026-02-01,대전중구,4.4,3
62,생생정보통,생생정보통,구옹진식당,"냉면, 간장냉면",,,,,2026-02-01,서산,4.9,7
63,생생정보통,생생정보통,단빵제빵소,"마늘빵, 빵집",,,,,2026-02-01,단양,4.0,24
64,생생정보통,생생정보통,새이학가든,"국밥, 메밀",,,,,2026-02-01,공주,4.1,15
65,생생정보통,생생정보통,오만두이어,"만두, 왕만두",,,,,2026-02-01,충주,5.0,1
66,생생정보통,생생정보통,산해별미,"게국지, 우럭젓국",,,,,2026-02-01,서산,3.4,2
67,생생정보통,생생정보통,안면가,"해산물, 꼬막비빔밥",,,,,2026-02-01,안면도,4.3,8
68,생생정보통,생생정보통,장다리식당,"한정식, 마늘떡갈비",,,,,2026-02-01,단양,3.8,16
69,생생정보통,생생정보통,60년전통예산장터국밥,"국밥, 소머리국밥",,,,,2026-02-01,예산,4.3,8
70,생생정보통,생생정보통,산수파김치장어,"장어, 파김치",,,,,2026-02-01,서산,4.4,8
71,생생정보통,생생정보통,한결가치칼국수,닭칼국수,,,,,2026-02-01,불당동,5.0,3
72,생생정보통,생생정보통,약초밥상,"한정식, 한식뷔페",,,,,2026-02-01,제천,3.0,1
73,생생정보통,생생정보통,장호덕손만두 대전,"왕고기만두, 왕김치만두",,,,,2026-02-01,신탄진점,5.0,1
74,생생정보통,생생정보통,태봉한우면옥,"한우, 칡냉면",,,,,2026-02-01,당진,5.0,1
