id,sector,title,name,type,chef,address,lat,lng,date,area,user_score,review_cnt
1,생활의달인,생활의달인,영발원,"짜장면, 짬뽕",,,,,2026-02-01,광주북구,4.7,10
2,생활의달인,생활의달인,소맥베이커리,빵,,,,,2026-02-01,광주동구,4.5,11
3,생활의달인,생활의달인,양인제과,"베이커리, 에그타르트",,,,,2026-02-01,광주남구,3.9,11
4,생활의달인,생활의달인,파파드림 브레드,베이커리,,,,,2026-02-01,광주북구,4.9,8
5,생활의달인,생활의달인,브레드누아젯,"베이커리, 바게트",,,,,2026-02-01,광주수완점,3.0,2
6,생활의달인,생활의달인,무등쑥호떡,"호떡, 어묵",,,,,2026-02-01,광주남구,4.4,2
7,생활의달인,생활의달인,궁전제과,"빵, 나비파이",,,,,2026-02-01,충장점,4.2,49
8,생활의달인,생활의달인,광주보쌈,"보쌈, 보쌈김치",,,,,2026-02-01,충장로,,
9,생활의달인,생활의달인,동산회관,"삼겹살, 양념삼겹살",,,,,2026-02-01,전대후문,4.1,9
10,생활의달인,생활의달인,대성콩물,"콩국수, 콩물국수",,,,,2026-02-01,광주,4.8,12
11,생활의달인,생활의달인,어니스트식스티,"파스타, 양식",,,,,2026-02-01,광주남구,4.1,7
12,생활의달인,생활의달인,튀김나라,"분식, 상추튀김",,,,,2026-02-01,광주남구,,
