id,sector,title,name,type,chef,address,lat,lng,date,area,user_score,review_cnt
1,생활의달인,생활의달인,밀양 손칼국수,"칼국수, 수육",,,,,2026-02-01,성신여대,4.7,17
2,생활의달인,생활의달인,온혜화,"베이커리, 스콘",,,,,2026-02-01,대학로,3.9,14
3,생활의달인,생활의달인,순이네고릴라,"떡볶이, 국물떡볶이",,,,,2026-02-01,명지대,4.2,13
4,생활의달인,생활의달인,방화동 교동짬뽕,"짬뽕, 불짬뽕",,,,,2026-02-01,방화동,4.6,21
5,생활의달인,생활의달인,김군네짬뽕,"짬뽕, 중화비빔밥",,,,,2026-02-01,미아,4.7,12
6,생활의달인,생활의달인,주가네 쌀떡볶이,"떡볶이, 쌀떡볶이",,,,,2026-02-01,천호,4.4,5
7,생활의달인,생활의달인,파작,"샌드위치, 허니버터",,,,,2026-02-01,종각역,4.5,16
8,생활의달인,생활의달인,블랑제리코팡,"빵, 바게트",,,,,2026-02-01,망원동,4.0,16
9,생활의달인,생활의달인,풀팬,"파스타, 시금치피자",,,,,2026-02-01,천호,4.5,31
10,생활의달인,생활의달인,베이커리 어썸 피넛,"베이커리, 빵",,,,,2026-02-01,성신여대,4.2,8
11,생활의달인,생활의달인,타코앤칠리,"타코, 부리또",,,,,2026-02-01,가로수길,4.4,16
12,생활의달인,생활의달인,만두장성,"만두, 꽈배기",,,,,2026-02-01,공릉,4.2,13
13,생활의달인,생활의달인,서교난면방,"국수, 들기름",,,,,2026-02-01,합정,4.0,12
14,생활의달인,생활의달인,태천면옥,평양냉면,,,,,2026-02-01,광나루역,4.2,17
15,생활의달인,생활의달인,진켈란젤로 치즈케이크,"케이크전문, 치즈케이크",,,,,2026-02-01,합정,4.1,7
16,생활의달인,생활의달인,빵나무,빵,,,,,2026-02-01,홍대,3.8,12
17,생활의달인,생활의달인,바게트케이,"빵, 바게트",,,,,2026-02-01,역삼,4.5,19
18,생활의달인,생활의달인,벤베누토,"파스타, 라자냐",,,,,2026-02-01,성신여대점,4.3,12
19,생활의달인,생활의달인,평양만두집,"만두국, 김치말이국수",,,,,2026-02-01,강동구청역,4.1,20
20,생활의달인,생활의달인,진미식당,"콩국수, 오징어볶음",,,,,2026-02-01,삼각지,4.2,12
21,생활의달인,생활의달인,홍릉각,"짜장면, 간짜장",,,,,2026-02-01,청량리,4.0,21
22,생활의달인,생활의달인,수락,"우동, 김초밥",,,,,2026-02-01,신용산역,4.2,9
23,생활의달인,생활의달인,할머니만두국,만두국,,,,,2026-02-01,정릉,4.7,5
24,생활의달인,생활의달인,대가방,"짜장면, 탕수육",,,,,2026-02-01,본점,4.4,52
25,생활의달인,생활의달인,메종고댕,"바게트, 프랑스빵",,,,,2026-02-01,방배,4.1,4
26,생활의달인,생활의달인,더 타코부스,"타코, 퀘사디아",,,,,2026-02-01,압구정,4.1,19
27,생활의달인,생활의달인,클래식 햄버거,"수제버거, 치즈버거",,,,,2026-02-01,공덕,4.1,9
28,생활의달인,생활의달인,서평면옥,평양냉면,,,,,2026-02-01,보라매,4.3,13
29,생활의달인,생활의달인,포포브레드,"빵, 비건",,,,,2026-02-01,합정,4.2,8
30,생활의달인,생활의달인,고성막국수,"막국수, 동치미막국수",,,,,2026-02-01,방화동,4.1,51
31,생활의달인,생활의달인,드림랜드,"분식, 쫄면",,,,,2026-02-01,북서울꿈의숲,4.4,10
32,생활의달인,생활의달인,하노이 맛집,"베트남음식, 쌀국수",,,,,2026-02-01,서대문역,4.1,8
33,생활의달인,생활의달인,공릉우동집,"비빔국수, 김밥",,,,,2026-02-01,공릉,4.5,9
34,생활의달인,생활의달인,키베이커리,"빵, 메론빵",,,,,2026-02-01,성수,4.2,8
35,생활의달인,생활의달인,우라프라우드,"똠양꿍, 태국음식",,,,,2026-02-01,연남동,4.3,4
36,생활의달인,생활의달인,신세계떡볶이,"쌀떡볶이, 떡볶이",,,,,2026-02-01,명동,4.0,32
37,생활의달인,생활의달인,동면,"라멘, 냉라멘",,,,,2026-02-01,방이역,4.3,8
38,생활의달인,생활의달인,최가네 황소곱창,"곱창, 소곱창",,,,,2026-02-01,종로3가,4.1,6
39,생활의달인,생활의달인,고급아바이순대,순대국,,,,,2026-02-01,길동,3.5,7
40,생활의달인,생활의달인,쉐프조,"케이크, 딸기케이크",,,,,2026-02-01,문래,4.5,29
41,생활의달인,생활의달인,자성당,"쫄면, 계란김밥",,,,,2026-02-01,합정,3.6,13
42,생활의달인,생활의달인,시간을담다베이커리,"빵, 치아바타",,,,,2026-02-01,둔촌동,4.1,5
43,생활의달인,생활의달인,쁠로13,"베이커리, 크러핀",,,,,2026-02-01,신사역,4.7,11
44,생활의달인,생활의달인,맹자네떡복이,"떡볶이, 튀김",,,,,2026-02-01,회기역,4.5,7
45,생활의달인,생활의달인,철길떡볶이,"떡볶이, 밀떡볶이",,,,,2026-02-01,충정로,3.9,34
46,생활의달인,생활의달인,다모아분식,"떡볶이, 분식",,,,,2026-02-01,논현동,4.1,7
47,생활의달인,생활의달인,야래향,"짜장면, 탕수육",,,,,2026-02-01,회현역,3.6,11
48,생활의달인,생활의달인,침착하고 느린손,"빵, 소금빵",,,,,2026-02-01,신금호역,4.3,7
49,생활의달인,생활의달인,짱구네 야끼만두,"떡볶이, 야끼만두",,,,,2026-02-01,청량리,4.2,15
50,생활의달인,생활의달인,능동국시,"사골국수, 보쌈",,,,,2026-02-01,군자,3.8,16
51,생활의달인,생활의달인,다람,"삼겹살, 김치",,,,,2026-02-01,성내동,4.0,16
52,생활의달인,생활의달인,장천,"짬뽕, 중식",,,,,2026-02-01,노원역,3.7,16
53,생활의달인,생활의달인,튀김아저씨,"떡볶이, 튀김",,,,,2026-02-01,은마상가,3.4,12
54,생활의달인,생활의달인,산동만두,"만두, 군만두",,,,,2026-02-01,후암동,4.0,12
55,생활의달인,생활의달인,소바마에,"소바, 니싱소바",,,,,2026-02-01,성수,4.3,15
56,생활의달인,생활의달인,현대정육식당,"김치찌개, 달걀말이",,,,,2026-02-01,청담,4.0,17
