id,sector,title,name,type,chef,address,lat,lng,date,area,user_score,review_cnt
1,성시경의먹을텐데,성시경의먹을텐데,수제 별미순대국,순대국,,,,,2026-02-01,의정부,4.3,4
2,성시경의먹을텐데,성시경의먹을텐데,경원식당,부대찌개,,,,,2026-02-01,의정부,4.3,49
3,성시경의먹을텐데,성시경의먹을텐데,나진국밥,"국밥, 수육",,,,,2026-02-01,파주야당점,3.0,2
4,성시경의먹을텐데,성시경의먹을텐데,경원식당,"부대찌개, 솥밥",,,,,2026-02-01,별내점,4.0,3
5,성시경의먹을텐데,성시경의먹을텐데,경원식당,"부대찌개, 동치미",,,,,2026-02-01,의정부역전점,4.0,9
6,성시경의먹을텐데,성시경의먹을텐데,나진국밥,"국밥, 수육",,,,,2026-02-01,안양평촌점,4.0,1
7,성시경의먹을텐데,성시경의먹을텐데,하남숯불닭갈비,"닭갈비, 숯불닭갈비",,,,,2026-02-01,하남미사,4.0,18
8,성시경의먹을텐데,성시경의먹을텐데,미소의집,"떡볶이, 즉석떡볶이",,,,,2026-02-01,평택,,
9,성시경의먹을텐데,성시경의먹을텐데,인생아구찜,"해물찜, 젤리",,,,,2026-02-01,평택점,,
10,성시경의먹을텐데,성시경의먹을텐데,오복돼지,"삼겹살, 슈하스코",,,,,2026-02-01,평택,,
11,성시경의먹을텐데,성시경의먹을텐데,반구정 나루터집,"장어, 장어구이",,,,,2026-02-01,파주,3.5,29
12,성시경의먹을텐데,성시경의먹을텐데,코지커피플레이스,"베이커리, 소금빵",,,,,2026-02-01,진접,,
13,성시경의먹을텐데,성시경의먹을텐데,참좋은손만두,"만두, 김치만두",,,,,2026-02-01,용인,,
14,성시경의먹을텐데,성시경의먹을텐데,경원식당,"부대찌개, 라면",,,,,2026-02-01,옥정,,
15,성시경의먹을텐데,성시경의먹을텐데,삼천냥손칼국수,"칼국수, 손칼국수",,,,,2026-02-01,시흥,,
16,성시경의먹을텐데,성시경의먹을텐데,한우설렁탕,"설렁탕, 한우설렁탕",,,,,2026-02-01,안산,,
17,성시경의먹을텐데,성시경의먹을텐데,나비골 함평육회 함평국밥,"육회비빔밥, 육회",,,,,2026-02-01,진접,,
18,성시경의먹을텐데,성시경의먹을텐데,우진순대국,순대국,,,,,2026-02-01,의정부,,
19,성시경의먹을텐데,성시경의먹을텐데,나진국밥,"국밥, 수육",,,,,2026-02-01,성남모란점,,
20,성시경의먹을텐데,성시경의먹을텐데,경원식당,"부대찌개, 솥밥",,,,,2026-02-01,호평점,,
