id,sector,title,name,type,chef,address,lat,lng,date,area,user_score,review_cnt
1,성시경의먹을텐데,성시경의먹을텐데,산동교자,"짜장면, 덴뿌라",,,,,2026-02-01,명동,3.7,27
2,성시경의먹을텐데,성시경의먹을텐데,행화촌,"짜장면, 라조기",,,,,2026-02-01,명동,4.1,14
3,성시경의먹을텐데,성시경의먹을텐데,남원통닭,"후라이드, 양념치킨",,,,,2026-02-01,청량리,4.2,15
4,성시경의먹을텐데,성시경의먹을텐데,먹거리집,"순대국, 수육",,,,,2026-02-01,상봉역,4.1,21
5,성시경의먹을텐데,성시경의먹을텐데,뱃고동,"오징어볶음, 오징어불고기",,,,,2026-02-01,본점,4.2,53
6,성시경의먹을텐데,성시경의먹을텐데,해남순대국,"순대국, 수육",,,,,2026-02-01,약수역,4.3,11
7,성시경의먹을텐데,성시경의먹을텐데,대성집,도가니탕,,,,,2026-02-01,독립문역,4.4,40
8,성시경의먹을텐데,성시경의먹을텐데,현대순대국,"순대국, 국밥",,,,,2026-02-01,논현,4.3,16
9,성시경의먹을텐데,성시경의먹을텐데,갯마을,"만두국, 떡만두국",,,,,2026-02-01,한강로점,4.2,24
10,성시경의먹을텐데,성시경의먹을텐데,옛날 칼국수,"칼국수, 얼큰수제비",,,,,2026-02-01,노원역,4.0,28
11,성시경의먹을텐데,성시경의먹을텐데,멜로즈,"프렌치토스트, 하이라이스",,,,,2026-02-01,공덕,4.1,5
12,성시경의먹을텐데,성시경의먹을텐데,미소의집,"떡볶이, 즉석떡볶이",,,,,2026-02-01,반포,4.3,20
13,성시경의먹을텐데,성시경의먹을텐데,신촌즉석생우동,"우동, 즉석우동",,,,,2026-02-01,대흥역,4.4,14
14,성시경의먹을텐데,성시경의먹을텐데,맛좋은 순대국,순대국,,,,,2026-02-01,자양동,3.6,6
15,성시경의먹을텐데,성시경의먹을텐데,인천집,"보쌈, 굴보쌈",,,,,2026-02-01,을지로입구역,4.2,9
16,성시경의먹을텐데,성시경의먹을텐데,충북순대,순대국,,,,,2026-02-01,흑석동,4.3,4
17,성시경의먹을텐데,성시경의먹을텐데,현대순대국,"순대국, 한우소머리국밥",,,,,2026-02-01,2호점,4.6,2
18,성시경의먹을텐데,성시경의먹을텐데,야래향,"짜장면, 유니짜장",,,,,2026-02-01,동부이촌동점,3.5,10
19,성시경의먹을텐데,성시경의먹을텐데,청석골,"된장찌개, 백반",,,,,2026-02-01,논현동,4.5,3
20,성시경의먹을텐데,성시경의먹을텐데,철길왕갈비살,"소갈비살, 된장찌개",,,,,2026-02-01,홍대,4.2,9
21,성시경의먹을텐데,성시경의먹을텐데,문화옥,"설렁탕, 도가니탕",,,,,2026-02-01,을지로4가,3.2,4
22,성시경의먹을텐데,성시경의먹을텐데,시경양꼬치,"양꼬치, 양갈비",,,,,2026-02-01,미아,4.2,3
23,성시경의먹을텐데,성시경의먹을텐데,부흥축산,"정육식당, 삼겹살",,,,,2026-02-01,상봉,4.3,7
24,성시경의먹을텐데,성시경의먹을텐데,을지칼국수,"칼국수, 손만두칼국수",,,,,2026-02-01,을지로3가,4.4,11
25,성시경의먹을텐데,성시경의먹을텐데,부영각,"군만두, 볶음밥",,,,,2026-02-01,용강동,4.0,9
26,성시경의먹을텐데,성시경의먹을텐데,이조갈비,"냉삼, 꽃게탕",,,,,2026-02-01,신당역,4.0,3
27,성시경의먹을텐데,성시경의먹을텐데,함평국밥,"육회, 육사시미",,,,,2026-02-01,상봉,4.1,23
28,성시경의먹을텐데,성시경의먹을텐데,을지칼국수,"만두국, 칼국수",,,,,2026-02-01,을지로3가,4.0,11
29,성시경의먹을텐데,성시경의먹을텐데,돈푸짐감자탕,"뼈해장국, 감자탕",,,,,2026-02-01,삼전역,4.2,5
30,성시경의먹을텐데,성시경의먹을텐데,서령,"평양냉면, 순면",,,,,2026-02-01,본점,4.6,51
31,성시경의먹을텐데,성시경의먹을텐데,행복한식당,"삼겹살, 생삼겹살",,,,,2026-02-01,성수,4.6,12
32,성시경의먹을텐데,성시경의먹을텐데,백암왕순대,순대국,,,,,2026-02-01,강남구청역,4.5,9
33,성시경의먹을텐데,성시경의먹을텐데,감초식당,"돼지갈비, 돼지갈비구이",,,,,2026-02-01,경동시장,4.2,16
34,성시경의먹을텐데,성시경의먹을텐데,서대문 양꼬치 BAR,"양꼬치, 양고기",,,,,2026-02-01,연남동,4.2,3
35,성시경의먹을텐데,성시경의먹을텐데,영동황제꽈배기,"꽈배기, 찹쌀꽈배기",,,,,2026-02-01,양재점,4.1,2
36,성시경의먹을텐데,성시경의먹을텐데,홍명,"짜장면, 간짜장",,,,,2026-02-01,학동역,4.4,35
37,성시경의먹을텐데,성시경의먹을텐데,완도전복,전복죽,,,,,2026-02-01,약수역,5.0,1
38,성시경의먹을텐데,성시경의먹을텐데,뉴델리,인도음식,,,,,2026-02-01,압구정,4.4,6
39,성시경의먹을텐데,성시경의먹을텐데,어머니 대성집,"해장국, 선지",,,,,2026-02-01,용두동,4.2,75
40,성시경의먹을텐데,성시경의먹을텐데,청실홍실,"감자탕, 감자국",,,,,2026-02-01,서래마을,4.2,9
