id,sector,title,name,type,chef,address,lat,lng,date,area,user_score,review_cnt
1,전지적참견시점,전지적참견시점,토담골막창&곱창,"막창, 곱창",,,,,2026-02-01,병영,4.6,4
2,전지적참견시점,전지적참견시점,외남반점,"짬뽕, 우거지",,,,,2026-02-01,상주,5.0,1
3,전지적참견시점,전지적참견시점,교동도나스,"꽈배기, 도넛",,,,,2026-02-01,대곡점,4.5,2
4,전지적참견시점,전지적참견시점,이두부야,"콩국수, 콩물",,,,,2026-02-01,부산구서점,4.0,1
5,전지적참견시점,전지적참견시점,황장군,"갈비탕, 갈비찜",,,,,2026-02-01,구미공단점,4.7,3
6,전지적참견시점,전지적참견시점,브라더꽈배기,"꽈배기, 도너츠",,,,,2026-02-01,가덕휴게소점,5.0,1
7,전지적참견시점,전지적참견시점,경주십원빵,빵집,,,,,2026-02-01,경주,4.2,15
8,전지적참견시점,전지적참견시점,튼튼식당,"와규, 샤브샤브",,,,,2026-02-01,송정,4.3,3
9,전지적참견시점,전지적참견시점,할매손두부집,"두부전골, 명태양념구이",,,,,2026-02-01,상주,5.0,1
10,전지적참견시점,전지적참견시점,서면 곱,"곱창, 막창",,,,,2026-02-01,서면,4.4,7
11,전지적참견시점,전지적참견시점,리김밥,"김밥, 분식",,,,,2026-02-01,부산스타필드시티점,4.4,4
12,전지적참견시점,전지적참견시점,산청휴게소(통영방향),"꽈배기, 흑돼지",,,,,2026-02-01,산청,5.0,1
13,전지적참견시점,전지적참견시점,좋은해물촌 14호,꼼장어,,,,,2026-02-01,부산기장,4.0,1
14,전지적참견시점,전지적참견시점,중앙떡볶이,"떡볶이, 납작만두",,,,,2026-02-01,동성로,4.2,66
15,전지적참견시점,전지적참견시점,부산댁,고깃집,,,,,2026-02-01,광안리,4.5,8
16,전지적참견시점,전지적참견시점,장생포 고래빵,"아이스크림, 슈크림",,,,,2026-02-01,장생포,4.5,4
17,전지적참견시점,전지적참견시점,하초동,"버섯전골, 능이버섯전골",,,,,2026-02-01,문경새재,4.1,9
18,전지적참견시점,전지적참견시점,신동양식당,"백숙, 토종닭",,,,,2026-02-01,청송,,
19,전지적참견시점,전지적참견시점,화국반점,"짜장면, 간짜장",,,,,2026-02-01,부산중구,2.9,10
