id,sector,title,name,type,chef,address,lat,lng,date,area,user_score,review_cnt
1,전지적참견시점,전지적참견시점,선화슈퍼가맥,가맥,,,,,2026-02-01,성신여대,4.6,9
2,전지적참견시점,전지적참견시점,욥,빵,,,,,2026-02-01,당산,4.5,10
3,전지적참견시점,전지적참견시점,넘버원양꼬치,"양꼬치, 양갈비",,,,,2026-02-01,한남동,4.0,10
4,전지적참견시점,전지적참견시점,태종대,돼지갈비,,,,,2026-02-01,공덕,4.1,4
5,전지적참견시점,전지적참견시점,말죽거리꽈배기,"꽈배기, 찹쌀꽈배기",,,,,2026-02-01,숙대,4.2,2
6,전지적참견시점,전지적참견시점,김영모과자점,"베이커리, 몽블랑",,,,,2026-02-01,도곡타워점,4.2,14
7,전지적참견시점,전지적참견시점,도산 김밥,"김밥, 소세지김밥",,,,,2026-02-01,잠실새내,4.5,4
8,전지적참견시점,전지적참견시점,대구참막창,"막창, 돼지막창",,,,,2026-02-01,중곡동,5.0,3
9,전지적참견시점,전지적참견시점,프로간장게장,간장게장,,,,,2026-02-01,신사본점,3.4,6
10,전지적참견시점,전지적참견시점,안주나라,홍어삼합,,,,,2026-02-01,건대,3.9,5
11,전지적참견시점,전지적참견시점,자연석돌구이,"대패삼겹살, 오징어불고기",,,,,2026-02-01,논현동,4.2,12
12,전지적참견시점,전지적참견시점,두에 꼬제,"파스타, 화덕피자",,,,,2026-02-01,한남동,4.2,7
13,전지적참견시점,전지적참견시점,삼정집,"튀김, 새우튀김",,,,,2026-02-01,노량진수산시장,4.2,2
14,전지적참견시점,전지적참견시점,오한수 우육면가,우육면,,,,,2026-02-01,용산해링턴점,4.2,6
15,전지적참견시점,전지적참견시점,강화통통생고기,"삼겹살, 숙성삼겹살",,,,,2026-02-01,논현점,4.4,4
16,전지적참견시점,전지적참견시점,삼정튀김집,"튀김, 아나고튀김",,,,,2026-02-01,노량진수산시장,4.4,7
17,전지적참견시점,전지적참견시점,돈까스잔치,"돈까스, 잔치국수",,,,,2026-02-01,서빙고역,4.1,36
18,전지적참견시점,전지적참견시점,꽃새우 영번지,"해산물, 꽃새우",,,,,2026-02-01,역삼점,3.6,7
19,전지적참견시점,전지적참견시점,한남동한방통닭,"통닭, 한방통닭",,,,,2026-02-01,본점,4.4,53
20,전지적참견시점,전지적참견시점,잉꼬네떡볶이,"떡볶이, 쫄볶이",,,,,2026-02-01,망우동,4.0,4
21,전지적참견시점,전지적참견시점,옥이포차,포차,,,,,2026-02-01,상암,4.4,6
22,전지적참견시점,전지적참견시점,밥한끼,"등심돈까스, 제육덮밥",,,,,2026-02-01,한남동,4.2,8
23,전지적참견시점,전지적참견시점,한입소반,"김밥, 묵은지",,,,,2026-02-01,숙대입구,4.1,29
24,전지적참견시점,전지적참견시점,푸줏간생고기,"삼겹살, 김치삼겹살",,,,,2026-02-01,합정,4.7,4
25,전지적참견시점,전지적참견시점,호랑이김밥,김밥,,,,,2026-02-01,성북동,4.3,11
26,전지적참견시점,전지적참견시점,청담25,"한정식, 미역국",,,,,2026-02-01,청담동,4.4,8
27,전지적참견시점,전지적참견시점,코코부코,"카페, 쉐이크",,,,,2026-02-01,망원동,4.4,7
28,전지적참견시점,전지적참견시점,우돈청,"삼겹살, 고기집",,,,,2026-02-01,압구정로데오,3.6,5
29,전지적참견시점,전지적참견시점,안성상회,"김밥, 라면",,,,,2026-02-01,압구정,3.5,2
30,전지적참견시점,전지적참견시점,대구참막창사가정점,"돼지막창, 소막창",,,,,2026-02-01,사가정,5.0,2
31,전지적참견시점,전지적참견시점,일번지기사식당,"기사식당, 뚝배기불고기",,,,,2026-02-01,효창공원,4.6,2
32,전지적참견시점,전지적참견시점,푸드2900,"김밥, 소세지김밥",,,,,2026-02-01,논현시티점,3.8,5
33,전지적참견시점,전지적참견시점,하루한알,"디저트, 에그타르트",,,,,2026-02-01,압구정점,3.4,2
34,전지적참견시점,전지적참견시점,돈까스의 집,"경양식, 돈까스",,,,,2026-02-01,잠실,4.0,46
35,전지적참견시점,전지적참견시점,김영모과자점,"타르트, 베이커리",,,,,2026-02-01,서초본점,4.6,5
36,전지적참견시점,전지적참견시점,소주기행,요리주점,,,,,2026-02-01,구의역,5.0,1
37,전지적참견시점,전지적참견시점,마사타코,"타코, 멕시코음식",,,,,2026-02-01,가로수길,4.2,6
38,전지적참견시점,전지적참견시점,돈까스잔치 익스프레스,"돈까스, 옛날돈까스",,,,,2026-02-01,종로본점,4.4,4
39,전지적참견시점,전지적참견시점,본토박이,"쌈밥, 제육쌈밥",,,,,2026-02-01,여의도,4.2,4
40,전지적참견시점,전지적참견시점,영동교집,"냉삼, 흑돼지",,,,,2026-02-01,압구정현대아파트직영점,4.6,2
41,전지적참견시점,전지적참견시점,후랜드김밥,김밥,,,,,2026-02-01,압구정,3.0,3
42,전지적참견시점,전지적참견시점,제스티 살룬,"쉬림프버거, 갈릭버거",,,,,2026-02-01,성수,4.2,94
43,전지적참견시점,전지적참견시점,용마루굴다리껍데기,"돼지꼬리, 껍데기",,,,,2026-02-01,공덕,4.5,10
44,전지적참견시점,전지적참견시점,청담91떡볶이,"분식, 김밥",,,,,2026-02-01,청담,4.6,2
45,전지적참견시점,전지적참견시점,코끼리 만두,"만두, 김치만두",,,,,2026-02-01,등촌동,4.1,7
46,전지적참견시점,전지적참견시점,오토김밥,"닭강정, 김밥",,,,,2026-02-01,노원점,4.4,6
47,전지적참견시점,전지적참견시점,언양생고기 거북이 김치삼겹살 고추장불고기,"삼겹살, 쭈삼불고기",,,,,2026-02-01,한남동,4.1,8
48,전지적참견시점,전지적참견시점,옥정김밥,김밥,,,,,2026-02-01,옥수역,4.1,3
49,전지적참견시점,전지적참견시점,곱,"곱창, 마늘곱창",,,,,2026-02-01,마포점,4.3,41
50,전지적참견시점,전지적참견시점,부원냉면,"냉면, 함흥냉면",,,,,2026-02-01,금호동,3.8,8
51,전지적참견시점,전지적참견시점,솔낭구,"고깃집, 갈비",,,,,2026-02-01,이촌,3.1,2
52,전지적참견시점,전지적참견시점,털보네꼼장어,"꼼장어, 돼지꼬리",,,,,2026-02-01,한남동,3.6,4
53,전지적참견시점,전지적참견시점,풍천민물장어,"장어, 풍천민물장어",,,,,2026-02-01,일원동,4.0,1
54,전지적참견시점,전지적참견시점,성원식당,"소갈비, LA갈비",,,,,2026-02-01,을지로3가역,4.4,4
55,전지적참견시점,전지적참견시점,모퉁이,"김밥, 분식",,,,,2026-02-01,청담,3.0,1
56,전지적참견시점,전지적참견시점,하루한알,"계란, 에그타르트",,,,,2026-02-01,방배점,4.8,4
57,전지적참견시점,전지적참견시점,마녀김밥,김밥,,,,,2026-02-01,청담동,3.7,19
58,전지적참견시점,전지적참견시점,제스티살룬,"수제버거, 햄버거",,,,,2026-02-01,연남,4.4,42
59,전지적참견시점,전지적참견시점,종로진낙지,"산낙지, 산낙지철판볶음",,,,,2026-02-01,종로3가,4.1,9
60,전지적참견시점,전지적참견시점,최다이닝,"파스타, 양식",,,,,2026-02-01,상암동,4.6,6
61,전지적참견시점,전지적참견시점,진대감,"차돌삼합, 한우차돌",,,,,2026-02-01,공덕,3.8,10
62,전지적참견시점,전지적참견시점,생강김밥,"김밥, 문어",,,,,2026-02-01,미아사거리역점,4.8,3
63,전지적참견시점,전지적참견시점,생강김밥,김밥,,,,,2026-02-01,매봉역,3.8,8
64,전지적참견시점,전지적참견시점,엘더버거,수제버거,,,,,2026-02-01,서울숲,3.9,24
65,전지적참견시점,전지적참견시점,영천영화,"한우, 육회비빔밥",,,,,2026-02-01,청담점,3.6,19
66,전지적참견시점,전지적참견시점,영동교집,냉삼,,,,,2026-02-01,장안직영점,4.6,2
67,전지적참견시점,전지적참견시점,대가방,"짜장면, 탕수육",,,,,2026-02-01,본점,4.4,52
68,전지적참견시점,전지적참견시점,대독장,"김치찌개, 계란후라이",,,,,2026-02-01,역삼역,4.2,16
69,전지적참견시점,전지적참견시점,얼큰이왕냉면,"돈까스, 냉면",,,,,2026-02-01,망원동,4.5,3
70,전지적참견시점,전지적참견시점,원조 남산 왕돈까스,"돈까스, 왕돈까스",,,,,2026-02-01,남산,3.8,27
71,전지적참견시점,전지적참견시점,토말,"남도음식, 보리굴비",,,,,2026-02-01,강남구청역,4.2,5
72,전지적참견시점,전지적참견시점,파차마마 베이커리,"베이커리, 카페",,,,,2026-02-01,삼각지,4.1,24
73,전지적참견시점,전지적참견시점,고봉삼계탕,"삼계탕, 상황버섯",,,,,2026-02-01,가락점,4.7,6
74,전지적참견시점,전지적참견시점,오토김밥,"김밥, 닭강정",,,,,2026-02-01,성북직영점,3.5,2
75,전지적참견시점,전지적참견시점,화이트리에,"빵, 식빵",,,,,2026-02-01,압구정점,4.6,4
76,전지적참견시점,전지적참견시점,두루미분식,"분식, 떡볶이",,,,,2026-02-01,N서울타워점,4.4,3
77,전지적참견시점,전지적참견시점,서울만남의광장,"소고기국밥, 한식",,,,,2026-02-01,부산방향,4.5,4
78,전지적참견시점,전지적참견시점,금이네집,"국수, 열무국수",,,,,2026-02-01,낙원상가,,
79,전지적참견시점,전지적참견시점,영원식당,"수제비, 감자전",,,,,2026-02-01,여의도,3.9,26
80,전지적참견시점,전지적참견시점,진대감,"차돌삼합, 한우차돌",,,,,2026-02-01,신사역,4.6,6
81,전지적참견시점,전지적참견시점,진미평양냉면,평양냉면,,,,,2026-02-01,학동역,4.3,160
82,전지적참견시점,전지적참견시점,이태원양꼬치,"양꼬치, 꿔바로우",,,,,2026-02-01,이태원,4.6,4
83,전지적참견시점,전지적참견시점,명동교자,"칼국수, 만두",,,,,2026-02-01,본점,4.3,462
84,전지적참견시점,전지적참견시점,모퉁이흑미김밥,"김밥, 진미채김밥",,,,,2026-02-01,압구정,4.1,4
85,전지적참견시점,전지적참견시점,옛날집,"집밥, 한정식",,,,,2026-02-01,청담,3.1,5
86,전지적참견시점,전지적참견시점,응순가재골수제비,"수제비, 오징어파전",,,,,2026-02-01,수락산역,3.3,29
