id,sector,title,name,type,chef,address,lat,lng,date,area,user_score,review_cnt
1,전지적참견시점,전지적참견시점,천가 식육식당,"삼겹살, 천겹살",,,,,2026-02-01,대전유성,4.5,4
2,전지적참견시점,전지적참견시점,브라더 꽈배기,"찹쌀꽈배기, 꽈배기",,,,,2026-02-01,금왕,4.0,7
3,전지적참견시점,전지적참견시점,브라더꽈배기,"꽈배기, 찹쌀꽈배기",,,,,2026-02-01,금왕휴게소상행점,4.0,4
4,전지적참견시점,전지적참견시점,고향촌,"삼겹살, 찌개백반",,,,,2026-02-01,당진,4.7,2
5,전지적참견시점,전지적참견시점,브라더꽈배기,"꽈배기, 찹쌀꽈배기",,,,,2026-02-01,천둥산휴게소점,4.3,4
6,전지적참견시점,전지적참견시점,천안옛날호두과자,"호두과자, 튀김소보로",,,,,2026-02-01,북천안유리점,4.8,3
7,전지적참견시점,전지적참견시점,사천성,"짜장면, 간짜장",,,,,2026-02-01,보령,4.6,2
8,전지적참견시점,전지적참견시점,오양손칼국수,"칼국수, 칼제비",,,,,2026-02-01,보령,4.4,10
9,전지적참견시점,전지적참견시점,먹거리 순대,"순대국, 병천순대",,,,,2026-02-01,천안병천,3.7,6
10,전지적참견시점,전지적참견시점,원조 천안옛날호두과자,"호두과자, 튀김소보로",,,,,2026-02-01,예산,5.0,1
11,전지적참견시점,전지적참견시점,공주밤빵 정안상휴게소,"베이커리, 빵집",,,,,2026-02-01,공주,4.0,1
12,전지적참견시점,전지적참견시점,중앙탑면막국수,"막국수, 메밀치킨",,,,,2026-02-01,충주,4.0,6
13,전지적참견시점,전지적참견시점,옛날호두과자,"호두과자, 튀김소보로",,,,,2026-02-01,천안,3.6,5
14,전지적참견시점,전지적참견시점,알선생알탕전문점,알탕,,,,,2026-02-01,충주,4.2,5
15,전지적참견시점,전지적참견시점,사천성,"짜장면, 간짜장",,,,,2026-02-01,보령,5.0,1
16,전지적참견시점,전지적참견시점,개성집,명태조림,,,,,2026-02-01,부여,3.0,1
17,전지적참견시점,전지적참견시점,천안옛날호두과자,"호두과자, 튀김소보로",,,,,2026-02-01,천안병천,,
18,전지적참견시점,전지적참견시점,챔프 돈까스와생맥주,"경양식, 돈까스",,,,,2026-02-01,계룡,4.4,5
19,전지적참견시점,전지적참견시점,삼첩분식,"떡볶이, 로제떡볶이",,,,,2026-02-01,오창점,4.0,1
20,전지적참견시점,전지적참견시점,천등산휴게소(제천방향),"꽈배기, 푸드코트",,,,,2026-02-01,충주,3.4,4
21,전지적참견시점,전지적참견시점,대박갈비탕.국밥,"갈비탕, 국밥",,,,,2026-02-01,보령,3.3,4
22,전지적참견시점,전지적참견시점,천안옛날호두과자,호두과자,,,,,2026-02-01,아우내점,4.0,4
23,전지적참견시점,전지적참견시점,복수분식,"두부두루치기, 얼큰이칼국수",,,,,2026-02-01,본점,4.0,28
24,전지적참견시점,전지적참견시점,단양 흙마늘 닭강정,"닭강정, 흑마늘",,,,,2026-02-01,단양,4.1,17
25,전지적참견시점,전지적참견시점,공주밤나무,밤빵,,,,,2026-02-01,공주휴게소(당진방향)점,4.0,1
26,전지적참견시점,전지적참견시점,원조천안옛날호두과자,"호두과자, 튀김소보로",,,,,2026-02-01,천안터미널점,3.8,3
