id,sector,title,name,type,chef,address,lat,lng,date,area,user_score,review_cnt
1,식객허영만의백반기행,식객허영만의백반기행,제주해인물회,"멍게비빔밥, 물회",,,,,2026-02-01,강릉,4.7,21
2,식객허영만의백반기행,식객허영만의백반기행,권바우부대찌개,"부대찌개, 수제햄",,,,,2026-02-01,춘천본점,4.6,7
3,식객허영만의백반기행,식객허영만의백반기행,백토미가,"집밥, 시래기불고기",,,,,2026-02-01,양구,3.9,3
4,식객허영만의백반기행,식객허영만의백반기행,고향의맛 손칼국수 감자옹심이,"감자옹심이, 손칼국수",,,,,2026-02-01,동해시,4.6,13
5,식객허영만의백반기행,식객허영만의백반기행,고모네보리밥,"보리밥, 쌈밥",,,,,2026-02-01,홍천,4.1,3
6,식객허영만의백반기행,식객허영만의백반기행,산능이본가,"곤드레밥, 백반",,,,,2026-02-01,정선,4.5,5
7,식객허영만의백반기행,식객허영만의백반기행,쌍둥이네식당,"생선구이, 도치알탕",,,,,2026-02-01,고성,4.2,3
8,식객허영만의백반기행,식객허영만의백반기행,연봉손두부,두부전골,,,,,2026-02-01,홍천,5.0,2
9,식객허영만의백반기행,식객허영만의백반기행,춘천집,"냉면, 회냉면",,,,,2026-02-01,춘천,4.0,1
10,식객허영만의백반기행,식객허영만의백반기행,동양식당,"오삼불고기, 한우구이",,,,,2026-02-01,평창,4.0,5
11,식객허영만의백반기행,식객허영만의백반기행,옛날팥죽,"팥죽, 팥칼국수",,,,,2026-02-01,홍천,4.0,2
12,식객허영만의백반기행,식객허영만의백반기행,전주식당,"두부전골, 촌두부",,,,,2026-02-01,양구,4.2,6
13,식객허영만의백반기행,식객허영만의백반기행,풍전막국수,"막국수, 메밀막국수",,,,,2026-02-01,철원,4.5,1
14,식객허영만의백반기행,식객허영만의백반기행,강릉집,"백반, 생선",,,,,2026-02-01,춘천,4.2,16
15,식객허영만의백반기행,식객허영만의백반기행,이모네 칼국수,"장칼국수, 백반",,,,,2026-02-01,횡성,4.5,1
16,식객허영만의백반기행,식객허영만의백반기행,실비막국수,"막국수, 수육",,,,,2026-02-01,춘천,4.5,20
17,식객허영만의백반기행,식객허영만의백반기행,시골,옹심이,,,,,2026-02-01,동해,4.8,3
18,식객허영만의백반기행,식객허영만의백반기행,오뚜기식당,옹심이,,,,,2026-02-01,양양,4.4,7
19,식객허영만의백반기행,식객허영만의백반기행,남도호해물포차,"해물요리, 생선회",,,,,2026-02-01,삼척,4.0,1
20,식객허영만의백반기행,식객허영만의백반기행,황토집,"청국장, 막국수",,,,,2026-02-01,홍천,3.7,6
21,식객허영만의백반기행,식객허영만의백반기행,삼거리기사식당,"백반, 백반정식",,,,,2026-02-01,고성,4.0,1
22,식객허영만의백반기행,식객허영만의백반기행,제비호식당,"생선조림, 도치알탕",,,,,2026-02-01,고성,4.3,5
23,식객허영만의백반기행,식객허영만의백반기행,신흥막국수,"막국수, 순메밀막국수",,,,,2026-02-01,춘천,4.2,8
24,식객허영만의백반기행,식객허영만의백반기행,불개미식당,"백반, 보리밥정식",,,,,2026-02-01,강릉,4.5,4
25,식객허영만의백반기행,식객허영만의백반기행,광덕식당,소머리국밥,,,,,2026-02-01,중앙시장점,4.1,29
26,식객허영만의백반기행,식객허영만의백반기행,낙원회관,"한우, 된장소면",,,,,2026-02-01,정선,4.0,2
27,식객허영만의백반기행,식객허영만의백반기행,송천식당,"산채정식, 백반",,,,,2026-02-01,월정사,4.1,3
28,식객허영만의백반기행,식객허영만의백반기행,동남회집,"물회, 가자미회",,,,,2026-02-01,동해,4.2,6
29,식객허영만의백반기행,식객허영만의백반기행,미조리횟집,"물회, 오징어물회",,,,,2026-02-01,삼척,3.6,2
30,식객허영만의백반기행,식객허영만의백반기행,산채촌,"산채정식, 황태구이",,,,,2026-02-01,인제,5.0,2
31,식객허영만의백반기행,식객허영만의백반기행,맥고을,"더덕, 장칼국수",,,,,2026-02-01,춘천,3.0,1
32,식객허영만의백반기행,식객허영만의백반기행,바다횟집,"곰치국, 매운탕",,,,,2026-02-01,삼척,4.5,11
33,식객허영만의백반기행,식객허영만의백반기행,대추나무막국수,"막국수, 감자전",,,,,2026-02-01,원주,5.0,2
34,식객허영만의백반기행,식객허영만의백반기행,원조숯불닭불고기,"닭갈비, 숯불닭갈비",,,,,2026-02-01,춘천,4.3,56
35,식객허영만의백반기행,식객허영만의백반기행,울릉도호박집,"생선조림, 생선찜",,,,,2026-02-01,삼척,,
36,식객허영만의백반기행,식객허영만의백반기행,다윤네집,"닭백숙, 백반",,,,,2026-02-01,춘천,,
37,식객허영만의백반기행,식객허영만의백반기행,고마루,"장칼국수, 메밀국수",,,,,2026-02-01,평창,5.0,1
38,식객허영만의백반기행,식객허영만의백반기행,후평왕족발,"족발, 백반",,,,,2026-02-01,춘천,4.0,1
39,식객허영만의백반기행,식객허영만의백반기행,아승순메밀막국수,"꿩만두, 메밀막국수",,,,,2026-02-01,평창,4.0,1
40,식객허영만의백반기행,식객허영만의백반기행,삼호가든,"삼계탕, 백반",,,,,2026-02-01,화천,,
41,식객허영만의백반기행,식객허영만의백반기행,춘천호인삼메기매운탕,"메기탕, 메기구이",,,,,2026-02-01,춘천,5.0,1
42,식객허영만의백반기행,식객허영만의백반기행,미경이네횟집,"물회, 섭국",,,,,2026-02-01,주문진,4.0,1
43,식객허영만의백반기행,식객허영만의백반기행,작은밥집소소반,"백반, 불고기",,,,,2026-02-01,횡성,,
44,식객허영만의백반기행,식객허영만의백반기행,장릉보리밥,"나물, 보리밥",,,,,2026-02-01,영월,4.6,10
45,식객허영만의백반기행,식객허영만의백반기행,오복가든,"곤드레밥, 백반",,,,,2026-02-01,평창,,
46,식객허영만의백반기행,식객허영만의백반기행,곰국수손만두,"만두국, 곰국수",,,,,2026-02-01,속초,4.3,6
47,식객허영만의백반기행,식객허영만의백반기행,부명칼국수,"옹심이, 장칼국수",,,,,2026-02-01,삼척,4.2,14
