id,sector,title,name,type,chef,address,lat,lng,date,area,user_score,review_cnt
1,식객허영만의백반기행,식객허영만의백반기행,무등보리밥정식,"보리밥, 보리밥정식",,,,,2026-02-01,남양주,4.2,8
2,식객허영만의백반기행,식객허영만의백반기행,콩리,"도토리묵, 도토리전",,,,,2026-02-01,양평,4.6,10
3,식객허영만의백반기행,식객허영만의백반기행,샘내손두부,"두부요리, 두부",,,,,2026-02-01,파주,4.3,8
4,식객허영만의백반기행,식객허영만의백반기행,시장면가,"막국수, 온면",,,,,2026-02-01,원당역,4.6,12
5,식객허영만의백반기행,식객허영만의백반기행,황주생고기,"한우, 소고기",,,,,2026-02-01,동두천,3.7,2
6,식객허영만의백반기행,식객허영만의백반기행,제일갈비,"물갈비, 돼지갈비",,,,,2026-02-01,이천,4.1,22
7,식객허영만의백반기행,식객허영만의백반기행,문발애 직화불백,"백반, 쫄면",,,,,2026-02-01,파주,4.8,4
8,식객허영만의백반기행,식객허영만의백반기행,홍행원,"짜장면, 가지튀김",,,,,2026-02-01,평택,4.5,3
9,식객허영만의백반기행,식객허영만의백반기행,개성손만두,"만두국, 백반",,,,,2026-02-01,광명,5.0,5
10,식객허영만의백반기행,식객허영만의백반기행,천하일품생대구탕,"생대구탕, 해물파전",,,,,2026-02-01,분당,4.4,2
11,식객허영만의백반기행,식객허영만의백반기행,두미만두,"만두국, 빈대떡",,,,,2026-02-01,부천,5.0,5
12,식객허영만의백반기행,식객허영만의백반기행,팔미옥,"한우, 한우특수부위",,,,,2026-02-01,매산동,4.4,2
13,식객허영만의백반기행,식객허영만의백반기행,수원갈비스토리,"갈비탕, 왕갈비",,,,,2026-02-01,행궁동,4.0,1
14,식객허영만의백반기행,식객허영만의백반기행,산하가든,"한우, 백반",,,,,2026-02-01,양주,2.4,3
15,식객허영만의백반기행,식객허영만의백반기행,장내동육칼,"도가니탕, 백반",,,,,2026-02-01,안양중앙시장,4.0,4
16,식객허영만의백반기행,식객허영만의백반기행,지중해갈낙탕,"낙지, 갈낙탕",,,,,2026-02-01,가평,4.0,1
17,식객허영만의백반기행,식객허영만의백반기행,감포생아귀,"아구찜, 아귀수육",,,,,2026-02-01,수원,5.0,2
18,식객허영만의백반기행,식객허영만의백반기행,한우소머리국밥,"소머리국밥, 한우소머리국밥",,,,,2026-02-01,화성,4.5,3
19,식객허영만의백반기행,식객허영만의백반기행,제일식당,순대국,,,,,2026-02-01,용인,4.1,31
20,식객허영만의백반기행,식객허영만의백반기행,여내울,"집밥, 백반",,,,,2026-02-01,여주,4.8,10
21,식객허영만의백반기행,식객허영만의백반기행,고흥식당,"한정식, 백반",,,,,2026-02-01,안양,4.4,3
22,식객허영만의백반기행,식객허영만의백반기행,표미숙국수,"가맥, 노가리",,,,,2026-02-01,양평,4.0,1
23,식객허영만의백반기행,식객허영만의백반기행,순영네두루치기,"두루치기, 돼지두루치기",,,,,2026-02-01,경기광주,4.0,1
24,식객허영만의백반기행,식객허영만의백반기행,우동 선,"우동, 텐동",,,,,2026-02-01,이천,4.4,12
25,식객허영만의백반기행,식객허영만의백반기행,수구레엄마손백반,백반,,,,,2026-02-01,수원,4.0,1
26,식객허영만의백반기행,식객허영만의백반기행,육일한우곤드레우거지국밥,"국밥, 우거지",,,,,2026-02-01,여주,4.4,2
27,식객허영만의백반기행,식객허영만의백반기행,옛날국밥앤갈비한판,"국밥, 갈비",,,,,2026-02-01,능곡,4.3,10
28,식객허영만의백반기행,식객허영만의백반기행,진선보쌈,"족발, 보쌈",,,,,2026-02-01,성남,4.9,11
29,식객허영만의백반기행,식객허영만의백반기행,시어머니청국장,"백반, 청국장",,,,,2026-02-01,하남,3.8,7
30,식객허영만의백반기행,식객허영만의백반기행,마당집추어탕,"추어탕, 추어튀김",,,,,2026-02-01,여주,4.4,3
