id,sector,title,name,type,chef,address,lat,lng,date,area,user_score,review_cnt
1,식객허영만의백반기행,식객허영만의백반기행,제일식당,"돼지국밥, 내장국밥",,,,,2026-02-01,밀양,5.0,2
2,식객허영만의백반기행,식객허영만의백반기행,멍게가,"물회, 멍게비빔밥",,,,,2026-02-01,통영,4.3,5
3,식객허영만의백반기행,식객허영만의백반기행,이방식당,"수구레, 국밥",,,,,2026-02-01,창녕,4.7,3
4,식객허영만의백반기행,식객허영만의백반기행,홍화원식당,"산채비빔밥, 백반",,,,,2026-02-01,산청,5.0,1
5,식객허영만의백반기행,식객허영만의백반기행,하모자연산횟집,"하모샤브샤브, 갯장어",,,,,2026-02-01,경남고성,3.3,2
6,식객허영만의백반기행,식객허영만의백반기행,은성게장,"게장, 해물된장찌개",,,,,2026-02-01,진주,5.0,2
7,식객허영만의백반기행,식객허영만의백반기행,조샌집,"어탕국수, 어탕밥",,,,,2026-02-01,함양,3.0,3
8,식객허영만의백반기행,식객허영만의백반기행,명화식당,"백반, 생선",,,,,2026-02-01,거제,4.5,2
9,식객허영만의백반기행,식객허영만의백반기행,금호식당,"갈비찜, 갈비탕",,,,,2026-02-01,함양,3.3,5
10,식객허영만의백반기행,식객허영만의백반기행,화성갈비,갈비탕,,,,,2026-02-01,마산,3.6,6
11,식객허영만의백반기행,식객허영만의백반기행,제일식당,"육회비빔밥, 선지국밥",,,,,2026-02-01,진주,4.1,41
12,식객허영만의백반기행,식객허영만의백반기행,창원집식당,"육회비빔밥, 한우국밥",,,,,2026-02-01,창원,4.5,7
13,식객허영만의백반기행,식객허영만의백반기행,선창식당,"백반, 조개탕",,,,,2026-02-01,거제,,
14,식객허영만의백반기행,식객허영만의백반기행,강변다찌,"횟집, 다찌",,,,,2026-02-01,통영,2.3,2
15,식객허영만의백반기행,식객허영만의백반기행,달동네식당,"아구찜, 대구뽈찜",,,,,2026-02-01,함양,5.0,2
16,식객허영만의백반기행,식객허영만의백반기행,촌닭농장,"닭백숙, 백반",,,,,2026-02-01,밀양,5.0,1
17,식객허영만의백반기행,식객허영만의백반기행,순할머니손칼국수,"칼국수, 손칼국수",,,,,2026-02-01,합천,4.2,11
18,식객허영만의백반기행,식객허영만의백반기행,생초식당,"아구찜, 백반",,,,,2026-02-01,진주,,
19,식객허영만의백반기행,식객허영만의백반기행,통영식당,"멸치쌈밥, 멸치회",,,,,2026-02-01,통영,2.5,2
20,식객허영만의백반기행,식객허영만의백반기행,휘모리,"생선조림, 도다리쑥국",,,,,2026-02-01,마산,,
21,식객허영만의백반기행,식객허영만의백반기행,가마솥시락국집,"시락국, 백반",,,,,2026-02-01,통영,4.2,2
