id,sector,title,name,type,chef,address,lat,lng,date,area,user_score,review_cnt
1,식객허영만의백반기행,식객허영만의백반기행,거너실흑태찜,"흑태찜, 백반",,,,,2026-02-01,대구용산점,5.0,1
2,식객허영만의백반기행,식객허영만의백반기행,화개장터가마솥국밥,"한우국밥, 소고기국밥",,,,,2026-02-01,대구칠곡,4.5,9
3,식객허영만의백반기행,식객허영만의백반기행,진미통닭,"통닭, 닭똥집",,,,,2026-02-01,대구동구,4.0,1
4,식객허영만의백반기행,식객허영만의백반기행,감골식당,"백반, 청국장",,,,,2026-02-01,이곡동,,
5,식객허영만의백반기행,식객허영만의백반기행,일경식당,"국밥, 막창순대국밥",,,,,2026-02-01,대구동구,4.2,3
6,식객허영만의백반기행,식객허영만의백반기행,삼미찜갈비,찜갈비,,,,,2026-02-01,서문시장점,4.2,9
7,식객허영만의백반기행,식객허영만의백반기행,남도횟집,"횟집, 무침회",,,,,2026-02-01,대구중구,4.9,4
8,식객허영만의백반기행,식객허영만의백반기행,호야막창,"막창, 삼겹살",,,,,2026-02-01,용산동,,
9,식객허영만의백반기행,식객허영만의백반기행,국일따로국밥,"국밥, 따로국밥",,,,,2026-02-01,동성로,4.1,29
10,식객허영만의백반기행,식객허영만의백반기행,산골기사식당,"순두부, 순두부찌개",,,,,2026-02-01,팔공산,4.3,5
11,식객허영만의백반기행,식객허영만의백반기행,유창반점,"중화비빔밥, 중식",,,,,2026-02-01,본점,4.0,39
12,식객허영만의백반기행,식객허영만의백반기행,환희정,"백반, 한정식",,,,,2026-02-01,수성구,5.0,1
13,식객허영만의백반기행,식객허영만의백반기행,송림식당,"한식, 고깃집",,,,,2026-02-01,대구,4.4,2
14,식객허영만의백반기행,식객허영만의백반기행,개미분식,"떡볶이, 분식",,,,,2026-02-01,대구중구,3.6,4
15,식객허영만의백반기행,식객허영만의백반기행,온돌방식당,"한정식, 백반",,,,,2026-02-01,동성로,5.0,4
16,식객허영만의백반기행,식객허영만의백반기행,장원식당,"뭉티기, 생고기",,,,,2026-02-01,동인동,,
17,식객허영만의백반기행,식객허영만의백반기행,미가식당,"집밥, 고등어조림",,,,,2026-02-01,대구달서구,4.9,3
18,식객허영만의백반기행,식객허영만의백반기행,양지식당,"뭉티기, 생고기",,,,,2026-02-01,상인동,,
19,식객허영만의백반기행,식객허영만의백반기행,울진참가자미,"물회, 참가자미회",,,,,2026-02-01,대구수성구,4.5,8
20,식객허영만의백반기행,식객허영만의백반기행,국일생갈비,"한우, 생갈비",,,,,2026-02-01,대구중구,4.8,2
21,식객허영만의백반기행,식객허영만의백반기행,참한우소갈비집,"한우, 백반",,,,,2026-02-01,월광수변공원,4.9,5
22,식객허영만의백반기행,식객허영만의백반기행,옥우촌한우,"한우, 소고기",,,,,2026-02-01,용연사,5.0,1
