id,sector,title,name,type,chef,address,lat,lng,date,area,user_score,review_cnt
1,식객허영만의백반기행,식객허영만의백반기행,한마음 냉면,"냉면, 만두",,,,,2026-02-01,대전유성구,3.2,9
2,식객허영만의백반기행,식객허영만의백반기행,회랑,"백반, 청국장",,,,,2026-02-01,대전서구,4.0,1
3,식객허영만의백반기행,식객허영만의백반기행,현암뚝방구이,"청국장, 고추장구이",,,,,2026-02-01,대전,4.1,7
4,식객허영만의백반기행,식객허영만의백반기행,소나무집,"오징어볶음, 오징어찌개",,,,,2026-02-01,대전중구,3.2,15
5,식객허영만의백반기행,식객허영만의백반기행,매봉식당,"두부전골, 삼계탕",,,,,2026-02-01,대덕구,4.2,16
6,식객허영만의백반기행,식객허영만의백반기행,비래골손두부,"두부전골, 손두부",,,,,2026-02-01,대전,,
7,식객허영만의백반기행,식객허영만의백반기행,형제집,"불고기, 연탄불고기",,,,,2026-02-01,대전중구,3.8,3
8,식객허영만의백반기행,식객허영만의백반기행,솔밭묵집,"도토리묵, 보리밥",,,,,2026-02-01,대전유성구,3.9,15
9,식객허영만의백반기행,식객허영만의백반기행,홍두깨칼국수,"칼국수, 얼큰이칼국수",,,,,2026-02-01,대전중구,4.0,6
10,식객허영만의백반기행,식객허영만의백반기행,대동순대,"순대국, 막창순대",,,,,2026-02-01,대전문화동,4.6,11
11,식객허영만의백반기행,식객허영만의백반기행,부산식당,순대국,,,,,2026-02-01,유성,4.3,2
12,식객허영만의백반기행,식객허영만의백반기행,대전갈비집,돼지갈비,,,,,2026-02-01,대전중구,3.9,13
13,식객허영만의백반기행,식객허영만의백반기행,별난집,"두부두루치기, 녹두지짐",,,,,2026-02-01,대전역,4.3,36
14,식객허영만의백반기행,식객허영만의백반기행,진로집,"두부두루치기, 수육",,,,,2026-02-01,대전대흥동,4.3,91
15,식객허영만의백반기행,식객허영만의백반기행,사리원면옥,"냉면, 평양냉면",,,,,2026-02-01,본점,3.6,15
16,식객허영만의백반기행,식객허영만의백반기행,산막골가든,"삼겹살, 흑돼지구이",,,,,2026-02-01,금산,3.0,1
17,식객허영만의백반기행,식객허영만의백반기행,경동 오징어 국수,"두부두루치기, 오징어국",,,,,2026-02-01,대전,3.0,1
18,식객허영만의백반기행,식객허영만의백반기행,고향콩나물집,"콩나물밥, 백반",,,,,2026-02-01,대전중구,4.0,2
