id,sector,title,name,type,chef,address,lat,lng,date,area,user_score,review_cnt
1,식객허영만의백반기행,식객허영만의백반기행,화진포막국수,"막국수, 명태식해",,,,,2026-02-01,강동구청점,4.0,34
2,식객허영만의백반기행,식객허영만의백반기행,신명먹거리,"백반, 백반집",,,,,2026-02-01,성수동,5.0,5
3,식객허영만의백반기행,식객허영만의백반기행,일등바우,"민어, 병어조림",,,,,2026-02-01,가락동,4.0,2
4,식객허영만의백반기행,식객허영만의백반기행,승우네식당,"백반, 백반집",,,,,2026-02-01,광장시장,4.2,6
5,식객허영만의백반기행,식객허영만의백반기행,제일콩집,"콩국수, 청국장",,,,,2026-02-01,공릉,4.4,53
6,식객허영만의백반기행,식객허영만의백반기행,서여사네,"어죽, 어탕칼국수",,,,,2026-02-01,문래,4.8,10
7,식객허영만의백반기행,식객허영만의백반기행,묵동부대찌개,"부대찌개, 미나리",,,,,2026-02-01,묵동,3.4,7
8,식객허영만의백반기행,식객허영만의백반기행,천일삼계탕,"삼계탕, 칼국수",,,,,2026-02-01,동대문,3.9,8
9,식객허영만의백반기행,식객허영만의백반기행,오시오,"남도음식, 서대찜",,,,,2026-02-01,왕십리,3.0,1
10,식객허영만의백반기행,식객허영만의백반기행,어울림,"새조개, 해산물",,,,,2026-02-01,광나루역,4.6,8
11,식객허영만의백반기행,식객허영만의백반기행,일미장어,"장어, 장어구이",,,,,2026-02-01,서울역,4.4,7
12,식객허영만의백반기행,식객허영만의백반기행,충무집,"횟집, 도다리쑥국",,,,,2026-02-01,을지로입구역,4.0,18
13,식객허영만의백반기행,식객허영만의백반기행,솔,"김치찌개, 수제비",,,,,2026-02-01,여의도,4.0,1
14,식객허영만의백반기행,식객허영만의백반기행,마장동 한우촌,"한우, 백반",,,,,2026-02-01,마장동,4.1,6
15,식객허영만의백반기행,식객허영만의백반기행,무수옥,"설렁탕, 육회비빔밥",,,,,2026-02-01,도봉역,4.2,34
16,식객허영만의백반기행,식객허영만의백반기행,오라이등심,"나물, 동그랑땡",,,,,2026-02-01,광장시장,3.7,3
17,식객허영만의백반기행,식객허영만의백반기행,이문설렁탕,설렁탕,,,,,2026-02-01,인사동,3.7,61
18,식객허영만의백반기행,식객허영만의백반기행,가향,"횟집, 가오리찜",,,,,2026-02-01,종로3가,5.0,1
19,식객허영만의백반기행,식객허영만의백반기행,장수식당,"삼겹살, 김치삼겹살",,,,,2026-02-01,잠실,4.7,10
20,식객허영만의백반기행,식객허영만의백반기행,뚱보식당,"돼지갈비, 고추장불고기",,,,,2026-02-01,충무로,4.3,12
21,식객허영만의백반기행,식객허영만의백반기행,원조 마산할매아구찜,"아구찜, 간장게장",,,,,2026-02-01,신사역,4.0,1
22,식객허영만의백반기행,식객허영만의백반기행,토박이,"집밥, 만두전골",,,,,2026-02-01,서래마을,4.7,7
23,식객허영만의백반기행,식객허영만의백반기행,신락원,"짜장면, 중화요리",,,,,2026-02-01,전농동,3.8,8
24,식객허영만의백반기행,식객허영만의백반기행,창성옥,"해장국, 뼈전골",,,,,2026-02-01,본점,4.2,26
25,식객허영만의백반기행,식객허영만의백반기행,동경전통육개장 설곰탕,"육개장, 백반",,,,,2026-02-01,강남역,3.2,16
26,식객허영만의백반기행,식객허영만의백반기행,화목,"카이센동, 스시",,,,,2026-02-01,은마상가,4.9,2
27,식객허영만의백반기행,식객허영만의백반기행,송월냉면,"냉면, 열무냉면",,,,,2026-02-01,천호동,4.0,15
28,식객허영만의백반기행,식객허영만의백반기행,연포생선구이전문점,"생선구이, 솥밥",,,,,2026-02-01,미아역,3.4,2
29,식객허영만의백반기행,식객허영만의백반기행,홍연옥,"콩나물국밥, 백반",,,,,2026-02-01,신당역,3.0,1
30,식객허영만의백반기행,식객허영만의백반기행,서울복집,"복어, 참복",,,,,2026-02-01,명동,3.2,2
31,식객허영만의백반기행,식객허영만의백반기행,오복꼬리곰탕,꼬리곰탕,,,,,2026-02-01,신사역,5.0,1
32,식객허영만의백반기행,식객허영만의백반기행,장지녕 간장게장,"게장정식, 꼬막무침",,,,,2026-02-01,한남동,4.4,13
33,식객허영만의백반기행,식객허영만의백반기행,동원집,"감자탕, 감자국",,,,,2026-02-01,충무로,4.1,65
34,식객허영만의백반기행,식객허영만의백반기행,춘천막국수,"이북식찜닭, 막국수",,,,,2026-02-01,약수역,4.5,13
35,식객허영만의백반기행,식객허영만의백반기행,털보네꼼장어,"꼼장어, 돼지꼬리",,,,,2026-02-01,한남동,3.6,4
36,식객허영만의백반기행,식객허영만의백반기행,밀과보리,"미나리전, 곤드레밥",,,,,2026-02-01,안국역,4.4,9
37,식객허영만의백반기행,식객허영만의백반기행,덕성각,"짜장면, 옛날짜장",,,,,2026-02-01,동대문,4.7,8
38,식객허영만의백반기행,식객허영만의백반기행,죽변항 해물포차,"해산물, 해물모듬",,,,,2026-02-01,영등포구청,4.2,12
39,식객허영만의백반기행,식객허영만의백반기행,신신식당,"쌈밥, 우렁쌈밥",,,,,2026-02-01,성신여대,3.5,2
40,식객허영만의백반기행,식객허영만의백반기행,주유소식당,"낙지볶음, 제육볶음",,,,,2026-02-01,을지로4가역,4.4,2
41,식객허영만의백반기행,식객허영만의백반기행,진미식당,"콩국수, 오징어볶음",,,,,2026-02-01,삼각지,4.2,12
42,식객허영만의백반기행,식객허영만의백반기행,국시집,"국수, 국시",,,,,2026-02-01,성북동,4.1,13
43,식객허영만의백반기행,식객허영만의백반기행,다락정,"만두국, 만두전골",,,,,2026-02-01,삼청동,3.4,9
44,식객허영만의백반기행,식객허영만의백반기행,민정식당,"설렁탕, 모듬수육",,,,,2026-02-01,본점,4.8,14
45,식객허영만의백반기행,식객허영만의백반기행,아성꼬막홍어막걸리,"홍어삼합, 빈대떡",,,,,2026-02-01,용문시장,,
46,식객허영만의백반기행,식객허영만의백반기행,할머니현대낙지,"낙지볶음, 세발낙지",,,,,2026-02-01,압구정,,
47,식객허영만의백반기행,식객허영만의백반기행,명지식당,"백반, 곤드레밥",,,,,2026-02-01,서대문역,,
48,식객허영만의백반기행,식객허영만의백반기행,뱃고동,"오징어볶음, 오징어불고기",,,,,2026-02-01,본점,4.2,53
49,식객허영만의백반기행,식객허영만의백반기행,설눈,"평양냉면, 녹두전",,,,,2026-02-01,서초역,4.0,23
50,식객허영만의백반기행,식객허영만의백반기행,유림면,"메밀국수, 비빔메밀",,,,,2026-02-01,덕수궁,4.0,71
51,식객허영만의백반기행,식객허영만의백반기행,순라길,"홍어, 홍어삼합",,,,,2026-02-01,서순라길,,
52,식객허영만의백반기행,식객허영만의백반기행,오두리두부,"두부요리, 두부전골",,,,,2026-02-01,불광동,4.6,6
53,식객허영만의백반기행,식객허영만의백반기행,다미,"생선구이, 메로구이",,,,,2026-02-01,여의도,3.9,19
54,식객허영만의백반기행,식객허영만의백반기행,안동국시,"안동국시, 국수",,,,,2026-02-01,압구정,4.3,7
55,식객허영만의백반기행,식객허영만의백반기행,신촌기사식당,"집밥, 돼지불백",,,,,2026-02-01,방화동,3.3,6
56,식객허영만의백반기행,식객허영만의백반기행,돈불리 제담,"고기국수, 접짝뼈국",,,,,2026-02-01,신사,4.4,5
57,식객허영만의백반기행,식객허영만의백반기행,잊지마식당,"생선구이, 백반",,,,,2026-02-01,충무로,4.2,3
58,식객허영만의백반기행,식객허영만의백반기행,신복촌,"우럭, 해물",,,,,2026-02-01,여의도,4.5,3
59,식객허영만의백반기행,식객허영만의백반기행,사랑방칼국수,"백숙, 칼국수",,,,,2026-02-01,충무로,4.3,86
60,식객허영만의백반기행,식객허영만의백반기행,합정옥,"곰탕, 수육",,,,,2026-02-01,합정,4.0,23
61,식객허영만의백반기행,식객허영만의백반기행,유원설렁탕,"설렁탕, 도가니탕",,,,,2026-02-01,잠실,3.7,5
62,식객허영만의백반기행,식객허영만의백반기행,바다식당,"부대찌개, 존슨탕",,,,,2026-02-01,이태원,3.2,45
63,식객허영만의백반기행,식객허영만의백반기행,보건옥,"김치찌개, 삼겹살",,,,,2026-02-01,을지로4가,4.0,7
64,식객허영만의백반기행,식객허영만의백반기행,삼성원조양곱창,"곱창, 청국장",,,,,2026-02-01,청담,4.4,11
65,식객허영만의백반기행,식객허영만의백반기행,광주식당,동태탕,,,,,2026-02-01,동묘,4.6,10
66,식객허영만의백반기행,식객허영만의백반기행,해남닭집,"치킨, 옛날통닭",,,,,2026-02-01,건대,4.1,8
67,식객허영만의백반기행,식객허영만의백반기행,영원식당,"수제비, 감자전",,,,,2026-02-01,여의도,3.9,26
68,식객허영만의백반기행,식객허영만의백반기행,매일낙지,"낙지, 불낙지",,,,,2026-02-01,문래,5.0,2
69,식객허영만의백반기행,식객허영만의백반기행,경동맛집,"생선조림, 가오리찜",,,,,2026-02-01,서촌,4.0,2
70,식객허영만의백반기행,식객허영만의백반기행,상록수연탄구이,"삼겹살, 고기집",,,,,2026-02-01,숙대본점,4.3,23
71,식객허영만의백반기행,식객허영만의백반기행,신천생태,생태찌개,,,,,2026-02-01,잠실,4.1,2
72,식객허영만의백반기행,식객허영만의백반기행,은진포차,"생선조림, 병어조림",,,,,2026-02-01,문래,4.1,9
73,식객허영만의백반기행,식객허영만의백반기행,산들애 건강밥상,"한식, 코다리구이",,,,,2026-02-01,북한산,4.2,10
74,식객허영만의백반기행,식객허영만의백반기행,목포낙지마을,"낙지볶음, 낙지덮밥",,,,,2026-02-01,마포구청역,4.9,3
75,식객허영만의백반기행,식객허영만의백반기행,금성스테이크 부대찌개,"부대찌개, 쏘세지",,,,,2026-02-01,압구정,3.8,14
76,식객허영만의백반기행,식객허영만의백반기행,왕성식당,"갈치, 갈치조림",,,,,2026-02-01,남대문시장,4.1,7
77,식객허영만의백반기행,식객허영만의백반기행,고향집,"쭈꾸미, 쭈꾸미구이",,,,,2026-02-01,구의역,4.3,4
78,식객허영만의백반기행,식객허영만의백반기행,골목냉면,"냉면, 매운냉면",,,,,2026-02-01,금남시장,3.7,3
79,식객허영만의백반기행,식객허영만의백반기행,삼다도,"아구찜, 아구탕",,,,,2026-02-01,미아,4.0,1
80,식객허영만의백반기행,식객허영만의백반기행,반룡산,"함흥냉면, 가릿국밥",,,,,2026-02-01,선릉,3.9,60
81,식객허영만의백반기행,식객허영만의백반기행,이북 만두,"만두국, 이북만두",,,,,2026-02-01,무교동,2.9,20
82,식객허영만의백반기행,식객허영만의백반기행,서울곰탕,곰탕,,,,,2026-02-01,동대문,4.0,1
83,식객허영만의백반기행,식객허영만의백반기행,황생가칼국수,"칼국수, 사골칼국수",,,,,2026-02-01,삼청동,4.0,81
84,식객허영만의백반기행,식객허영만의백반기행,은성보쌈,"보쌈, 삼겹보쌈",,,,,2026-02-01,금남시장,3.8,12
85,식객허영만의백반기행,식객허영만의백반기행,덕원식당,"꼬리곰탕, 설렁탕",,,,,2026-02-01,영등포,4.0,2
86,식객허영만의백반기행,식객허영만의백반기행,숯불돼지갈비,"돼지갈비, 숯불돼지갈비",,,,,2026-02-01,마포집,4.6,7
87,식객허영만의백반기행,식객허영만의백반기행,진주집,"꼬리곰탕, 꼬리찜",,,,,2026-02-01,남대문시장,3.6,18
88,식객허영만의백반기행,식객허영만의백반기행,왕십리 정부네 곱창,"곱창, 막창",,,,,2026-02-01,왕십리,4.0,7
89,식객허영만의백반기행,식객허영만의백반기행,생생아구,"아구찜, 아구수육",,,,,2026-02-01,잠실,4.3,4
90,식객허영만의백반기행,식객허영만의백반기행,자하손만두,만두국,,,,,2026-02-01,부암동,4.0,76
91,식객허영만의백반기행,식객허영만의백반기행,신촌즉석생우동,"우동, 즉석우동",,,,,2026-02-01,대흥역,4.4,14
92,식객허영만의백반기행,식객허영만의백반기행,청담25,"한정식, 미역국",,,,,2026-02-01,청담동,4.4,8
93,식객허영만의백반기행,식객허영만의백반기행,뉴만두집,만두국,,,,,2026-02-01,압구정로데오,3.9,36
94,식객허영만의백반기행,식객허영만의백반기행,부흥동태,"동태탕, 동태전골",,,,,2026-02-01,여의도,1.5,2
95,식객허영만의백반기행,식객허영만의백반기행,수지네식당,"김치찌개, 계란말이",,,,,2026-02-01,성내동,5.0,2
96,식객허영만의백반기행,식객허영만의백반기행,골목식당,"청국장, 보쌈",,,,,2026-02-01,을지로3가,3.0,2
97,식객허영만의백반기행,식객허영만의백반기행,충무로쭈꾸미불고기,"쭈꾸미, 쭈꾸미불고기",,,,,2026-02-01,충무로본점,4.3,45
98,식객허영만의백반기행,식객허영만의백반기행,동대문곱창,"닭볶음탕, 꽃게",,,,,2026-02-01,건대,4.5,7
99,식객허영만의백반기행,식객허영만의백반기행,삼지,"집밥, 백반",,,,,2026-02-01,안국,4.0,1
100,식객허영만의백반기행,식객허영만의백반기행,청년밥상문간,"김치찌개, 라면",,,,,2026-02-01,정릉,4.4,6
