id,sector,title,name,type,chef,address,lat,lng,date,area,user_score,review_cnt
1,식객허영만의백반기행,식객허영만의백반기행,무등보리밥정식,"보리밥, 보리밥정식",,,,,2026-02-01,남양주,4.2,8
2,식객허영만의백반기행,식객허영만의백반기행,제주해인물회,"멍게비빔밥, 물회",,,,,2026-02-01,강릉,4.7,21
3,식객허영만의백반기행,식객허영만의백반기행,화진포막국수,"막국수, 명태식해",,,,,2026-02-01,강동구청점,4.0,34
4,식객허영만의백반기행,식객허영만의백반기행,제일식당,"백반, 굴비백반",,,,,2026-02-01,장성,5.0,1
5,식객허영만의백반기행,식객허영만의백반기행,가마솥돼지국밥,돼지국밥,,,,,2026-02-01,영도,4.1,10
6,식객허영만의백반기행,식객허영만의백반기행,권바우부대찌개,"부대찌개, 수제햄",,,,,2026-02-01,춘천본점,4.6,7
7,식객허영만의백반기행,식객허영만의백반기행,선미식당,"짜장면, 탕수육",,,,,2026-02-01,함평,4.3,7
8,식객허영만의백반기행,식객허영만의백반기행,신명먹거리,"백반, 백반집",,,,,2026-02-01,성수동,5.0,5
9,식객허영만의백반기행,식객허영만의백반기행,백토미가,"집밥, 시래기불고기",,,,,2026-02-01,양구,3.9,3
10,식객허영만의백반기행,식객허영만의백반기행,콩리,"도토리묵, 도토리전",,,,,2026-02-01,양평,4.6,10
11,식객허영만의백반기행,식객허영만의백반기행,일등바우,"민어, 병어조림",,,,,2026-02-01,가락동,4.0,2
12,식객허영만의백반기행,식객허영만의백반기행,곰소등대길밥상,"백반, 매운탕",,,,,2026-02-01,부안,4.4,3
13,식객허영만의백반기행,식객허영만의백반기행,고향의맛 손칼국수 감자옹심이,"감자옹심이, 손칼국수",,,,,2026-02-01,동해시,4.6,13
14,식객허영만의백반기행,식객허영만의백반기행,샘내손두부,"두부요리, 두부",,,,,2026-02-01,파주,4.3,8
15,식객허영만의백반기행,식객허영만의백반기행,시장면가,"막국수, 온면",,,,,2026-02-01,원당역,4.6,12
16,식객허영만의백반기행,식객허영만의백반기행,홍흥집,"소머리국밥, 한우곰탕",,,,,2026-02-01,홍성,4.8,5
17,식객허영만의백반기행,식객허영만의백반기행,혜성정육점식당,"삼겹살, 백반",,,,,2026-02-01,보은,4.7,4
18,식객허영만의백반기행,식객허영만의백반기행,승우네식당,"백반, 백반집",,,,,2026-02-01,광장시장,4.2,6
19,식객허영만의백반기행,식객허영만의백반기행,황주생고기,"한우, 소고기",,,,,2026-02-01,동두천,3.7,2
20,식객허영만의백반기행,식객허영만의백반기행,제일갈비,"물갈비, 돼지갈비",,,,,2026-02-01,이천,4.1,22
21,식객허영만의백반기행,식객허영만의백반기행,한마음 냉면,"냉면, 만두",,,,,2026-02-01,대전유성구,3.2,9
22,식객허영만의백반기행,식객허영만의백반기행,문발애 직화불백,"백반, 쫄면",,,,,2026-02-01,파주,4.8,4
23,식객허영만의백반기행,식객허영만의백반기행,홍행원,"짜장면, 가지튀김",,,,,2026-02-01,평택,4.5,3
