id,sector,title,name,type,chef,address,lat,lng,date,area,user_score,review_cnt
1,식객허영만의백반기행,식객허영만의백반기행,제일식당,"백반, 굴비백반",,,,,2026-02-01,장성,5.0,1
2,식객허영만의백반기행,식객허영만의백반기행,선미식당,"짜장면, 탕수육",,,,,2026-02-01,함평,4.3,7
3,식객허영만의백반기행,식객허영만의백반기행,대원식당,"한정식, 수라상",,,,,2026-02-01,순천,4.4,9
4,식객허영만의백반기행,식객허영만의백반기행,옥향식당,"백반, 설렁탕",,,,,2026-02-01,진도,4.0,1
5,식객허영만의백반기행,식객허영만의백반기행,삭금쭈꾸미,"쭈꾸미, 백반",,,,,2026-02-01,전남장흥,5.0,1
6,식객허영만의백반기행,식객허영만의백반기행,순천횟집,"횟집, 삼치회",,,,,2026-02-01,고흥,3.9,4
7,식객허영만의백반기행,식객허영만의백반기행,함지박속흑돼지,"흑돼지, 흑돼지주물럭",,,,,2026-02-01,구례,3.7,3
8,식객허영만의백반기행,식객허영만의백반기행,최소희맛집,"애호박찌개, 병어조림",,,,,2026-02-01,나주,4.0,1
9,식객허영만의백반기행,식객허영만의백반기행,별미정,"돼지갈비, 돼지생갈비",,,,,2026-02-01,순천,5.0,2
10,식객허영만의백반기행,식객허영만의백반기행,봉정식당,"갈치, 도다리쑥국",,,,,2026-02-01,여수,5.0,1
11,식객허영만의백반기행,식객허영만의백반기행,정다운식당,"생선구이, 생선구이백반",,,,,2026-02-01,고흥,4.0,1
12,식객허영만의백반기행,식객허영만의백반기행,진미옛날순대,"국밥, 암뽕",,,,,2026-02-01,나주,4.0,1
13,식객허영만의백반기행,식객허영만의백반기행,장미가든,"메기탕, 메기찜",,,,,2026-02-01,담양,4.3,3
14,식객허영만의백반기행,식객허영만의백반기행,싱글벙글,중식당,,,,,2026-02-01,신안,4.0,1
15,식객허영만의백반기행,식객허영만의백반기행,수궁한정식,"백반, 해물탕",,,,,2026-02-01,영암,3.0,2
16,식객허영만의백반기행,식객허영만의백반기행,대박집,"갈치조림, 한식당",,,,,2026-02-01,완도,3.4,5
17,식객허영만의백반기행,식객허영만의백반기행,도화애팥이랑밀이랑,"바지락칼국수, 동지죽",,,,,2026-02-01,고흥,4.0,1
18,식객허영만의백반기행,식객허영만의백반기행,민호네전전문점,"전집, 맛조개",,,,,2026-02-01,순천,4.0,3
19,식객허영만의백반기행,식객허영만의백반기행,시장국밥,"장어, 장어탕",,,,,2026-02-01,광양,5.0,1
20,식객허영만의백반기행,식객허영만의백반기행,독천식당,"낙지, 갈낙탕",,,,,2026-02-01,영암,4.5,9
21,식객허영만의백반기행,식객허영만의백반기행,부부식당,"백반, 머릿고기",,,,,2026-02-01,담양,4.0,1
22,식객허영만의백반기행,식객허영만의백반기행,동서식당,"남도음식, 서대회무침",,,,,2026-02-01,여수,4.7,16
