id,sector,title,name,type,chef,address,lat,lng,date,area,user_score,review_cnt
1,식객허영만의백반기행,식객허영만의백반기행,곰소등대길밥상,"백반, 매운탕",,,,,2026-02-01,부안,4.4,3
2,식객허영만의백반기행,식객허영만의백반기행,송전산장,"닭볶음탕, 묵은지닭도리탕",,,,,2026-02-01,완주,4.0,1
3,식객허영만의백반기행,식객허영만의백반기행,뚱보식당,"백반, 백반집",,,,,2026-02-01,군산,4.4,9
4,식객허영만의백반기행,식객허영만의백반기행,청학동회관,"한정식, 참게장",,,,,2026-02-01,남원,4.5,2
5,식객허영만의백반기행,식객허영만의백반기행,곰소 아리랑 식당,한식,,,,,2026-02-01,부안,4.3,4
6,식객허영만의백반기행,식객허영만의백반기행,시장비빔밥,"비빔밥, 육회비빔밥",,,,,2026-02-01,익산,4.1,9
7,식객허영만의백반기행,식객허영만의백반기행,장흥식당,"백반, 고등어조림",,,,,2026-02-01,익산,5.0,1
8,식객허영만의백반기행,식객허영만의백반기행,금암피순대,"순대국, 피순대",,,,,2026-02-01,전주,4.3,28
9,식객허영만의백반기행,식객허영만의백반기행,향리,"민어, 병어",,,,,2026-02-01,전주,1.0,1
10,식객허영만의백반기행,식객허영만의백반기행,민속집,"한정식, 백반",,,,,2026-02-01,순창,5.0,2
11,식객허영만의백반기행,식객허영만의백반기행,동진식당,"동태탕, 갑오징어",,,,,2026-02-01,부안,5.0,2
12,식객허영만의백반기행,식객허영만의백반기행,일출옥,"콩나물국밥, 백반",,,,,2026-02-01,군산,4.2,4
13,식객허영만의백반기행,식객허영만의백반기행,서수해장국,"소머리국밥, 육사시미",,,,,2026-02-01,군산,5.0,1
14,식객허영만의백반기행,식객허영만의백반기행,일력생선,"생선구이, 박대구이",,,,,2026-02-01,군산,4.5,5
15,식객허영만의백반기행,식객허영만의백반기행,변산회집,"백반, 갈치탕",,,,,2026-02-01,부안,,
16,식객허영만의백반기행,식객허영만의백반기행,전망좋은집,"백합죽, 젓갈전문",,,,,2026-02-01,부안,4.7,5
17,식객허영만의백반기행,식객허영만의백반기행,만경식당,"홍어, 백반",,,,,2026-02-01,완주,3.5,2
18,식객허영만의백반기행,식객허영만의백반기행,백학정,"떡갈비, 백반",,,,,2026-02-01,정읍,3.9,3
19,식객허영만의백반기행,식객허영만의백반기행,다가포가든,"삼겹살, 갈매기살",,,,,2026-02-01,익산,4.7,4
20,식객허영만의백반기행,식객허영만의백반기행,작은항구,"장어, 풍천장어",,,,,2026-02-01,고창,5.0,2
21,식객허영만의백반기행,식객허영만의백반기행,할매피순대,"순대국, 피순대",,,,,2026-02-01,부안,4.5,14
22,식객허영만의백반기행,식객허영만의백반기행,부산집,"추어탕, 미꾸리튀김",,,,,2026-02-01,남원,4.2,7
23,식객허영만의백반기행,식객허영만의백반기행,백일홍,"찐빵, 만두",,,,,2026-02-01,전주,4.9,8
24,식객허영만의백반기행,식객허영만의백반기행,백야촌,"비빔국수, 열무국수",,,,,2026-02-01,순창,,
25,식객허영만의백반기행,식객허영만의백반기행,군산식당,"백합, 백합정식",,,,,2026-02-01,부안,4.2,23
26,식객허영만의백반기행,식객허영만의백반기행,동막골,"돼지갈비, 연탄불고기",,,,,2026-02-01,남원,4.0,4
27,식객허영만의백반기행,식객허영만의백반기행,일출산채식당,"산채정식, 백반",,,,,2026-02-01,지리산,5.0,1
28,식객허영만의백반기행,식객허영만의백반기행,유등 숯불돼지 갈비,"돼지갈비, 숯불돼지갈비",,,,,2026-02-01,순창,,
29,식객허영만의백반기행,식객허영만의백반기행,태봉집,"복어, 복탕",,,,,2026-02-01,전주,5.0,2
30,식객허영만의백반기행,식객허영만의백반기행,지리산나물밥,"나물, 백반",,,,,2026-02-01,지리산,5.0,1
31,식객허영만의백반기행,식객허영만의백반기행,하숙영 가마솥비빔밥,"비빔밥, 옛날가마솥비빔밥",,,,,2026-02-01,전주,4.2,54
32,식객허영만의백반기행,식객허영만의백반기행,한벽집,"메기탕, 오모가리탕",,,,,2026-02-01,전주,4.3,2
33,식객허영만의백반기행,식객허영만의백반기행,함양식당,"백반, 고추장불고기",,,,,2026-02-01,순창,5.0,2
