no,media_type,title,place_name,place_type,description,opening_hours,break_time,closed_days,address,latitude,longitude,phone,last_updated,michelin_tier
1,show,백종원의골목식당,버거인,restaurant,숙대입구 수제버거,,,,서울특별시 용산구 청파로43길 12 지층,37.5436975,126.9700331,,2026-02-01,
2,show,백종원의골목식당,미소짓는돈까's집,restaurant,"부천상동 돈까스, 등심까스",,,,경기도 부천시 원미구 조마루로85번길 24,37.5014958,126.7534926,,2026-02-01,
3,show,백종원의골목식당,어머니와 아들,restaurant,"홍은동 닭볶음탕, 홍탁",,,,서울특별시 서대문구 홍은중앙로 100-1 1층 어머니와 아들,37.5993647,126.9486875,,2026-02-01,
4,show,백종원의골목식당,경복식당,restaurant,"공릉 백반, 제육볶음",,,,서울특별시 노원구 공릉로39길 10 대아아파트 상가 경복식당,37.6237674,127.0787121,,2026-02-01,
5,show,백종원의골목식당,해미우시장,restaurant,"해미읍성 곱창전골, 돼지곱창",,,,충청남도 서산시 해미면 읍성마을3길 22 해미우시장,36.710059,126.545269,,2026-02-01,
6,show,백종원의골목식당,옹기종기감자옹심이,restaurant,오류동 옹심이,,,,서울특별시 구로구 서해안로30길 13-8 1층,37.4932019,126.8445054,,2026-02-01,
7,show,백종원의골목식당,사가정만두만,restaurant,"사가정 만두, 수제만두",,,,서울특별시 중랑구 면목로44길 57,37.5810272,127.0918018,,2026-02-01,
8,show,백종원의골목식당,오복 함흥 냉면,restaurant,숙대입구역 회냉면,,,,서울특별시 용산구 한강대로84길 4 1층 오복함흥냉면,37.5435187,126.9728739,,2026-02-01,
9,show,백종원의골목식당,솜이네떡볶이,restaurant,"충무로 떡볶이, 즉석떡볶이",,,,서울특별시 중구 퇴계로42길 36 솜이네떡볶이,37.5602209,126.9964327,,2026-02-01,
10,show,백종원의골목식당,유진치킨,restaurant,홍제점 치킨,,,,서울특별시 서대문구 세무서7길 13,37.5914939,126.9460886,,2026-02-01,
11,show,백종원의골목식당,문쉐프의고기국수,restaurant,"하남 고기국수, 비빔국수",,,,경기도 하남시 신장1로9번길 48-10,37.5386886,127.2073605,,2026-02-01,
12,show,백종원의골목식당,은희네 온집닭떡볶이,restaurant,상도역 닭떡볶이,,,,서울특별시 동작구 상도로41길 35 1층,37.5023909,126.9509944,,2026-02-01,
13,show,백종원의골목식당,영미식당,restaurant,"수원 오리주물럭, 오리고기",,,,서울특별시 중구 퇴계로83길 10-14,37.5660163,127.0190568,,2026-02-01,
14,show,백종원의골목식당,THE 신촌's 덮죽,restaurant,"포항 위구르요리, 히비스커스",,,,경상북도 포항시 북구 중앙로294번길 10-7 1층,36.038685,129.3671742,,2026-02-01,
15,show,백종원의골목식당,해미호떡,restaurant,"해미읍성 호떡, 어묵",,,,충청남도 서산시 해미면 동문2길 8,36.7104713,126.5492024,,2026-02-01,
16,show,백종원의골목식당,마몽함박,restaurant,정릉 함박스테이크,,,,서울특별시 성북구 보국문로 92,37.6123843,127.0082462,,2026-02-01,
17,show,백종원의골목식당,쌤김밥,restaurant,"거제 김밥, 톳김밥",,,,경상남도 거제시 일운면 지세포로 101,,,,2026-02-01,
18,show,백종원의골목식당,맛짱할매의 멸치국수,restaurant,"평택역 국수, 멸치국수",,,,경기도 평택시 원평1로 29 할매국수,36.9895607,127.0831425,,2026-02-01,
19,show,백종원의골목식당,부리또만나,restaurant,"원주 멕시코음식, 타코",,,,강원특별자치도 원주시 중앙시장길 6 2층 라동 20-1호,37.3500673,127.9496447,,2026-02-01,
20,show,백종원의골목식당,포방식당,restaurant,"홍은동 곱창, 막창",,,,서울특별시 서대문구 홍은중앙로8길 19,,,,2026-02-01,
21,show,백종원의골목식당,우리집칼국수,restaurant,"철원 칼국수, 전골",,,,서울특별시 중구 마른내로 155-1 2층 우리집칼국수,37.5648707,127.0054582,,2026-02-01,
22,show,백종원의골목식당,어머니손칼국수,restaurant,"원주 칼국수, 팥죽",,,,경기도 안산시 상록구 충장로3안길 12,37.2931777,126.8597855,,2026-02-01,
23,show,백종원의골목식당,기찻길풍경 야채곱창,restaurant,공릉 야채곱창,,,,서울특별시 노원구 공릉로39길 21,37.623537,127.0781869,,2026-02-01,
24,show,백종원의골목식당,정가네 지짐이,restaurant,정릉 전집,,,,서울특별시 성북구 아리랑로19길 20,37.6025876,127.0122923,,2026-02-01,
25,show,백종원의골목식당,스마일닭강정,restaurant,"창동 닭강정, 마늘간장",,,,서울특별시 도봉구 노해로 269 1층,37.6516778,127.0380132,,2026-02-01,
26,show,백종원의골목식당,북경반점,restaurant,"해미읍성 간짜장, 중국집",,,,서울특별시 중구 중림로 51-1 신호등앞 1층 북경,37.5573848,126.9687887,,2026-02-01,
27,show,백종원의골목식당,고깃집도훈,restaurant,"경희대 냉삼, 갈비탕",,,,서울특별시 동대문구 회기로21길 29 고깃집도훈,37.5927182,127.053169,,2026-02-01,
28,show,백종원의골목식당,전주 꺼꾸로콩나물국밥,restaurant,"철원 콩나물국밥, 장조림",,,,강원특별자치도 철원군 갈말읍 삼부연로17번길 3-7 전주꺼꾸로콩나물국밥,38.1456449,127.3094007,,2026-02-01,
29,show,백종원의골목식당,명동국수,restaurant,"상도역 국수, 소고기국수",,,,서울특별시 중구 덕수궁길 5 MS빌딩 1층 102호,37.5648203,126.9764493,,2026-02-01,
30,show,백종원의골목식당,재성이네 코다리찜&전골,restaurant,"길동 코다리, 코다리찜",,,,서울특별시 강동구 양재대로112길 13,,,,2026-02-01,
31,show,백종원의골목식당,춘천명동닭갈비,restaurant,"하남 닭갈비, 순두부",,,,서울특별시 중구 명동4길 23-3 1층,37.5627278,126.9840561,,2026-02-01,
32,show,백종원의골목식당,하우드수제돈까스,restaurant,"평택역 돈까스, 김치볶음밥",,,,경기도 평택시 원평2로27번길 2,36.9906135,127.0819075,,2026-02-01,
33,show,백종원의골목식당,엄마사랑분식,restaurant,"수원 분식, 멘보사과",,,,경기도 수원시 장안구 영화로71번길 33 1층 3호 엄마사랑 분식,37.2920883,127.0050848,,2026-02-01,
34,show,백종원의골목식당,바삭알까스,restaurant,중곡동 돈까스,,,,서울특별시 광진구 능동로49길 15 1층,37.5644756,127.0824004,,2026-02-01,
35,show,백종원의골목식당,띠아낭,restaurant,"등촌동 쌀국수, 짜조",,,,서울특별시 강서구 화곡로64길 72 1층 띠아낭,37.5559325,126.8568938,,2026-02-01,
36,show,백종원의골목식당,빽찐라면,restaurant,상도역 라면,,,,서울특별시 동작구 상도로 295 빽찐라면,,,,2026-02-01,
37,show,백종원의골목식당,부산어묵,restaurant,"중곡점 떡볶이, 분식",,,,서울특별시 용산구 두텁바위로35길 2-1,37.5470874,126.981142,,2026-02-01,
38,show,백종원의골목식당,마포나룻가,restaurant,"공덕 김치찌개, 묵은지닭볶음탕",,,,서울특별시 마포구 마포대로12길 35,37.5472494,126.9548162,,2026-02-01,
39,show,백종원의골목식당,국수이야기,restaurant,포항 칼국수,,,,경상북도 포항시 북구 중앙로294번길 4,,,,2026-02-01,
40,show,백종원의골목식당,추억의집밥,restaurant,"해미읍성 불고기, 한우불고기",,,,충청남도 서산시 해미면 읍성마을4길 16,36.7105823,126.5453281,,2026-02-01,
41,show,백종원의골목식당,오 자네 왔는가,restaurant,"공덕 동태탕, 생태탕",,,,서울특별시 마포구 마포대로12길 37 1층,37.5471572,126.9547811,,2026-02-01,
42,show,백종원의골목식당,17,restaurant,"경희대 피자, 화덕피자",,,,서울특별시 종로구 수표로28길 17-21 익선잡방,37.573398,126.9894722,,2026-02-01,
43,show,백종원의골목식당,군포왕족발,restaurant,"군포 족발, 왕족발",,,,경기도 군포시 산본천로 185,37.3698667,126.9384507,,2026-02-01,
44,show,백종원의골목식당,쭈꾸미랑순두부,restaurant,"공덕 쭈꾸미, 쭈꾸미철판",,,,서울특별시 마포구 마포대로12길 33,37.5473541,126.9548514,,2026-02-01,
45,show,백종원의골목식당,밥하기싫은날,restaurant,"일산 쌀국수, 매운쌀국수",,,,경기도 고양시 일산동구 숲속마을2로 114-3,37.6733624,126.8009052,,2026-02-01,
46,show,백종원의골목식당,필동함박,restaurant,본점 함박스테이크,,,,서울특별시 중구 필동로 7-1 1층 필동함박 충무로 본점,37.5609184,126.996268,,2026-02-01,
47,show,백종원의골목식당,일운충무김밥,restaurant,"거제 충무김밥, 김밥",,,,경상남도 거제시 일운면 지세포4길 12,34.8294366,128.7038069,,2026-02-01,
48,show,백종원의골목식당,미로시장꿈,restaurant,"원주 술집, 큐브스테이크",,,,강원특별자치도 원주시 중앙시장길 6 라동 2층 20호,,,,2026-02-01,
49,show,백종원의골목식당,어흥떡볶이,restaurant,"군포 떡볶이, 짜장떡볶이",,,,경기도 군포시 용호1로 56 1층,37.3472681,126.9403891,,2026-02-01,
50,show,백종원의골목식당,강희자얼큰손만두국,restaurant,중곡동 만두국,,,,서울특별시 광진구 능동로49길 16,37.5646091,127.0824555,,2026-02-01,
51,show,백종원의골목식당,장수식당,restaurant,"마곡 청국장, 청국장전문",,,,전북특별자치도 장수군 장수읍 방촌길 6,35.6466932,127.5196166,,2026-02-01,
52,show,백종원의골목식당,병규네부대찌개,restaurant,오류동 부대찌개,,,,서울특별시 구로구 오류로8길 87 1층 병규네 부대찌개,37.4932,126.844816,,2026-02-01,
53,show,백종원의골목식당,포방터쭈꾸미,restaurant,"홍은동 쭈꾸미, 밀키트",,,,서울특별시 서대문구 홍은중앙로 100-35 1층,37.5993456,126.9488913,,2026-02-01,
54,show,백종원의골목식당,아니따 파스타,restaurant,"한림 파스타, 샐러드",,,,제주특별자치도 제주시 한림읍 금악로1길 1 아니따 파스타,33.3589256,126.2963076,,2026-02-01,
55,show,백종원의골목식당,뚝닭,restaurant,"안암 치킨라이스, 닭고기덮밥",,,,서울특별시 종로구 새문안로5길 37 B1 16호 꼬꼬뚝닭,37.5736723,126.9741125,,2026-02-01,
56,show,백종원의골목식당,여기가 좋겠네,restaurant,"경희대 닭볶음탕, 고기떡볶이",,,,서울특별시 동대문구 회기로21길 25 1층,37.5926341,127.053087,,2026-02-01,
57,show,백종원의골목식당,소풍온쭈꾸미,restaurant,"김포 쭈꾸미, 쭈꾸미볶음",,,,경기도 김포시 양촌읍 석모로 7 1층,37.6516747,126.6491107,,2026-02-01,
58,show,백종원의골목식당,카츠예미,restaurant,"원주 카츠, 돈까스",,,,"강원특별자치도 원주시 입춘로 45 B동 230호, 231호",37.3277397,127.9784669,,2026-02-01,
59,show,백종원의골목식당,지니 피자,restaurant,"쌍문역 피자, 참치피자",,,,서울특별시 도봉구 도봉로110아길 12 1층 지니피자,37.6456837,127.0374698,,2026-02-01,
60,show,백종원의골목식당,우리옛날통닭,restaurant,"오류동 통닭, 옛날통닭",,,,서울특별시 구로구 오류로8길 107,37.493469,126.8459563,,2026-02-01,
61,show,백종원의골목식당,금악 똣똣라면,restaurant,한림 라면,,,,제주특별자치도 제주시 한림읍 금악로 18,33.3586514,126.2966352,,2026-02-01,
62,show,백종원의골목식당,밀국수,restaurant,"성남 황태국, 생면",,,,서울특별시 중구 서소문로 139-1,37.5642371,126.9760935,,2026-02-01,
63,show,백종원의골목식당,금악리 자양식당,restaurant,"한림 닭, 치킨탕수육",,,,제주특별자치도 제주시 한림읍 금악로 18 금악리 자양식당,33.3587222,126.296642,,2026-02-01,
64,show,백종원의골목식당,금악무짠지냉면,restaurant,"한림 냉면, 고기완자",,,,제주특별자치도 제주시 한림읍 금악로1길 15 금악무짠지냉면,33.360082,126.2943146,,2026-02-01,
65,show,백종원의골목식당,가야가야,restaurant,"합정역 라멘, 돈코츠라멘",,,,서울특별시 마포구 양화로10길 15 1층,37.5510177,126.9173946,,2026-02-01,
66,show,백종원의골목식당,연돈,restaurant,"중문 돈까스, 치즈까스",,,,서울특별시 용산구 한강대로23길 55 지하2층 이마트용산점 내,37.5297718,126.9647415,,2026-02-01,
67,show,백종원의골목식당,골목식당 PS파스타,restaurant,"여수 파스타, 양식",,,,전라남도 여수시 중앙로 43 2층 꿈뜨락몰,,,,2026-02-01,
68,show,백종원의골목식당,감동튀김,restaurant,"수원 떡볶이, 떡튀순",,,,경기도 수원시 장안구 광교산로140번길 3,37.3000442,127.030527,,2026-02-01,
69,show,백종원의골목식당,정가네팥칼국수,restaurant,"홍제동 팥죽, 팥칼국수",,,,서울특별시 서대문구 세무서7길 7 1층,37.5913603,126.9463618,,2026-02-01,
70,show,백종원의골목식당,해마루,restaurant,"고려대 수제왕돈까스, 덮밥",,,,서울특별시 동대문구 제기로5길 38,37.5879638,127.0353813,,2026-02-01,
71,show,백종원의골목식당,정담아구,restaurant,일산 아구찜,,,,경기도 고양시 일산동구 숲속마을2로 122 1층,37.6734603,126.7998931,,2026-02-01,
72,show,백종원의골목식당,H5NG,restaurant,"해방촌 중식, 퓨전중식",,,,서울특별시 용산구 신흥로 95-17,37.5451273,126.9849532,,2026-02-01,
73,show,맛있는녀석들,백토미가,restaurant,"양구 집밥, 시래기불고기",,,,강원특별자치도 양구군 방산면 장거리길 17 백토미가,38.2087277,127.9490801,,2026-02-01,
74,show,맛있는녀석들,40년전통오미냉면,restaurant,"고성 냉면, 명태회냉면",,,,,,,,2026-02-01,
75,show,맛있는녀석들,자작나무집,restaurant,"인제 황태정식, 민물매운탕",,,,경기도 안양시 동안구 관평로176번길 10 고베하우스 2층,37.3927661,126.9610879,,2026-02-01,
76,show,맛있는녀석들,대월오골계,restaurant,"양구 숯불구이, 오골계",,,,,,,,2026-02-01,
77,show,맛있는녀석들,원조숯불닭불고기,restaurant,"춘천 닭갈비, 숯불닭갈비",,,,강원특별자치도 춘천시 낙원길 28-4,37.8788168,127.7253495,,2026-02-01,
78,show,맛있는녀석들,폭포가든,restaurant,"철원 매운탕, 민물매운탕",,,,경기도 하남시 산곡북로 71,37.5035089,127.2267548,,2026-02-01,
79,show,맛있는녀석들,백담황태구이,restaurant,"인제 황태해장국, 황태구이",,,,강원특별자치도 인제군 북면 백담로 24,38.1962491,128.3451686,,2026-02-01,
80,show,맛있는녀석들,현대장칼국수,restaurant,강릉 장칼국수,,,,경기도 양평군 양평읍 중앙로 64-10,37.4944978,127.4956562,,2026-02-01,
81,show,맛있는녀석들,간성동해반점,restaurant,"고성 짬뽕, 차돌짬뽕",,,,서울특별시 마포구 성산동 529-16,37.566954,126.8973846,,2026-02-01,
82,show,맛있는녀석들,솔향기,restaurant,"철원 만두국, 만두전골",,,,서울특별시 용산구 효창원로42길 38-36,37.5368115,126.9593738,,2026-02-01,
83,show,맛있는녀석들,진양횟집,restaurant,"속초 물회, 오징어순대",,,,인천광역시 남동구 장도로 86-18,37.3975828,126.7389726,,2026-02-01,
84,show,맛있는녀석들,동화가든,restaurant,"본점 짬뽕순두부, 청국장",,,,강원특별자치도 강릉시 초당순두부길77번길 15 동화가든,37.7911711,128.9146711,,2026-02-01,
85,show,맛있는녀석들,동명항대게마을,restaurant,"속초 대게, 대게찜",,,,강원특별자치도 속초시 영랑해안길 7 1.2층,38.2127408,128.6007205,,2026-02-01,
86,show,맛있는녀석들,통나무집닭갈비,restaurant,"춘천 닭갈비, 철판닭갈비",,,,서울특별시 강서구 마곡중앙로 105-7 K스퀘어 마곡 2동 지하2층 B203호,37.5629562,126.8260942,,2026-02-01,
87,show,맛있는녀석들,내대막국수,restaurant,"철원 막국수, 편육",,,,강원특별자치도 철원군 갈말읍 내대1길 29-10 내대막국수,38.2015495,127.2977008,,2026-02-01,
88,show,맛있는녀석들,샘밭막국수,restaurant,"본점 막국수, 순메밀막국수",,,,서울특별시 서초구 서초중앙로24길 27 G5센트럴프라자 지하1층,37.4954178,127.016417,,2026-02-01,
89,show,맛있는녀석들,대원당,restaurant,춘천 빵,,,,서울특별시 중구 마장로3길 28,37.569535,127.0179033,,2026-02-01,
90,show,맛있는녀석들,명가막국수,restaurant,"춘천 막국수, 감자부침",,,,강원특별자치도 춘천시 신북읍 상천3길 8,,,,2026-02-01,
91,show,맛있는녀석들,동명항 생선숯불구이,restaurant,속초 생선구이,,,,강원특별자치도 속초시 번영로129번길 21,38.2109083,128.5862463,,2026-02-01,
92,show,맛있는녀석들,속초우리왕만두,restaurant,"속초 만두, 고기왕만두",,,,강원특별자치도 속초시 동해대로 4223,38.1961107,128.5773845,,2026-02-01,
93,show,맛있는녀석들,터미널기사님식당,restaurant,"양양 백반, 기사식당",,,,강원특별자치도 양양군 양양읍 양양로 29,38.077042,128.6253749,,2026-02-01,
94,show,맛있는녀석들,양지말 화로구이,restaurant,"홍천 고추장삼겹살, 화로구이",,,,강원특별자치도 홍천군 홍천읍 양지말길 17-4 양지말화로구이,37.6595828,127.8313109,,2026-02-01,
95,show,맛있는녀석들,청초수물회,restaurant,"본점 물회, 해전물회",,,,서울특별시 강남구 압구정로28길 24 1층 청초수물회 강남점,37.5250186,127.0275428,,2026-02-01,
96,show,맛있는녀석들,요기국수김밥,restaurant,"속초 김밥, 홍게",,,,강원특별자치도 속초시 조양로 102,38.1872411,128.5895631,,2026-02-01,
97,show,맛있는녀석들,최대섭 대박김밥,restaurant,"속초 김밥, 명태",,,,서울특별시 송파구 거마로2길 14 1층,37.4932627,127.1461026,,2026-02-01,
98,show,맛있는녀석들,사돈집,restaurant,"속초 물곰탕, 가자미조림",,,,강원특별자치도 속초시 영랑해안1길 8,,,,2026-02-01,
