id,sector,title,name,type,chef,address,lat,lng,date,area,user_score,review_cnt
1,백종원의골목식당,백종원의골목식당,버거인,수제버거,,,,,2026-02-01,숙대입구,4.5,20.0
2,백종원의골목식당,백종원의골목식당,미소짓는돈까's집,"돈까스, 등심까스",,,,,2026-02-01,부천상동,4.6,11.0
3,백종원의골목식당,백종원의골목식당,어머니와 아들,"닭볶음탕, 홍탁",,,,,2026-02-01,홍은동,4.7,21.0
4,백종원의골목식당,백종원의골목식당,경복식당,"백반, 제육볶음",,,,,2026-02-01,공릉,4.7,17.0
5,백종원의골목식당,백종원의골목식당,해미우시장,"곱창전골, 돼지곱창",,,,,2026-02-01,해미읍성,4.6,9.0
6,백종원의골목식당,백종원의골목식당,옹기종기감자옹심이,옹심이,,,,,2026-02-01,오류동,5.0,8.0
7,백종원의골목식당,백종원의골목식당,사가정만두만,"만두, 수제만두",,,,,2026-02-01,사가정,4.4,8.0
8,백종원의골목식당,백종원의골목식당,오복 함흥 냉면,회냉면,,,,,2026-02-01,숙대입구역,3.8,27.0
9,백종원의골목식당,백종원의골목식당,솜이네떡볶이,"떡볶이, 즉석떡볶이",,,,,2026-02-01,충무로,4.1,9.0
10,백종원의골목식당,백종원의골목식당,유진치킨,치킨,,,,,2026-02-01,홍제점,4.1,4.0
11,백종원의골목식당,백종원의골목식당,문쉐프의고기국수,"고기국수, 비빔국수",,,,,2026-02-01,하남,4.8,7.0
12,백종원의골목식당,백종원의골목식당,은희네 온집닭떡볶이,닭떡볶이,,,,,2026-02-01,상도역,4.4,16.0
13,백종원의골목식당,백종원의골목식당,영미식당,"오리주물럭, 오리고기",,,,,2026-02-01,수원,4.6,7.0
14,백종원의골목식당,백종원의골목식당,THE 신촌's 덮죽,"위구르요리, 히비스커스",,,,,2026-02-01,포항,4.6,9.0
15,백종원의골목식당,백종원의골목식당,해미호떡,"호떡, 어묵",,,,,2026-02-01,해미읍성,4.3,14.0
16,백종원의골목식당,백종원의골목식당,마몽함박,함박스테이크,,,,,2026-02-01,정릉,4.0,4.0
17,백종원의골목식당,백종원의골목식당,쌤김밥,"김밥, 톳김밥",,,,,2026-02-01,거제,4.0,18.0
18,백종원의골목식당,백종원의골목식당,맛짱할매의 멸치국수,"국수, 멸치국수",,,,,2026-02-01,평택역,4.2,5.0
19,백종원의골목식당,백종원의골목식당,부리또만나,"멕시코음식, 타코",,,,,2026-02-01,원주,4.2,10.0
20,백종원의골목식당,백종원의골목식당,포방식당,"곱창, 막창",,,,,2026-02-01,홍은동,4.6,2.0
21,백종원의골목식당,백종원의골목식당,우리집칼국수,"칼국수, 전골",,,,,2026-02-01,철원,4.0,1.0
22,백종원의골목식당,백종원의골목식당,어머니손칼국수,"칼국수, 팥죽",,,,,2026-02-01,원주,4.2,12.0
23,백종원의골목식당,백종원의골목식당,기찻길풍경 야채곱창,야채곱창,,,,,2026-02-01,공릉,5.0,6.0
24,백종원의골목식당,백종원의골목식당,정가네 지짐이,전집,,,,,2026-02-01,정릉,5.0,2.0
25,백종원의골목식당,백종원의골목식당,스마일닭강정,"닭강정, 마늘간장",,,,,2026-02-01,창동,5.0,4.0
26,백종원의골목식당,백종원의골목식당,북경반점,"간짜장, 중국집",,,,,2026-02-01,해미읍성,4.2,7.0
27,백종원의골목식당,백종원의골목식당,고깃집도훈,"냉삼, 갈비탕",,,,,2026-02-01,경희대,4.4,4.0
28,백종원의골목식당,백종원의골목식당,전주 꺼꾸로콩나물국밥,"콩나물국밥, 장조림",,,,,2026-02-01,철원,4.8,3.0
29,백종원의골목식당,백종원의골목식당,명동국수,"국수, 소고기국수",,,,,2026-02-01,상도역,4.8,6.0
30,백종원의골목식당,백종원의골목식당,재성이네 코다리찜&전골,"코다리, 코다리찜",,,,,2026-02-01,길동,3.4,5.0
31,백종원의골목식당,백종원의골목식당,춘천명동닭갈비,"닭갈비, 순두부",,,,,2026-02-01,하남,4.4,3.0
32,백종원의골목식당,백종원의골목식당,하우드수제돈까스,"돈까스, 김치볶음밥",,,,,2026-02-01,평택역,4.6,2.0
33,백종원의골목식당,백종원의골목식당,엄마사랑분식,"분식, 멘보사과",,,,,2026-02-01,수원,3.0,3.0
34,백종원의골목식당,백종원의골목식당,바삭알까스,돈까스,,,,,2026-02-01,중곡동,4.5,2.0
