id,sector,title,name,type,chef,address,lat,lng,date,area,user_score,review_cnt
1,맛있는녀석들,맛있는녀석들,보림숯불갈비,돼지갈비,,,,,2026-01-31,이천,4.2,4
2,맛있는녀석들,맛있는녀석들,맷돌우리콩감자탕,"감자탕, 콩비지감자탕",,,,,2026-01-31,본점,4.2,16
3,맛있는녀석들,맛있는녀석들,이라면,"라면, 라볶이",,,,,2026-01-31,수원,3.5,6
4,맛있는녀석들,맛있는녀석들,황주생고기,"한우, 소고기",,,,,2026-01-31,동두천,3.7,2
5,맛있는녀석들,맛있는녀석들,해장촌,"해장국, 선지",,,,,2026-01-31,화성,3.8,8
6,맛있는녀석들,맛있는녀석들,빨간세상라면학교,"라면, 매운라면",,,,,2026-01-31,의정부,3.9,17
7,맛있는녀석들,맛있는녀석들,오뎅식당,"부대찌개, 부대볶음",,,,,2026-01-31,의정부,4.1,43
8,맛있는녀석들,맛있는녀석들,주양돈까스나라,돈까스,,,,,2026-01-31,하남미사,4.8,2
9,맛있는녀석들,맛있는녀석들,어랑추,"집밥, 고등어조림",,,,,2026-01-31,구리,4.4,20
10,맛있는녀석들,맛있는녀석들,삼도갈비,돼지갈비,,,,,2026-01-31,부천시,3.8,27
11,맛있는녀석들,맛있는녀석들,참마루한식뷔페,한식뷔페,,,,,2026-01-31,일산,3.9,3
12,맛있는녀석들,맛있는녀석들,싹쓰리 솥뚜껑 김치삼겹살,"삼겹살, 솥뚜껑삼겹살",,,,,2026-01-31,일산,4.2,5
13,맛있는녀석들,맛있는녀석들,옹기골만찬,"쌈밥, 우렁",,,,,2026-01-31,포천,4.2,11
14,맛있는녀석들,맛있는녀석들,추억의연탄집,"고추장삼겹살, 돼지갈비",,,,,2026-01-31,미금역,2.5,4
15,맛있는녀석들,맛있는녀석들,출렁다리웰빙건강쌈밥,"쌈밥, 제육",,,,,2026-01-31,마장호수본점,4.5,4
16,맛있는녀석들,맛있는녀석들,대장군집,"돼지부속, 갈매기살",,,,,2026-01-31,파주,5.0,2
17,맛있는녀석들,맛있는녀석들,소풍,"보리굴비, 보리굴비정식",,,,,2026-01-31,행주산성,3.8,8
18,맛있는녀석들,맛있는녀석들,진흥관,"짜장면, 짬뽕",,,,,2026-01-31,김포,3.5,14
19,맛있는녀석들,맛있는녀석들,궁중삼계탕,"삼계탕, 인삼주",,,,,2026-01-31,안산,4.8,6
20,맛있는녀석들,맛있는녀석들,바위꽃,"굴요리, 굴정식",,,,,2026-01-31,용인시청,2.8,7
21,맛있는녀석들,맛있는녀석들,숯고개부대찌개,"부대찌개, 라면",,,,,2026-01-31,송탄,4.1,6
22,맛있는녀석들,맛있는녀석들,보배네집,"만두, 만두전골",,,,,2026-01-31,여주,3.8,13
23,맛있는녀석들,맛있는녀석들,큰손참붕어찜,"붕어찜, 시래기",,,,,2026-01-31,김포,5.0,1
24,맛있는녀석들,맛있는녀석들,원조다래솥뚜껑,"부대찌개, 베이컨구이",,,,,2026-01-31,동두천,3.2,3
25,맛있는녀석들,맛있는녀석들,신동태,동태탕,,,,,2026-01-31,화성,4.3,6
26,맛있는녀석들,맛있는녀석들,평양 초계탕막국수,"초계탕, 초계탕막국수",,,,,2026-01-31,양평,3.4,2
27,맛있는녀석들,맛있는녀석들,서운칼국수,"칼국수, 멸치",,,,,2026-01-31,시흥,4.3,17
28,맛있는녀석들,맛있는녀석들,시가올,"국수, 비빔국수",,,,,2026-01-31,남양주,4.2,14
29,맛있는녀석들,맛있는녀석들,별미진미,간장게장,,,,,2026-01-31,일산,4.1,6
30,맛있는녀석들,맛있는녀석들,골목집,"김치찌개, 묵은지찜",,,,,2026-01-31,행궁동,3.6,10
31,맛있는녀석들,맛있는녀석들,행하령수제비,"수제비, 얼큰수제비",,,,,2026-01-31,미금역,3.9,29
32,맛있는녀석들,맛있는녀석들,전라도팥바지락칼국수,바지락칼국수,,,,,2026-01-31,의왕,3.9,13
33,맛있는녀석들,맛있는녀석들,양푼이돈사랑 묵은지 탕찜,"김치찌개, 묵은지",,,,,2026-01-31,모란,5.0,3
34,맛있는녀석들,맛있는녀석들,부자영 김밥,김밥,,,,,2026-01-31,군포,4.7,2
35,맛있는녀석들,맛있는녀석들,우렁각시쌈밥총각,"쌈밥, 우렁쌈밥",,,,,2026-01-31,일산,3.0,1
36,맛있는녀석들,맛있는녀석들,옛집,"쌈밥, 쌈밥정식",,,,,2026-01-31,안양,4.0,1
37,맛있는녀석들,맛있는녀석들,임금님쌀밥집,"한정식, 쌀밥",,,,,2026-01-31,이천,3.1,34
38,맛있는녀석들,맛있는녀석들,안일옥,"설렁탕, 국밥",,,,,2026-01-31,본점,3.9,26
39,맛있는녀석들,맛있는녀석들,청산별미,"버섯전골, 버섯샤브샤브",,,,,2026-01-31,포천,4.4,14
40,맛있는녀석들,맛있는녀석들,부산명가밀면,"밀면, 비빔밀면",,,,,2026-01-31,오산,3.6,5
41,맛있는녀석들,맛있는녀석들,삼청골명가 더수제비,"수제비, 들깨수제비",,,,,2026-01-31,본점,4.5,8
42,맛있는녀석들,맛있는녀석들,삼촌식당,"카레, 야끼카레",,,,,2026-01-31,안양,4.0,4
43,맛있는녀석들,맛있는녀석들,정통부대고기,"부대찌개, 부대볶음",,,,,2026-01-31,의정부,4.1,14
44,맛있는녀석들,맛있는녀석들,에버그린,"돈까스, 경양식",,,,,2026-01-31,인덕원,3.8,31
45,맛있는녀석들,맛있는녀석들,오두산 막국수,"막국수, 녹두전",,,,,2026-01-31,파주,3.8,19
46,맛있는녀석들,맛있는녀석들,생아구한마리,"아구찜, 아구수육",,,,,2026-01-31,동탄역,,
47,맛있는녀석들,맛있는녀석들,일출보리밥,"보리밥, 감자전",,,,,2026-01-31,의왕,3.3,5
48,맛있는녀석들,맛있는녀석들,스위트로빈,"마카롱, 카페",,,,,2026-01-31,동두천,,
