id,sector,title,name,type,chef,address,lat,lng,date,area,user_score,review_cnt
1,백종원의3대천왕,백종원의3대천왕,원조숯불닭불고기,"닭갈비, 숯불닭갈비",,,,,2026-02-01,춘천,4.3,56
2,백종원의3대천왕,백종원의3대천왕,연곡꾹저구탕,"꾹저구탕, 감자",,,,,2026-02-01,강릉,4.5,33
3,백종원의3대천왕,백종원의3대천왕,인제재래식손두부,"두부전골, 들기름두부구이",,,,,2026-02-01,인제,3.8,5
4,백종원의3대천왕,백종원의3대천왕,메밀나라,메밀국수,,,,,2026-02-01,평창,4.5,2
5,백종원의3대천왕,백종원의3대천왕,진미통닭,"치킨, 양념통닭",,,,,2026-02-01,원주,3.6,9
6,백종원의3대천왕,백종원의3대천왕,현대장칼국수,장칼국수,,,,,2026-02-01,강릉,4.0,56
7,백종원의3대천왕,백종원의3대천왕,통나무집닭갈비,"닭갈비, 철판닭갈비",,,,,2026-02-01,춘천,4.4,148
8,백종원의3대천왕,백종원의3대천왕,옛날손장칼국수,"장칼국수, 된장",,,,,2026-02-01,춘천,4.3,4
9,백종원의3대천왕,백종원의3대천왕,해성횟집,"삼숙이탕, 알탕",,,,,2026-02-01,강릉중앙시장,4.0,25
10,백종원의3대천왕,백종원의3대천왕,태백닭갈비,"물닭갈비, 볶음밥",,,,,2026-02-01,태백,3.6,29
11,백종원의3대천왕,백종원의3대천왕,박순례손말이고기 산정집,"한우, 말이고기",,,,,2026-02-01,원주,3.8,23
12,백종원의3대천왕,백종원의3대천왕,생곡막국수,"막국수, 감자전",,,,,2026-02-01,홍천,3.7,10
13,백종원의3대천왕,백종원의3대천왕,고향집,"두부전골, 두부구이",,,,,2026-02-01,인제,4.5,38
14,백종원의3대천왕,백종원의3대천왕,박현자네 더덕,더덕요리,,,,,2026-02-01,횡성,3.4,5
15,백종원의3대천왕,백종원의3대천왕,회동집,"옹심이, 수수부꾸미",,,,,2026-02-01,정선,4.3,37
16,백종원의3대천왕,백종원의3대천왕,황가네찜,"생선조림, 가오리찜",,,,,2026-02-01,속초,4.3,31
17,백종원의3대천왕,백종원의3대천왕,바로방,"빵, 옛날빵",,,,,2026-02-01,강릉,3.9,24
18,백종원의3대천왕,백종원의3대천왕,용바위식당,"황태, 황태국밥",,,,,2026-02-01,인제,4.3,23
19,백종원의3대천왕,백종원의3대천왕,이조면옥,"냉면, 명태회냉면",,,,,2026-02-01,속초,3.9,10
20,백종원의3대천왕,백종원의3대천왕,문배마을통나무집,"닭도리탕, 도토리묵",,,,,2026-02-01,춘천,,
21,백종원의3대천왕,백종원의3대천왕,송어의집,송어회,,,,,2026-02-01,평창,3.0,1
22,백종원의3대천왕,백종원의3대천왕,봉포머구리집,"물회, 오징어순대",,,,,2026-02-01,속초,4.0,170
23,백종원의3대천왕,백종원의3대천왕,장미경양식,돈까스,,,,,2026-02-01,고성,4.1,7
24,백종원의3대천왕,백종원의3대천왕,365붉은대게공판장,"홍게, 대게",,,,,2026-02-01,속초,5.0,1
