id,sector,title,name,type,chef,address,lat,lng,date,area,user_score,review_cnt
1,백종원의3대천왕,백종원의3대천왕,세모분식,"분식, 당면",,,,,2026-02-01,송탄,4.4,20
2,백종원의3대천왕,백종원의3대천왕,호수식당,부대찌개,,,,,2026-02-01,동두천,4.3,30
3,백종원의3대천왕,백종원의3대천왕,빨간세상라면학교,"라면, 매운라면",,,,,2026-02-01,의정부,3.9,17
4,백종원의3대천왕,백종원의3대천왕,윤대감 참숯등갈비,"등갈비, 껍데기",,,,,2026-02-01,군포,4.4,6
5,백종원의3대천왕,백종원의3대천왕,구군계닭집,"폐계닭, 닭볶음탕",,,,,2026-02-01,평택,,
6,백종원의3대천왕,백종원의3대천왕,안일옥,"설렁탕, 국밥",,,,,2026-02-01,본점,3.9,26
7,백종원의3대천왕,백종원의3대천왕,포사이,"쌀국수, 월남쌈",,,,,2026-02-01,퇴촌,4.5,14
8,백종원의3대천왕,백종원의3대천왕,원조광명할머니빈대떡,"빈대떡, 전집",,,,,2026-02-01,광명시장,3.9,15
9,백종원의3대천왕,백종원의3대천왕,후리지아,"김치밥, 김치볶음밥",,,,,2026-02-01,양평,3.0,1
10,백종원의3대천왕,백종원의3대천왕,오달통분식,"분식, 떡볶이",,,,,2026-02-01,김포,4.4,24
11,백종원의3대천왕,백종원의3대천왕,안마을돼지불백,돼지불백,,,,,2026-02-01,남양주,4.2,12
12,백종원의3대천왕,백종원의3대천왕,에버그린,"돈까스, 경양식",,,,,2026-02-01,인덕원,3.8,31
13,백종원의3대천왕,백종원의3대천왕,원조카우보이,"통닭, 장작구이",,,,,2026-02-01,서오릉,5.0,1
14,백종원의3대천왕,백종원의3대천왕,진미옥,"설렁탕, 수육전골",,,,,2026-02-01,동두천,4.0,10
15,백종원의3대천왕,백종원의3대천왕,만드기골목,"떡볶이, 분식",,,,,2026-02-01,안중,3.7,5
16,백종원의3대천왕,백종원의3대천왕,유치회관,"해장국, 선지",,,,,2026-02-01,본점,4.1,155
17,백종원의3대천왕,백종원의3대천왕,강계 봉진막국수,"막국수, 편육",,,,,2026-02-01,본점,4.2,23
18,백종원의3대천왕,백종원의3대천왕,산골농원,"닭볶음탕, 솥뚜껑닭볶음탕",,,,,2026-02-01,가평,4.0,45
19,백종원의3대천왕,백종원의3대천왕,용문원조능이버섯국밥,"버섯전골, 능이버섯전골",,,,,2026-02-01,양평,4.3,11
20,백종원의3대천왕,백종원의3대천왕,향유갈비,이동갈비,,,,,2026-02-01,포천이동,3.2,8
21,백종원의3대천왕,백종원의3대천왕,묘향만두,"만두전골, 만두국",,,,,2026-02-01,구리,4.2,57
22,백종원의3대천왕,백종원의3대천왕,뭄알로이,태국음식,,,,,2026-02-01,일산,4.1,9
23,백종원의3대천왕,백종원의3대천왕,쿠시카츠 쿠마,"이자카야, 테바사키",,,,,2026-02-01,평촌,4.5,8
24,백종원의3대천왕,백종원의3대천왕,용인닭집,"닭발, 똥집",,,,,2026-02-01,이천,,
