id,sector,title,name,type,chef,address,lat,lng,date,area,user_score,review_cnt
1,백종원의3대천왕,백종원의3대천왕,평남식당,"곰탕, 소머리곰탕",,,,,2026-02-01,포항,4.6,27
2,백종원의3대천왕,백종원의3대천왕,재기돼지국밥,돼지국밥,,,,,2026-02-01,영도,4.3,23
3,백종원의3대천왕,백종원의3대천왕,성전식당,"집밥, 간고등어",,,,,2026-02-01,안동,4.5,6
4,백종원의3대천왕,백종원의3대천왕,내호냉면,"밀면, 비빔밀면",,,,,2026-02-01,문현동,4.1,22
5,백종원의3대천왕,백종원의3대천왕,단골식당,"연탄불고기, 간장불고기",,,,,2026-02-01,칠성시장,4.2,26
6,백종원의3대천왕,백종원의3대천왕,명동감자탕,"감자탕, 매운등뼈찜",,,,,2026-02-01,영주,4.4,21
7,백종원의3대천왕,백종원의3대천왕,중앙식당,"두루치기, 미역국",,,,,2026-02-01,거제,4.3,22
8,백종원의3대천왕,백종원의3대천왕,옛날국수집,"국수, 찹쌀수제비",,,,,2026-02-01,구미,5.0,1
9,백종원의3대천왕,백종원의3대천왕,신선식당,"우동, 냉우동",,,,,2026-02-01,안동,4.2,7
10,백종원의3대천왕,백종원의3대천왕,신항돌곱창,"곱창전골, 돌곱창",,,,,2026-02-01,포항,4.1,3
11,백종원의3대천왕,백종원의3대천왕,중화반점,"짬뽕, 야끼우동",,,,,2026-02-01,동성로,3.9,23
12,백종원의3대천왕,백종원의3대천왕,이가네 떡볶이,떡볶이,,,,,2026-02-01,국제시장,4.1,82
13,백종원의3대천왕,백종원의3대천왕,유화초 전복죽,"전복죽, 젓갈",,,,,2026-02-01,포항,4.7,8
14,백종원의3대천왕,백종원의3대천왕,원조지례삼거리불고기,"흑돼지, 양념불고기",,,,,2026-02-01,김천,4.6,4
15,백종원의3대천왕,백종원의3대천왕,꼬꼬하우스,"치킨, 닭똥집",,,,,2026-02-01,대구동구,3.1,4
16,백종원의3대천왕,백종원의3대천왕,박용자경주명동쫄면,"쫄면, 유부쫄면",,,,,2026-02-01,본점,4.1,40
17,백종원의3대천왕,백종원의3대천왕,진미식육식당,"대창불고기, 대창전골",,,,,2026-02-01,대구,2.7,3
18,백종원의3대천왕,백종원의3대천왕,용궁단골식당,"국밥, 오징어불고기",,,,,2026-02-01,본점,4.6,25
19,백종원의3대천왕,백종원의3대천왕,삼육식당,"닭, 닭국수",,,,,2026-02-01,포항,4.2,10
20,백종원의3대천왕,백종원의3대천왕,배신식당,"석쇠불고기, 소금구이",,,,,2026-02-01,김천,4.3,23
21,백종원의3대천왕,백종원의3대천왕,한미식당,"경양식, 수제버거",,,,,2026-02-01,칠곡,4.1,20
22,백종원의3대천왕,백종원의3대천왕,원조 깡통골목 비빔당면,"비빔당면, 김밥",,,,,2026-02-01,부평동,3.6,6
23,백종원의3대천왕,백종원의3대천왕,남정 부일 기사식당,"짬뽕, 낙지",,,,,2026-02-01,경주,4.2,31
24,백종원의3대천왕,백종원의3대천왕,장여사의 나뭇잎손만두,"만두, 양념오뎅",,,,,2026-02-01,본점,4.0,13
25,백종원의3대천왕,백종원의3대천왕,중앙찜닭,"찜닭, 당면",,,,,2026-02-01,안동,4.1,10
26,백종원의3대천왕,백종원의3대천왕,맛나기사식당,"대구탕, 기사식당",,,,,2026-02-01,동아대,3.5,4
27,백종원의3대천왕,백종원의3대천왕,소문난 원조조방낙지,"낙곱새, 낙지",,,,,2026-02-01,동래,4.4,21
28,백종원의3대천왕,백종원의3대천왕,거인통닭,"치킨, 통닭",,,,,2026-02-01,동아대,4.1,16
29,백종원의3대천왕,백종원의3대천왕,원조부산족발,냉채족발,,,,,2026-02-01,자갈치역,3.6,41
30,백종원의3대천왕,백종원의3대천왕,단골집,돼지국밥,,,,,2026-02-01,밀양,4.4,20
31,백종원의3대천왕,백종원의3대천왕,미림 식당,"돈까스, 경양식",,,,,2026-02-01,서문시장,3.2,17
32,백종원의3대천왕,백종원의3대천왕,태능집,"연탄불고기, 우동",,,,,2026-02-01,달성공원역,4.2,22
33,백종원의3대천왕,백종원의3대천왕,부광돼지국밥,돼지국밥,,,,,2026-02-01,부산중앙동,3.9,9
34,백종원의3대천왕,백종원의3대천왕,바다집,"수중전골, 낙지볶음",,,,,2026-02-01,남포동,3.9,15
35,백종원의3대천왕,백종원의3대천왕,산에산에,"파전, 들깨수제비",,,,,2026-02-01,진해,,
36,백종원의3대천왕,백종원의3대천왕,왕거미식당,"뭉티기, 생고기",,,,,2026-02-01,동인동,4.5,30
37,백종원의3대천왕,백종원의3대천왕,대남포장집,"문어, 문어숙회",,,,,2026-02-01,경성대,4.5,3
38,백종원의3대천왕,백종원의3대천왕,기장손칼국수,"칼국수, 손칼국수",,,,,2026-02-01,서면,4.0,72
39,백종원의3대천왕,백종원의3대천왕,간판없는김치찌개,"김치찌개, 보리밥",,,,,2026-02-01,부산부평동,4.2,2
40,백종원의3대천왕,백종원의3대천왕,회국수할매집,"국수, 회국수",,,,,2026-02-01,서면,4.0,9
41,백종원의3대천왕,백종원의3대천왕,삼일식육식당,"갈비탕, 갈비찜",,,,,2026-02-01,함양,,
42,백종원의3대천왕,백종원의3대천왕,대구식당,"한우국밥, 소고기국밥",,,,,2026-02-01,함안,4.6,9
43,백종원의3대천왕,백종원의3대천왕,광명반점,"짜장면, 난자완스",,,,,2026-02-01,대구역,4.1,5
44,백종원의3대천왕,백종원의3대천왕,대길고추불고기,"집밥, 고추",,,,,2026-02-01,부산대,3.1,10
45,백종원의3대천왕,백종원의3대천왕,신발원,"만두, 군만두",,,,,2026-02-01,부산역,4.2,172
46,백종원의3대천왕,백종원의3대천왕,동곡 원조할매 손칼국수,"칼국수, 수육",,,,,2026-02-01,대구,3.1,3
47,백종원의3대천왕,백종원의3대천왕,저수지휴게실,"수제비, 찐만두",,,,,2026-02-01,울산,4.2,20
48,백종원의3대천왕,백종원의3대천왕,새포항물회식당,"물회, 고추장",,,,,2026-02-01,포항,4.0,23
49,백종원의3대천왕,백종원의3대천왕,김해식당,"아구찜, 아구수육",,,,,2026-02-01,남포동,4.5,7
50,백종원의3대천왕,백종원의3대천왕,범일빈대떡,"빈대떡, 파전",,,,,2026-02-01,범일동,4.6,4
51,백종원의3대천왕,백종원의3대천왕,장군멸치회촌,멸치쌈밥,,,,,2026-02-01,기장,3.2,2
52,백종원의3대천왕,백종원의3대천왕,모짜르트,"경양식, 함박스테이크",,,,,2026-02-01,대연동,4.0,8
53,백종원의3대천왕,백종원의3대천왕,교리김밥,"김밥, 계란",,,,,2026-02-01,본점,3.4,101
54,백종원의3대천왕,백종원의3대천왕,백화양곱창1호,양곱창,,,,,2026-02-01,자갈치시장,4.3,4
55,백종원의3대천왕,백종원의3대천왕,육거리곰탕,"곰탕, 수육",,,,,2026-02-01,진주,2.4,5
56,백종원의3대천왕,백종원의3대천왕,언양각식당,"석쇠불고기, 소국밥",,,,,2026-02-01,창원가로수길,4.4,14
57,백종원의3대천왕,백종원의3대천왕,미성복어,"복어, 복어불고기",,,,,2026-02-01,수성구,4.2,13
58,백종원의3대천왕,백종원의3대천왕,진주통닭,"닭, 닭찜",,,,,2026-02-01,진주,4.3,7
59,백종원의3대천왕,백종원의3대천왕,뉴욕통닭,"치킨, 통닭",,,,,2026-02-01,반월당,4.3,6
60,백종원의3대천왕,백종원의3대천왕,천황식당,"비빔밥, 육회비빔밥",,,,,2026-02-01,진주,3.8,58
61,백종원의3대천왕,백종원의3대천왕,대성기사한식뷔페,"한식뷔페, 기사식당",,,,,2026-02-01,대구,4.4,4
62,백종원의3대천왕,백종원의3대천왕,동진충무김밥,"충무김밥, 빼떼기죽",,,,,2026-02-01,통영,1.9,3
63,백종원의3대천왕,백종원의3대천왕,이층횟집,"횟집, 미더덕",,,,,2026-02-01,마산,3.7,8
64,백종원의3대천왕,백종원의3대천왕,동궁,"짜장면, 중국집",,,,,2026-02-01,부산중앙동,3.8,3
65,백종원의3대천왕,백종원의3대천왕,수봉반점,"중화비빔밥, 짬뽕",,,,,2026-02-01,칠성시장,4.4,38
66,백종원의3대천왕,백종원의3대천왕,복기할매불닭발,"닭발, 불닭발",,,,,2026-02-01,울산달동,5.0,3
67,백종원의3대천왕,백종원의3대천왕,복성반점,짬뽕,,,,,2026-02-01,마산,,
68,백종원의3대천왕,백종원의3대천왕,일미단팥죽,"단팥죽, 팥빙수",,,,,2026-02-01,부산,,
