id,sector,title,name,type,chef,address,lat,lng,date,area,user_score,review_cnt
1,백종원의3대천왕,백종원의3대천왕,단골식당,"연탄불고기, 간장불고기",,,,,2026-02-01,칠성시장,4.2,26
2,백종원의3대천왕,백종원의3대천왕,중화반점,"짬뽕, 야끼우동",,,,,2026-02-01,동성로,3.9,23
3,백종원의3대천왕,백종원의3대천왕,진미식육식당,"대창불고기, 대창전골",,,,,2026-02-01,대구,2.7,3
4,백종원의3대천왕,백종원의3대천왕,꼬꼬하우스,"치킨, 닭똥집",,,,,2026-02-01,대구동구,3.1,4
5,백종원의3대천왕,백종원의3대천왕,장여사의 나뭇잎손만두,"만두, 양념오뎅",,,,,2026-02-01,본점,4.0,13
6,백종원의3대천왕,백종원의3대천왕,미림 식당,"돈까스, 경양식",,,,,2026-02-01,서문시장,3.2,17
7,백종원의3대천왕,백종원의3대천왕,태능집,"연탄불고기, 우동",,,,,2026-02-01,달성공원역,4.2,22
8,백종원의3대천왕,백종원의3대천왕,왕거미식당,"뭉티기, 생고기",,,,,2026-02-01,동인동,4.5,30
9,백종원의3대천왕,백종원의3대천왕,광명반점,"짜장면, 난자완스",,,,,2026-02-01,대구역,4.1,5
10,백종원의3대천왕,백종원의3대천왕,동곡 원조할매 손칼국수,"칼국수, 수육",,,,,2026-02-01,대구,3.1,3
11,백종원의3대천왕,백종원의3대천왕,미성복어,"복어, 복어불고기",,,,,2026-02-01,수성구,4.2,13
12,백종원의3대천왕,백종원의3대천왕,뉴욕통닭,"치킨, 통닭",,,,,2026-02-01,반월당,4.3,6
13,백종원의3대천왕,백종원의3대천왕,대성기사한식뷔페,"한식뷔페, 기사식당",,,,,2026-02-01,대구,4.4,4
14,백종원의3대천왕,백종원의3대천왕,수봉반점,"중화비빔밥, 짬뽕",,,,,2026-02-01,칠성시장,4.4,38
