id,sector,title,name,type,chef,address,lat,lng,date,area,user_score,review_cnt
1,백종원의3대천왕,백종원의3대천왕,정순순대,"순대국, 피순대",,,,,2026-02-01,익산,4.0,9
2,백종원의3대천왕,백종원의3대천왕,솜씨만두,"만두, 군만두",,,,,2026-02-01,정읍,4.6,11
3,백종원의3대천왕,백종원의3대천왕,순심원,"짬뽕, 해물철판",,,,,2026-02-01,여수,4.4,33
4,백종원의3대천왕,백종원의3대천왕,시장비빔밥,"비빔밥, 육회비빔밥",,,,,2026-02-01,익산,4.1,9
5,백종원의3대천왕,백종원의3대천왕,서울곱창,"곱창, 곱창구이",,,,,2026-02-01,광주송정역,4.5,32
6,백종원의3대천왕,백종원의3대천왕,경방루,"짜장면, 물짜장",,,,,2026-02-01,남원,4.0,23
7,백종원의3대천왕,백종원의3대천왕,엄마네 돼지찌개,돼지찌개,,,,,2026-02-01,충장로,4.3,34
8,백종원의3대천왕,백종원의3대천왕,안젤라분식,"분식, 떡볶이",,,,,2026-02-01,군산,3.1,22
9,백종원의3대천왕,백종원의3대천왕,금암우족탕,"설렁탕, 우족탕",,,,,2026-02-01,전주,4.5,5
10,백종원의3대천왕,백종원의3대천왕,서울분식,"돈까스, 김치볶음밥",,,,,2026-02-01,목포,4.2,11
11,백종원의3대천왕,백종원의3대천왕,달인명품호떡,"호떡, 어묵",,,,,2026-02-01,전주,4.0,1
12,백종원의3대천왕,백종원의3대천왕,진고개식당,"삼겹살, 냉삼",,,,,2026-02-01,남원,4.0,1
13,백종원의3대천왕,백종원의3대천왕,대흥각,"짬뽕, 고추짬뽕",,,,,2026-02-01,김제,4.3,9
14,백종원의3대천왕,백종원의3대천왕,보안식당,"쫄면, 비빔쫄면",,,,,2026-02-01,정읍,4.1,10
15,백종원의3대천왕,백종원의3대천왕,송치마을,"수제비, 항아리수제비",,,,,2026-02-01,순천,4.1,20
16,백종원의3대천왕,백종원의3대천왕,명천식당슈퍼,"제육볶음, 김치찌개",,,,,2026-02-01,김제,4.0,4
17,백종원의3대천왕,백종원의3대천왕,양자강,"짬뽕, 비빔짬뽕",,,,,2026-02-01,정읍,4.5,10
18,백종원의3대천왕,백종원의3대천왕,형제정육점식당,"정육식당, 고기집",,,,,2026-02-01,순천,2.8,5
19,백종원의3대천왕,백종원의3대천왕,삼번집,"콩나물국밥, 모주",,,,,2026-02-01,전주,4.1,6
20,백종원의3대천왕,백종원의3대천왕,명문제과,빵,,,,,2026-02-01,남원,4.2,30
21,백종원의3대천왕,백종원의3대천왕,명품해물탕,"해물탕, 해물찜",,,,,2026-02-01,완도,4.4,3
22,백종원의3대천왕,백종원의3대천왕,백두산,"짜장면, 짬짜면",,,,,2026-02-01,광주,4.0,2
23,백종원의3대천왕,백종원의3대천왕,청운수산식당,"전복, 해초비빔밥",,,,,2026-02-01,완도,,
24,백종원의3대천왕,백종원의3대천왕,해남해장국,"해장국, 뼈해장국",,,,,2026-02-01,목포,3.7,19
25,백종원의3대천왕,백종원의3대천왕,송정떡갈비,"떡갈비, 뼈국",,,,,2026-02-01,1호점,4.3,36
26,백종원의3대천왕,백종원의3대천왕,용진집,"막걸리, 간장게장",,,,,2026-02-01,본점,3.1,15
27,백종원의3대천왕,백종원의3대천왕,노벨반점,"짜장면, 물짜장",,,,,2026-02-01,전주,4.3,24
28,백종원의3대천왕,백종원의3대천왕,비행장정문부대찌개,"부대찌개, 햄버거",,,,,2026-02-01,군산,3.9,25
29,백종원의3대천왕,백종원의3대천왕,송현불고기,"불고기, 돼지불고기",,,,,2026-02-01,나주,4.7,11
30,백종원의3대천왕,백종원의3대천왕,풍미통닭,"통닭, 마늘통닭",,,,,2026-02-01,순천,4.3,43
31,백종원의3대천왕,백종원의3대천왕,홍영장,"짬뽕, 물짜장",,,,,2026-02-01,군산,,
32,백종원의3대천왕,백종원의3대천왕,화랑식당,"육회, 육회비빔밥",,,,,2026-02-01,함평,4.4,25
33,백종원의3대천왕,백종원의3대천왕,봉순이팥죽칼국수,"팥죽, 팥칼국수",,,,,2026-02-01,화순,4.0,1
34,백종원의3대천왕,백종원의3대천왕,육일식당,"감자탕, 고구마순감자탕",,,,,2026-02-01,전주,4.0,27
35,백종원의3대천왕,백종원의3대천왕,현대닭내장,닭내장탕,,,,,2026-02-01,전주,3.6,2
36,백종원의3대천왕,백종원의3대천왕,나주식당,"국밥, 순대",,,,,2026-02-01,광주동구,4.2,13
37,백종원의3대천왕,백종원의3대천왕,나주곰탕 하얀집,"곰탕, 수육곰탕",,,,,2026-02-01,나주,4.3,95
38,백종원의3대천왕,백종원의3대천왕,성미당,"비빔밥, 육회비빔밥",,,,,2026-02-01,전주,4.1,22
39,백종원의3대천왕,백종원의3대천왕,거목순대국밥,"국밥, 순대국밥",,,,,2026-02-01,순천,3.9,9
40,백종원의3대천왕,백종원의3대천왕,지린성,"짜장면, 고추짜장",,,,,2026-02-01,군산,3.8,135
41,백종원의3대천왕,백종원의3대천왕,영미오리탕,"오리고기, 오리탕",,,,,2026-02-01,본점,4.2,40
42,백종원의3대천왕,백종원의3대천왕,옛날진미국수,"국수, 열무비빔국수",,,,,2026-02-01,담양,4.0,29
43,백종원의3대천왕,백종원의3대천왕,우정식당,"콩나물국밥, 모주",,,,,2026-02-01,전주,4.8,6
44,백종원의3대천왕,백종원의3대천왕,맛나게장,"게장, 꽃게정식",,,,,2026-02-01,여수,4.5,18
45,백종원의3대천왕,백종원의3대천왕,승일식당,"돼지갈비, 숯불돼지갈비",,,,,2026-02-01,담양,4.0,38
46,백종원의3대천왕,백종원의3대천왕,명희네장흥삼합,"한우, 장흥삼합",,,,,2026-02-01,전남장흥,1.0,3
47,백종원의3대천왕,백종원의3대천왕,동아식당,"생선조림, 가오리찜",,,,,2026-02-01,구례,4.4,2
48,백종원의3대천왕,백종원의3대천왕,미미원,"육전, 낙지탕탕이",,,,,2026-02-01,광주동명동,4.6,20
49,백종원의3대천왕,백종원의3대천왕,홍어1번지,"홍어, 홍어삼합",,,,,2026-02-01,나주,3.9,5
