id,sector,title,name,type,chef,address,lat,lng,date,area,user_score,review_cnt
1,생생정보통,생생정보통,올갱이식당,"올갱이, 올갱이해장국",,,,,2026-02-01,문경,4.3,5
2,생생정보통,생생정보통,유정식당,"곰치국, 문어볶음",,,,,2026-02-01,울진,4.5,4
3,생생정보통,생생정보통,대천식당,"모리국수, 가정식백반",,,,,2026-02-01,포항,4.3,3
4,생생정보통,생생정보통,삼릉고향손칼국수,"칼국수, 우리밀",,,,,2026-02-01,경주,4.1,4
5,생생정보통,생생정보통,진일미,"짬뽕, 중식",,,,,2026-02-01,문경,4.4,5
6,생생정보통,생생정보통,돌섬식당,"따개비칼국수, 따개비밥",,,,,2026-02-01,울릉도,4.4,3
7,생생정보통,생생정보통,하루면옥,"평양냉면, 볶음국수",,,,,2026-02-01,김천,4.6,5
8,생생정보통,생생정보통,신촌포항식당,"닭백숙, 누룽지백숙",,,,,2026-02-01,청송,4.6,2
9,생생정보통,생생정보통,문경약돌돼지매봉산,"족살찌개, 광부도시락",,,,,2026-02-01,문경,4.0,1
10,생생정보통,생생정보통,한우리식당,"족살찌개, 능이버섯",,,,,2026-02-01,문경,4.8,3
11,생생정보통,생생정보통,풍기 민속떡집,"떡집, 찹쌀떡",,,,,2026-02-01,영주,4.3,4
12,생생정보통,생생정보통,장미그리다,"아이스크림, 유기농",,,,,2026-02-01,경주황리단길,3.9,4
13,생생정보통,생생정보통,문경새재옛날찹쌀떡,"디저트, 찹쌀떡",,,,,2026-02-01,문경새재,3.4,2
14,생생정보통,생생정보통,상전죽집,"고디탕, 다슬기탕",,,,,2026-02-01,영천,4.0,1
15,생생정보통,생생정보통,가잠물회등뼈찜,"쪽갈비, 물회",,,,,2026-02-01,구미,4.0,2
16,생생정보통,생생정보통,고바우식당,국밥,,,,,2026-02-01,성주,4.0,1
17,생생정보통,생생정보통,선바위가든,"산채정식, 산채비빔밥",,,,,2026-02-01,영양군,4.9,2
18,생생정보통,생생정보통,원조지례삼거리불고기,"흑돼지, 양념불고기",,,,,2026-02-01,김천,4.6,4
19,생생정보통,생생정보통,두레두부마을,두부요리,,,,,2026-02-01,고령,4.8,4
20,생생정보통,생생정보통,해동회수산,"막회, 물회",,,,,2026-02-01,포항,3.6,2
21,생생정보통,생생정보통,옹기에한가득,"제육쌈밥, 한식",,,,,2026-02-01,문경,3.1,2
22,생생정보통,생생정보통,신사랑방식당,"황태, 북어",,,,,2026-02-01,구미,5.0,6
23,생생정보통,생생정보통,연다라횟집,"대게, 박달대게",,,,,2026-02-01,포항,4.2,6
24,생생정보통,생생정보통,금강산가든,"돼지갈비, 돼지왕갈비",,,,,2026-02-01,김천,5.0,1
25,생생정보통,생생정보통,신라명가,"경주빵, 찰보리빵",,,,,2026-02-01,황리단 1호점,5.0,1
26,생생정보통,생생정보통,토함산식당,"닭백숙, 묵은지닭매운탕",,,,,2026-02-01,경주,4.0,2
27,생생정보통,생생정보통,밀레니엄안동찜닭,"찜닭, 쪼림닭",,,,,2026-02-01,안동,4.3,20
28,생생정보통,생생정보통,모리칼국수,"동태탕, 모리국수",,,,,2026-02-01,포항,3.5,7
29,생생정보통,생생정보통,동궁,"돌솥밥, 능이전골",,,,,2026-02-01,봉화,5.0,1
30,생생정보통,생생정보통,옥동손국수,"국수, 안동국시",,,,,2026-02-01,안동,4.3,18
31,생생정보통,생생정보통,용궁순대,"국밥, 순대국밥",,,,,2026-02-01,예천,3.8,7
32,생생정보통,생생정보통,뒷골뭉티기육회,"뭉티기, 오드레기",,,,,2026-02-01,영천,5.0,1
33,생생정보통,생생정보통,뿔난염소식당,"염소, 염소전골",,,,,2026-02-01,의성,,
34,생생정보통,생생정보통,대화식당,"보리밥, 보리밥정식",,,,,2026-02-01,포항죽도시장,4.5,17
35,생생정보통,생생정보통,정통 천안문,"짜장면, 된장짜장",,,,,2026-02-01,경산,,
36,생생정보통,생생정보통,배신식당,"석쇠불고기, 소금구이",,,,,2026-02-01,김천,4.3,23
37,생생정보통,생생정보통,문경약돌한우타운,"한우, 한우탕",,,,,2026-02-01,문경새재,5.0,2
38,생생정보통,생생정보통,원조대게후포리,"대게, 대게요리",,,,,2026-02-01,울진,3.5,2
39,생생정보통,생생정보통,농가맛집 두연,"한정식, 두부전골",,,,,2026-02-01,청송,5.0,2
40,생생정보통,생생정보통,중앙정육한우마을,"등심, 삼겹살",,,,,2026-02-01,문경,3.0,1
41,생생정보통,생생정보통,홍게무한리필,"홍게, 홍게무한리필",,,,,2026-02-01,포항,4.9,4
42,생생정보통,생생정보통,산성식당,"설렁탕, 곰탕",,,,,2026-02-01,영천,4.0,3
43,생생정보통,생생정보통,까치구멍집,헛제사밥,,,,,2026-02-01,안동,3.8,14
44,생생정보통,생생정보통,시골분식,"김밥, 우엉김밥",,,,,2026-02-01,경주,3.9,3
45,생생정보통,생생정보통,쉼터민물매운탕,"산채비빔밥, 민물매운탕",,,,,2026-02-01,봉화,,
46,생생정보통,생생정보통,홍은식당,"갈비찜, 소갈비찜",,,,,2026-02-01,경주,2.0,1
47,생생정보통,생생정보통,화산숯불,"한우, 손두부",,,,,2026-02-01,경주,4.2,2
48,생생정보통,생생정보통,구서울갈비,돼지갈비,,,,,2026-02-01,안동,4.6,7
49,생생정보통,생생정보통,순흥소머리국밥,"국밥, 소머리국밥",,,,,2026-02-01,영주,,
