id,sector,title,name,type,chef,address,lat,lng,date,area,user_score,review_cnt
1,생생정보통,생생정보통,합천자연산추어탕,"추어탕, 미꾸라지튀김",,,,,2026-02-01,대구달성군,5.0,1
2,생생정보통,생생정보통,무쇠짬뽕,"짬뽕, 해물",,,,,2026-02-01,대구다사,5.0,5
3,생생정보통,생생정보통,반할서문손만두,손만두,,,,,2026-02-01,성서,4.4,5
4,생생정보통,생생정보통,권반장구이앤샤브샤브,"삼겹살, 냉삼",,,,,2026-02-01,대구보건대,4.1,4
5,생생정보통,생생정보통,금손정,"냉면, 육회비빔밥",,,,,2026-02-01,대구동구,3.0,2
6,생생정보통,생생정보통,대박곱창막창,"곱창, 막창",,,,,2026-02-01,안지랑,4.2,3
7,생생정보통,생생정보통,대봉족,"족발, 화덕족발",,,,,2026-02-01,대구남구,3.7,2
8,생생정보통,생생정보통,호찐빵 만두나라,"찐빵, 만두",,,,,2026-02-01,본점,4.7,7
9,생생정보통,생생정보통,방천소갈비,"소갈비, 돼지갈비",,,,,2026-02-01,방천시장,4.0,1
10,생생정보통,생생정보통,선아식당,"칼국수, 손칼국수",,,,,2026-02-01,서문시장,4.0,1
11,생생정보통,생생정보통,이봉화추어탕,"추어탕, 동동주",,,,,2026-02-01,대구수성구,5.0,1
12,생생정보통,생생정보통,고산골 안동콩나물시레기국밥,"콩나물국밥, 고등어구이",,,,,2026-02-01,봉덕동,4.2,4
13,생생정보통,생생정보통,방천소갈비,"고깃집, 소고기",,,,,2026-02-01,수성구,4.0,1
14,생생정보통,생생정보통,약전골목원조국수,"칼국수, 수제비",,,,,2026-02-01,수성하이츠 직영점,4.9,5
15,생생정보통,생생정보통,방천소갈비,"고깃집, 한우",,,,,2026-02-01,KBS점,4.0,1
16,생생정보통,생생정보통,단골식당,"연탄불고기, 간장불고기",,,,,2026-02-01,칠성시장,4.2,26
17,생생정보통,생생정보통,옥순손칼국수,"콩국수, 부추전",,,,,2026-02-01,대구,4.7,2
18,생생정보통,생생정보통,솔밭생수식당,고깃집,,,,,2026-02-01,대구달성군,4.0,1
19,생생정보통,생생정보통,산정논메기매운탕,"메기탕, 메기매운탕",,,,,2026-02-01,다사,3.7,4
20,생생정보통,생생정보통,할매국밥,"돼지국밥, 칼국수",,,,,2026-02-01,대구,3.0,1
21,생생정보통,생생정보통,별난복어,"복어, 복불고기",,,,,2026-02-01,달서구,4.7,4
22,생생정보통,생생정보통,다원천연갈비,돼지갈비,,,,,2026-02-01,대구달성군,4.0,4
23,생생정보통,생생정보통,밀양식당,"집밥, 한식",,,,,2026-02-01,서부정류장,4.0,1
24,생생정보통,생생정보통,삼미찜갈비,찜갈비,,,,,2026-02-01,서문시장점,4.2,9
25,생생정보통,생생정보통,밀밭베이커리,"빵, 멜론빵",,,,,2026-02-01,동성로,4.6,5
26,생생정보통,생생정보통,월성찜갈비,"찜갈비, 볶음밥",,,,,2026-02-01,동인동,4.5,3
27,생생정보통,생생정보통,장수하늘소,"한우국밥, 한우소고기국밥",,,,,2026-02-01,대구달성군,4.8,4
28,생생정보통,생생정보통,유창반점,"중화비빔밥, 중식",,,,,2026-02-01,본점,4.0,39
29,생생정보통,생생정보통,윤옥연 할매떡볶이,"떡볶이, 오뎅",,,,,2026-02-01,신천시장,4.0,26
30,생생정보통,생생정보통,꽃게품은닭,"닭볶음탕, 꽃게",,,,,2026-02-01,대구동구,4.0,1
31,생생정보통,생생정보통,방천소갈비,"고깃집, 소갈비",,,,,2026-02-01,두류,4.5,1
32,생생정보통,생생정보통,갈비둥지,돼지갈비,,,,,2026-02-01,본리동,4.3,8
33,생생정보통,생생정보통,남선생김치찜 앤 갈비찜,"김치찜, 등갈비묵은지찜",,,,,2026-02-01,대구수성구,,
34,생생정보통,생생정보통,단골닭국밥,"국밥, 닭국밥",,,,,2026-02-01,대구보건대,5.0,1
35,생생정보통,생생정보통,대자연식당,"닭구이, 촌닭구이",,,,,2026-02-01,가창,4.1,4
36,생생정보통,생생정보통,대구원조국수,"칼국수, 수육",,,,,2026-02-01,대구,4.4,6
37,생생정보통,생생정보통,뽀끼뽀끼분식이야기,"떡볶이, 분식",,,,,2026-02-01,진천동,4.3,4
38,생생정보통,생생정보통,남도횟집,"횟집, 무침회",,,,,2026-02-01,대구중구,4.9,4
39,생생정보통,생생정보통,방천소갈비,"고깃집, 생갈비살",,,,,2026-02-01,시지,4.0,1
40,생생정보통,생생정보통,팔공산가마솥,"백숙, 가마솥",,,,,2026-02-01,팔공산,4.0,2
41,생생정보통,생생정보통,대덕식당,"해장국, 선지국",,,,,2026-02-01,앞산,4.1,5
