id,sector,title,name,type,chef,address,lat,lng,date,area,user_score,review_cnt
1,생생정보통,생생정보통,프롬하노이,"베트남음식, 반쎄오",,,,,2026-02-01,망원동,4.3,25
2,생생정보통,생생정보통,아소정,"함흥냉면, 갈비찜",,,,,2026-02-01,공덕,4.1,24
3,생생정보통,생생정보통,궁 나라 냉면 묵밥,"묵밥, 도토리",,,,,2026-02-01,창신역,3.8,6
4,생생정보통,생생정보통,배떼기곱창,"곱창, 막창",,,,,2026-02-01,홍대점,3.8,12
5,생생정보통,생생정보통,해화로 수산,"횟집, 숙성회",,,,,2026-02-01,세종대,4.5,9
6,생생정보통,생생정보통,만두향,만두,,,,,2026-02-01,수유역,4.1,6
7,생생정보통,생생정보통,황산냉면,"어복쟁반, 냉면",,,,,2026-02-01,방이동,4.1,19
8,생생정보통,생생정보통,삼맛호오떡,"호떡, 이태리",,,,,2026-02-01,왕십리본점,4.3,6
9,생생정보통,생생정보통,서여사네,"어죽, 어탕칼국수",,,,,2026-02-01,문래,4.8,10
10,생생정보통,생생정보통,장안정,"돈까스, 함박스테이크",,,,,2026-02-01,장안동,3.9,38
11,생생정보통,생생정보통,산들애 건강밥상,"한식, 코다리구이",,,,,2026-02-01,북한산,4.2,10
12,생생정보통,생생정보통,대성이네,"찜닭, 닭도리탕",,,,,2026-02-01,녹번,3.9,11
13,생생정보통,생생정보통,용산도서관 구내식당 용산마루,"백반, 양식",,,,,2026-02-01,후암동,4.5,2
14,생생정보통,생생정보통,참사랑해,"참치, 참치회",,,,,2026-02-01,길동,4.5,1
15,생생정보통,생생정보통,엘림들깨수제비칼국수,"칼국수, 들깨칼국수",,,,,2026-02-01,수유,4.9,29
16,생생정보통,생생정보통,연희동수제비,"수제비, 들깨수제비",,,,,2026-02-01,연희동,4.0,3
17,생생정보통,생생정보통,동해해물,"해물찜, 해산물",,,,,2026-02-01,건대,3.5,11
18,생생정보통,생생정보통,광주식당,"청국장, 오징어볶음",,,,,2026-02-01,청량리,4.0,40
19,생생정보통,생생정보통,평안면옥,평양냉면,,,,,2026-02-01,서초역,4.2,25
20,생생정보통,생생정보통,서호김밥,"김밥, 김치수제비",,,,,2026-02-01,방배,4.1,21
21,생생정보통,생생정보통,이필당,"보쌈, 족발",,,,,2026-02-01,선유도역,3.7,5
22,생생정보통,생생정보통,모꼬지에,"떡볶이, 즉석떡볶이",,,,,2026-02-01,송파역,3.5,38
23,생생정보통,생생정보통,홍두깨본칼국수,"콩국수, 도토리",,,,,2026-02-01,선유도,5.0,2
24,생생정보통,생생정보통,사누끼,"돈까스, 치즈돈까스",,,,,2026-02-01,창동역,4.3,5
25,생생정보통,생생정보통,가례원,"떡집, 찹쌀떡",,,,,2026-02-01,신촌,5.0,2
26,생생정보통,생생정보통,안동참찜닭,"찜닭, 당면",,,,,2026-02-01,건대,4.6,11
27,생생정보통,생생정보통,웰빙김치찜,"김치찜, 계란말이",,,,,2026-02-01,공덕,4.5,11
28,생생정보통,생생정보통,한국관,"김치찌개, 돌솥비빔밥",,,,,2026-02-01,혜화,3.6,5
29,생생정보통,생생정보통,연신내김밥,"김밥, 잔치국수",,,,,2026-02-01,연신내,5.0,3
30,생생정보통,생생정보통,높은집 종가 산꼼장어,"꼼장어, 산꼼장어",,,,,2026-02-01,왕십리,3.5,2
