id,sector,title,name,type,chef,address,lat,lng,date,area,user_score,review_cnt
1,생생정보통,생생정보통,공천포식당,"물회, 갈치국",,,,,2026-02-01,제주,3.8,30
2,생생정보통,생생정보통,가파도용궁정식,"한정식, 백반",,,,,2026-02-01,가파도,3.8,2
3,생생정보통,생생정보통,우도왕자,"아이스크림, 땅콩아이스크림",,,,,2026-02-01,우도,3.3,7
4,생생정보통,생생정보통,파프리카국수,고기국수,,,,,2026-02-01,제주시청,3.0,1
5,생생정보통,생생정보통,제일떡집,오메기떡,,,,,2026-02-01,올레시장,3.7,8
6,생생정보통,생생정보통,제주곱,"곱창, 마늘곱창",,,,,2026-02-01,연동,4.4,2
7,생생정보통,생생정보통,심봉사눈뜬톳해물짜장짬뽕,"짜장면, 짬뽕",,,,,2026-02-01,마라도,4.2,2
8,생생정보통,생생정보통,조림명가,"갈치, 갈치조림",,,,,2026-02-01,서귀포,2.2,3
9,생생정보통,생생정보통,쇠소깍 복순이네,"해물탕, 갈치조림",,,,,2026-02-01,쇠소깍,,
10,생생정보통,생생정보통,동문시장 장인의집,"만두, 문어",,,,,2026-02-01,제주동문시장,4.0,1
11,생생정보통,생생정보통,카페 두모리에,"카페, 벵에돔",,,,,2026-02-01,한경면,4.0,2
12,생생정보통,생생정보통,성신식당,"갈치국, 갈치조림",,,,,2026-02-01,모슬포,,
13,생생정보통,생생정보통,신산나들목,"흑돼지, 특수부위",,,,,2026-02-01,성산,4.0,1
14,생생정보통,생생정보통,파파야,"말고기, 말고기버거",,,,,2026-02-01,성산일출봉,4.5,3
15,생생정보통,생생정보통,오가네 전복설렁탕,"전복, 전복죽",,,,,2026-02-01,서귀포,4.0,12
16,생생정보통,생생정보통,제주엔우영베이커리카페,"베이커리, 카페",,,,,2026-02-01,세화,,
17,생생정보통,생생정보통,해녀촌식당,"짬뽕, 해물짬뽕",,,,,2026-02-01,가파도,3.0,1
18,생생정보통,생생정보통,제라한전복김밥,"전복김밥, 김밥",,,,,2026-02-01,동문시장,,
19,생생정보통,생생정보통,혼차롱식개집,한식,,,,,2026-02-01,서귀포,,
20,생생정보통,생생정보통,섭지향 요리하는강태공,"일식당, 참치회",,,,,2026-02-01,표선,,
21,생생정보통,생생정보통,꾸러기분식,"분식, 떡볶이",,,,,2026-02-01,서귀포,,
22,생생정보통,생생정보통,북경오리화덕구이,"베이징덕, 중국요리",,,,,2026-02-01,서귀포,,
23,생생정보통,생생정보통,꿩마을,"꿩, 꿩요리",,,,,2026-02-01,표선,,
24,생생정보통,생생정보통,소담오메기떡,오메기떡,,,,,2026-02-01,제주동문시장,,
25,생생정보통,생생정보통,흑미진,"흑돼지, 흑돼지무한리필",,,,,2026-02-01,성산,,
26,생생정보통,생생정보통,사월의꿩,"꿩, 꿩요리",,,,,2026-02-01,구좌읍,,
27,생생정보통,생생정보통,제원삼계탕,"삼계탕, 전복삼계탕",,,,,2026-02-01,연동,,
28,생생정보통,생생정보통,토브농장 베이커리카페,베이커리카페,,,,,2026-02-01,애월,,
29,생생정보통,생생정보통,전국식당,"제육볶음, 몸국",,,,,2026-02-01,제주공항,,
30,생생정보통,생생정보통,은혜수산,"전복, 전복돌솥밥",,,,,2026-02-01,애월,,
31,생생정보통,생생정보통,공훈브런치,"브런치, 화덕피자",,,,,2026-02-01,제주협재점,,
