id,sector,title,name,type,chef,address,lat,lng,date,area,user_score,review_cnt
1,생활의달인,생활의달인,사야까,"라멘, 차슈",,,,,2026-02-01,대구중구,4.4,9
2,생활의달인,생활의달인,남경반점,"짜장면, 간짜장",,,,,2026-02-01,대구동구,3.7,7
3,생활의달인,생활의달인,일미반점,"중화비빔밥, 야끼우동",,,,,2026-02-01,대구역,4.3,11
4,생활의달인,생활의달인,유창반점,"중화비빔밥, 중식",,,,,2026-02-01,본점,4.0,39
5,생활의달인,생활의달인,효명통닭,"찜닭, 야채찜닭",,,,,2026-02-01,봉덕동,4.1,3
6,생활의달인,생활의달인,경승원,"짜장면, 볶음밥",,,,,2026-02-01,대구북구,4.4,3
7,생활의달인,생활의달인,이모식당,"국밥, 막창순대",,,,,2026-02-01,서문시장,4.0,11
8,생활의달인,생활의달인,봉덕제과,"빵, 찹쌀떡",,,,,2026-02-01,앞산,5.0,1
9,생활의달인,생활의달인,왓타타이,"태국음식, 팟타이",,,,,2026-02-01,대구역,4.6,4
10,생활의달인,생활의달인,청도손칼국수,"칼국수, 콩칼국수",,,,,2026-02-01,대구남구,5.0,3
11,생활의달인,생활의달인,또또김밥,"분식, 밀키트",,,,,2026-02-01,동대구,4.0,2
12,생활의달인,생활의달인,메종드빵,"빵, 두바이",,,,,2026-02-01,대구칠곡,4.0,1
13,생활의달인,생활의달인,백년친구,"보쌈, 굴보쌈",,,,,2026-02-01,수성못,5.0,1
14,생활의달인,생활의달인,중화반점,"짬뽕, 야끼우동",,,,,2026-02-01,동성로,3.9,23
15,생활의달인,생활의달인,효목김밥,"김밥, 소고기김밥",,,,,2026-02-01,대구동구,4.0,1
16,생활의달인,생활의달인,미성당 납작만두,"만두, 납작만두",,,,,2026-02-01,대구,3.7,14
17,생활의달인,생활의달인,운수좋은날 불갈비,"연탄불고기, 불갈비",,,,,2026-02-01,동성로,5.0,1
18,생활의달인,생활의달인,장여사의 나뭇잎손만두,"만두, 양념오뎅",,,,,2026-02-01,본점,4.0,13
19,생활의달인,생활의달인,대우족발,"족발, 한방족발",,,,,2026-02-01,대구역,3.6,2
20,생활의달인,생활의달인,제일콩국,"콩국, 토스트",,,,,2026-02-01,대구,4.6,23
21,생활의달인,생활의달인,삼오당어머니김밥,"김밥, 오징어김밥",,,,,2026-02-01,만촌,,
22,생활의달인,생활의달인,영래칼국수,"칼국수, 메밀전병",,,,,2026-02-01,대구,,
23,생활의달인,생활의달인,한성불고기,"석쇠불고기, 오징어불고기",,,,,2026-02-01,동성로,3.0,4
24,생활의달인,생활의달인,뚱채김밥,김밥,,,,,2026-02-01,대구달서구,4.0,1
25,생활의달인,생활의달인,도리도리떡도리,"떡집, 찹쌀떡",,,,,2026-02-01,시지,,
26,생활의달인,생활의달인,김민경의섹시한꼬마김밥떡볶이,"떡볶이, 꼬마김밥",,,,,2026-02-01,서문시장,3.8,5
27,생활의달인,생활의달인,대동면옥,평양냉면,,,,,2026-02-01,서문시장,4.2,17
28,생활의달인,생활의달인,최영경 할매 빈대떡,"빈대떡, 동동주",,,,,2026-02-01,대구서구,,
29,생활의달인,생활의달인,한려수도회타운,"횟집, 광어회",,,,,2026-02-01,대구,5.0,1
30,생활의달인,생활의달인,마마다이닝,"디저트, 빙수",,,,,2026-02-01,동성로,3.9,10
31,생활의달인,생활의달인,쁘띠따블,"레스토랑, 파인다이닝",,,,,2026-02-01,범어동,3.9,4
32,생활의달인,생활의달인,푸둥,"중화비빔밥, 냉짬뽕",,,,,2026-02-01,경대북문,,
33,생활의달인,생활의달인,반야월만두집,"떡볶이, 간장떡볶이",,,,,2026-02-01,대구동구,,
34,생활의달인,생활의달인,장할매맛집,"국수, 메밀국수",,,,,2026-02-01,대구동구,,
35,생활의달인,생활의달인,전통콩국,"콩국, 토스트",,,,,2026-02-01,대구서구,,
36,생활의달인,생활의달인,자인떡집,"떡집, 찹쌀떡",,,,,2026-02-01,대구달서구,,
