id,sector,title,name,type,chef,address,lat,lng,date,area,user_score,review_cnt
1,생활의달인,생활의달인,봉달이명품김밥,"김밥, 족발",,,,,2026-02-01,둔산점,4.7,7
2,생활의달인,생활의달인,하루방만두,"만두, 비빔만두",,,,,2026-02-01,대전중구,4.3,12
3,생활의달인,생활의달인,오븐브라더스,"아메리카노, 카페라떼",,,,,2026-02-01,대전목동,4.5,7
4,생활의달인,생활의달인,진남포면옥,"평양냉면, 녹두전",,,,,2026-02-01,대전유성구,4.0,6
5,생활의달인,생활의달인,평산면옥,평양냉면,,,,,2026-02-01,대전중구,4.3,7
6,생활의달인,생활의달인,테테,오코노미야키,,,,,2026-02-01,궁동,4.6,6
7,생활의달인,생활의달인,불티나만두찐빵,"떡볶이, 만두",,,,,2026-02-01,대전중리동,4.0,1
8,생활의달인,생활의달인,토미야,"우동, 냉우동",,,,,2026-02-01,대전서구,4.6,44
9,생활의달인,생활의달인,로얄라멘,"라멘, 츠케멘",,,,,2026-02-01,갈마동,4.8,10
10,생활의달인,생활의달인,심스 스모크하우스,바베큐,,,,,2026-02-01,대전유성구,3.7,6
11,생활의달인,생활의달인,콜마르브레드,빵,,,,,2026-02-01,대전유성구,4.4,5
12,생활의달인,생활의달인,개천식당,"만두국, 이북식만두",,,,,2026-02-01,대전역,4.0,41
13,생활의달인,생활의달인,서울치킨,"치킨, 닭내장탕",,,,,2026-02-01,대전역,4.6,2
14,생활의달인,생활의달인,콜드버터베이크샵,"빵, 소금빵",,,,,2026-02-01,대전대흥동,4.4,30
15,생활의달인,생활의달인,희락반점,"짜장면, 유니짜장",,,,,2026-02-01,중앙로역,4.5,15
16,생활의달인,생활의달인,왕관식당,"콩나물밥, 육회",,,,,2026-02-01,대전동구,4.4,14
17,생활의달인,생활의달인,맛집 부추해물칼국수,"칼국수, 바지락",,,,,2026-02-01,신탄진,4.2,21
18,생활의달인,생활의달인,이비가짬뽕,"짬뽕, 탕수육",,,,,2026-02-01,유성,3.7,13
19,생활의달인,생활의달인,몽심,"빵, 마들렌",,,,,2026-02-01,목원대,4.1,12
20,생활의달인,생활의달인,조기종의 향미각,"짬뽕, 꼬막짬뽕",,,,,2026-02-01,대덕구,4.2,15
