id,sector,title,name,type,chef,address,lat,lng,date,area,user_score,review_cnt
1,생활의달인,생활의달인,마가만두,"만두, 군만두",,,,,2026-02-01,부산역,4.4,54
2,생활의달인,생활의달인,명란김밥,"김밥, 명란",,,,,2026-02-01,부전시장,4.6,24
3,생활의달인,생활의달인,일미밀면,"밀면, 수육",,,,,2026-02-01,부산중구,4.7,15
4,생활의달인,생활의달인,빨간떡볶이,"떡볶이, 순대",,,,,2026-02-01,해운대,4.2,42
5,생활의달인,생활의달인,동양사라다,"빵, 사라다빵",,,,,2026-02-01,남천본점,4.1,6
6,생활의달인,생활의달인,다케다야,"우동, 우동전문",,,,,2026-02-01,광안리,4.4,24
7,생활의달인,생활의달인,백설대학,"김밥, 분식",,,,,2026-02-01,영도,4.5,14
8,생활의달인,생활의달인,상짱,"튀김, 튀김정식",,,,,2026-02-01,부산중앙동,4.7,16
9,생활의달인,생활의달인,겐짱카레,"카레, 고로케",,,,,2026-02-01,본점,4.2,15
10,생활의달인,생활의달인,대연밀면,"밀면, 물밀면",,,,,2026-02-01,대연동,4.7,7
11,생활의달인,생활의달인,옥생관,"짜장면, 탕수육",,,,,2026-02-01,부산중구,3.9,21
12,생활의달인,생활의달인,와글와글,"분식, 즉석떡볶이",,,,,2026-02-01,영도,4.0,8
13,생활의달인,생활의달인,옥성반점,"짜장면, 간짜장",,,,,2026-02-01,동아대,4.2,4
14,생활의달인,생활의달인,영성방,"짜장면, 가지튀김",,,,,2026-02-01,하단,3.8,7
15,생활의달인,생활의달인,남포밀냉면,"밀면, 비빔밀면",,,,,2026-02-01,대연동,4.3,3
16,생활의달인,생활의달인,생생김밥,김밥,,,,,2026-02-01,부전시장,4.3,8
17,생활의달인,생활의달인,편의방,"만두, 새우완탕",,,,,2026-02-01,부산중앙역,4.5,5
18,생활의달인,생활의달인,카마타케 제면소,"우동, 붓카케우동",,,,,2026-02-01,남포동,4.6,12
19,생활의달인,생활의달인,미각반점,중식당,,,,,2026-02-01,부산대,4.4,4
20,생활의달인,생활의달인,용호동할매 팥빙수단팥죽,"빙수, 팥빙수",,,,,2026-02-01,본점,4.4,28
21,생활의달인,생활의달인,이모도나스,"꽈배기, 도나스",,,,,2026-02-01,영도,4.4,3
22,생활의달인,생활의달인,금용,"만두, 군만두",,,,,2026-02-01,구포역,4.2,25
23,생활의달인,생활의달인,평산옥,"국수, 수육",,,,,2026-02-01,부산역,4.2,28
24,생활의달인,생활의달인,송스베이커리,"베이커리카페, 베이커리",,,,,2026-02-01,장전역,5.0,4
25,생활의달인,생활의달인,영심이찐빵,"찐빵, 도너츠",,,,,2026-02-01,남포동,4.4,6
26,생활의달인,생활의달인,무스비,"소바, 무스비",,,,,2026-02-01,해리단길,4.0,10
27,생활의달인,생활의달인,부산꼴통라면,"라면, 수제라면",,,,,2026-02-01,서면,3.0,5
28,생활의달인,생활의달인,상해만두,"짜장면, 홍초",,,,,2026-02-01,사상,4.2,6
29,생활의달인,생활의달인,천일녹즙,"씨앗호떡, 분식",,,,,2026-02-01,온천장,4.3,4
30,생활의달인,생활의달인,차이나반점,"짜장면, 중국집",,,,,2026-02-01,용호동,4.8,6
31,생활의달인,생활의달인,하정팥집,"팥죽, 팥빙수",,,,,2026-02-01,덕천,5.0,1
32,생활의달인,생활의달인,맥스넛,"꽈배기, 도너츠",,,,,2026-02-01,범일동,5.0,2
33,생활의달인,생활의달인,박고지김밥,"김밥, 김치",,,,,2026-02-01,광안,4.6,8
34,생활의달인,생활의달인,훈이네김밥,"김밥, 우동",,,,,2026-02-01,해운대,4.6,11
35,생활의달인,생활의달인,콩방,"빵, 단팥빵",,,,,2026-02-01,부산금정구,4.7,8
36,생활의달인,생활의달인,부광반점,"짜장면, 탕수육",,,,,2026-02-01,동래,3.6,8
37,생활의달인,생활의달인,파밀리아제과점,"빵, 두쫀쿠",,,,,2026-02-01,사상,3.3,2
38,생활의달인,생활의달인,맛나분식,"계란만두, 분식",,,,,2026-02-01,부산,5.0,4
39,생활의달인,생활의달인,피제리아 라르도,화덕피자,,,,,2026-02-01,해운대,3.9,8
40,생활의달인,생활의달인,동해물회,"물회, 잡어물회",,,,,2026-02-01,서면,4.4,12
41,생활의달인,생활의달인,국제밀면,"밀면, 물밀면",,,,,2026-02-01,본점,4.4,47
42,생활의달인,생활의달인,시민냉면,"냉면, 밀면",,,,,2026-02-01,당감동,4.6,8
43,생활의달인,생활의달인,희와제과,"빵, 휘낭시에",,,,,2026-02-01,전포,4.6,45
44,생활의달인,생활의달인,쥴린에리스 베이글,"베이글, 캐나다",,,,,2026-02-01,사직,4.5,1
45,생활의달인,생활의달인,원산면옥,"냉면, 평양냉면",,,,,2026-02-01,부산중구,3.9,18
46,생활의달인,생활의달인,남해달인횟집,"횟집, 회백반",,,,,2026-02-01,괴정,3.7,4
47,생활의달인,생활의달인,공순대,"순대국, 순대전골",,,,,2026-02-01,부산중구,4.5,15
48,생활의달인,생활의달인,쩡수제도너츠,"꽈배기, 도너츠",,,,,2026-02-01,남포동,5.0,1
49,생활의달인,생활의달인,소문난김밥집,"김밥, 비빔당면",,,,,2026-02-01,부산중구,4.6,2
50,생활의달인,생활의달인,황해면옥,"밀면, 만두",,,,,2026-02-01,부산부평동,4.0,1
51,생활의달인,생활의달인,정분식,"만두, 군만두",,,,,2026-02-01,용호동,4.0,2
52,생활의달인,생활의달인,이가네 떡볶이,떡볶이,,,,,2026-02-01,국제시장,4.1,82
53,생활의달인,생활의달인,큐제,"마카롱, 브런치카페",,,,,2026-02-01,부산시청,5.0,2
54,생활의달인,생활의달인,할매떡볶이,떡볶이,,,,,2026-02-01,부산동래,3.0,1
55,생활의달인,생활의달인,18번완당집,"완당, 비프",,,,,2026-02-01,남포동,4.0,34
56,생활의달인,생활의달인,소문난 시장칼국수,"칼국수, 김밥",,,,,2026-02-01,거제시장 본점,4.0,4
57,생활의달인,생활의달인,현대칼국수,"칼국수, 비빔칼국수",,,,,2026-02-01,연산,5.0,1
58,생활의달인,생활의달인,김가네분식,"떡볶이, 분식",,,,,2026-02-01,기장,3.8,4
59,생활의달인,생활의달인,해목,장어덮밥,,,,,2026-02-01,해운대,4.4,128
60,생활의달인,생활의달인,친치쿠린,"라멘, 츠케멘",,,,,2026-02-01,서면,4.0,5
61,생활의달인,생활의달인,고성분식,"칼국수, 수제비",,,,,2026-02-01,사상,5.0,1
62,생활의달인,생활의달인,삼송초밥,"스시, 후토마키",,,,,2026-02-01,남포동,4.3,11
63,생활의달인,생활의달인,중앙모밀,"소바, 모밀",,,,,2026-02-01,부산중앙동,4.5,19
64,생활의달인,생활의달인,고반식당,"삼겹살, 고기집",,,,,2026-02-01,수영센텀점,4.2,6
65,생활의달인,생활의달인,산수갑산,"돼지갈비, 숯불돼지갈비",,,,,2026-02-01,남포동,4.0,2
66,생활의달인,생활의달인,구본,"카페, 바움쿠헨",,,,,2026-02-01,온천장,3.0,2
67,생활의달인,생활의달인,비엔씨,빵,,,,,2026-02-01,부산역점,4.3,20
68,생활의달인,생활의달인,남천녹차팥빙수,"빙수, 팥빙수",,,,,2026-02-01,남천동,4.6,33
69,생활의달인,생활의달인,백일평냉,평양냉면,,,,,2026-02-01,광안리,4.4,16
70,생활의달인,생활의달인,바오하우스,"대만음식, 가지튀김",,,,,2026-02-01,서면,4.4,73
71,생활의달인,생활의달인,종각집,"우동, 김초밥",,,,,2026-02-01,남포동,3.3,8
72,생활의달인,생활의달인,송정집,"국수, 물국수",,,,,2026-02-01,송정,4.1,22
73,생활의달인,생활의달인,태종대 짬뽕,"짬뽕, 탕수육",,,,,2026-02-01,태종대,4.2,14
74,생활의달인,생활의달인,담미옥,"평양냉면, 녹두전",,,,,2026-02-01,개금,3.6,14
75,생활의달인,생활의달인,충무김밥,"충무김밥, 오징어무침",,,,,2026-02-01,동래,4.0,1
76,생활의달인,생활의달인,새진주식당,"비빔밥, 육회비빔밥",,,,,2026-02-01,부산,4.0,1
77,생활의달인,생활의달인,밀한줌 베이커리,"비건, 비건베이커리",,,,,2026-02-01,온천천,5.0,3
78,생활의달인,생활의달인,미쌤쌀식빵,"빵, 비건",,,,,2026-02-01,재송동,4.4,2
79,생활의달인,생활의달인,양산도집,민물장어구이,,,,,2026-02-01,사상,3.8,5
80,생활의달인,생활의달인,송부장연탄갈비,"돼지갈비, 소양념갈비살",,,,,2026-02-01,신평,5.0,2
81,생활의달인,생활의달인,명문김밥,"김밥, 유부김밥",,,,,2026-02-01,토성동,,
82,생활의달인,생활의달인,팔복통닭,"치킨, 닭두루치기",,,,,2026-02-01,당감동,,
83,생활의달인,생활의달인,보라찐빵,"찐빵, 도너츠",,,,,2026-02-01,반여동,,
84,생활의달인,생활의달인,포동충무김밥,"충무김밥, 오징어무침",,,,,2026-02-01,부산,,
85,생활의달인,생활의달인,사또분식,"김밥, 비빔김밥",,,,,2026-02-01,영도,2.6,2
86,생활의달인,생활의달인,할매김밥,"돼지국밥, 우엉김밥",,,,,2026-02-01,해운대,,
87,생활의달인,생활의달인,야스마루,"달걀말이국수, 일식집",,,,,2026-02-01,서면,4.3,19
88,생활의달인,생활의달인,면옥향천,"메밀국수, 모리소바",,,,,2026-02-01,본점,4.1,15
89,생활의달인,생활의달인,대성밀냉면,"밀면, 비빔밀면",,,,,2026-02-01,부평동,1.0,2
90,생활의달인,생활의달인,볶는집,"철판구이, 요리주점",,,,,2026-02-01,광안리,3.7,16
91,생활의달인,생활의달인,60년광복동김치국수,"비빔국수, 김치국수",,,,,2026-02-01,부산중구,,
92,생활의달인,생활의달인,스시미르네,"물회, 스시",,,,,2026-02-01,본점,4.2,25
93,생활의달인,생활의달인,쉐라미과자점,빵,,,,,2026-02-01,괴정,,
94,생활의달인,생활의달인,대남포장집,"문어, 문어숙회",,,,,2026-02-01,경성대,4.5,3
95,생활의달인,생활의달인,동원분식,"김밥, 열무국수",,,,,2026-02-01,금사역,4.0,1
96,생활의달인,생활의달인,원조 깡통골목 비빔당면,"비빔당면, 김밥",,,,,2026-02-01,부평동,3.6,6
97,생활의달인,생활의달인,초량온당,빵,,,,,2026-02-01,부산동구,4.2,11
98,생활의달인,생활의달인,거인통닭,"치킨, 통닭",,,,,2026-02-01,동아대,4.1,16
99,생활의달인,생활의달인,문스시,스시오마카세,,,,,2026-02-01,해운대,4.5,8
100,생활의달인,생활의달인,다이도코로,"일본가정식, 밥집",,,,,2026-02-01,광안리,4.6,46
