id,sector,title,name,type,chef,address,lat,lng,date,area,user_score,review_cnt
1,생활의달인,생활의달인,영발원,"짜장면, 짬뽕",,,,,2026-02-01,광주북구,4.7,10
2,생활의달인,생활의달인,백일홍,"찐빵, 만두",,,,,2026-02-01,전주,4.9,8
3,생활의달인,생활의달인,솜씨만두,"만두, 군만두",,,,,2026-02-01,정읍,4.6,11
4,생활의달인,생활의달인,진성원,"짜장면, 물짜장",,,,,2026-02-01,군산,4.3,5
5,생활의달인,생활의달인,소맥베이커리,빵,,,,,2026-02-01,광주동구,4.5,11
6,생활의달인,생활의달인,명동소바,"소바, 모리소바",,,,,2026-02-01,군산,4.2,4
7,생활의달인,생활의달인,다다원,"중화비빔밥, 짬뽕",,,,,2026-02-01,군산,4.7,11
8,생활의달인,생활의달인,만오제빵소,빵,,,,,2026-02-01,전주,4.9,3
9,생활의달인,생활의달인,양인제과,"베이커리, 에그타르트",,,,,2026-02-01,광주남구,3.9,11
10,생활의달인,생활의달인,중화루,"짜장면, 중깐",,,,,2026-02-01,목포,4.1,22
11,생활의달인,생활의달인,금암소바,"소바, 콩국수",,,,,2026-02-01,전주,4.0,26
12,생활의달인,생활의달인,파파드림 브레드,베이커리,,,,,2026-02-01,광주북구,4.9,8
13,생활의달인,생활의달인,중앙쌀호떡,"호떡, 찹쌀호떡",,,,,2026-02-01,전주,4.2,5
14,생활의달인,생활의달인,우남식당,"짬뽕, 탕수육",,,,,2026-02-01,나주,4.4,6
15,생활의달인,생활의달인,신생반점,"짬뽕, 삼선짬뽕",,,,,2026-02-01,부안,4.9,8
16,생활의달인,생활의달인,처갓집김밥,"김밥, 꼬마김밥",,,,,2026-02-01,익산,4.5,4
17,생활의달인,생활의달인,풍성제과,"빵, 옥수수식빵",,,,,2026-02-01,익산,4.5,2
18,생활의달인,생활의달인,브레드누아젯,"베이커리, 바게트",,,,,2026-02-01,광주수완점,3.0,2
19,생활의달인,생활의달인,자연애베이커리,"베이커리, 카페",,,,,2026-02-01,철길마을점,4.1,2
20,생활의달인,생활의달인,영미만두,"만두, 쫄면",,,,,2026-02-01,익산,4.6,2
21,생활의달인,생활의달인,일품향,"짜장면, 물짜장",,,,,2026-02-01,전주,4.4,10
22,생활의달인,생활의달인,효도찐빵,"찐빵, 만두",,,,,2026-02-01,고창,5.0,2
23,생활의달인,생활의달인,라스트쿠프,"빵, 깜빠뉴",,,,,2026-02-01,전주,4.8,5
24,생활의달인,생활의달인,아줌마국수집,"국수, 물국수",,,,,2026-02-01,완주,3.6,3
25,생활의달인,생활의달인,PNB풍년제과,"빵, 초코파이",,,,,2026-02-01,본점,4.4,38
26,생활의달인,생활의달인,송해븐,빵,,,,,2026-02-01,전주,4.7,4
27,생활의달인,생활의달인,대보장,"짜장면, 물짜장",,,,,2026-02-01,전주,4.4,11
28,생활의달인,생활의달인,보안식당,"쫄면, 비빔쫄면",,,,,2026-02-01,정읍,4.1,10
29,생활의달인,생활의달인,할매피순대,"순대국, 피순대",,,,,2026-02-01,부안,4.5,14
30,생활의달인,생활의달인,옛날김밥,"김밥, 부침개",,,,,2026-02-01,정읍,3.6,3
31,생활의달인,생활의달인,나들목,"돈까스, 소고기",,,,,2026-02-01,군산,4.2,7
32,생활의달인,생활의달인,여만국수전문점,"국수, 비빔국수",,,,,2026-02-01,전주,5.0,1
33,생활의달인,생활의달인,무등쑥호떡,"호떡, 어묵",,,,,2026-02-01,광주남구,4.4,2
34,생활의달인,생활의달인,이북할머니멸치국수,멸치국수,,,,,2026-02-01,삼례,4.4,2
35,생활의달인,생활의달인,중동호떡,"호떡, 크림치즈",,,,,2026-02-01,군산,3.7,36
36,생활의달인,생활의달인,엄마매점,"떡볶이, 야채튀김",,,,,2026-02-01,여수,4.3,4
37,생활의달인,생활의달인,궁전제과,"빵, 나비파이",,,,,2026-02-01,충장점,4.2,49
38,생활의달인,생활의달인,리베이커리,빵,,,,,2026-02-01,군산,3.2,2
39,생활의달인,생활의달인,시장비빔밥,"비빔밥, 육회비빔밥",,,,,2026-02-01,익산,4.1,9
40,생활의달인,생활의달인,청솔분식,"분식, 라볶이",,,,,2026-02-01,익산,3.0,2
41,생활의달인,생활의달인,마동국수,"국수, 물국수",,,,,2026-02-01,익산,4.0,1
42,생활의달인,생활의달인,오선모 옛날김밥,"김밥, 계란",,,,,2026-02-01,전주,3.9,6
43,생활의달인,생활의달인,한일옥,"한우, 무국",,,,,2026-02-01,군산,4.2,118
44,생활의달인,생활의달인,양자강,"짬뽕, 비빔짬뽕",,,,,2026-02-01,정읍,4.5,10
45,생활의달인,생활의달인,태평집,"콩국수, 소바",,,,,2026-02-01,전주,4.1,26
46,생활의달인,생활의달인,피낭시에,"베이커리, 피낭시에",,,,,2026-02-01,해남,4.4,10
47,생활의달인,생활의달인,우리밀누룩꽃빵,"빵, 건강빵",,,,,2026-02-01,전주,4.0,1
48,생활의달인,생활의달인,못난이네,"호떡, 분식",,,,,2026-02-01,목포,4.5,2
49,생활의달인,생활의달인,장터,꽃게탕,,,,,2026-02-01,하당점,4.5,27
50,생활의달인,생활의달인,뽀빠이냉면,평양냉면,,,,,2026-02-01,군산,3.9,12
51,생활의달인,생활의달인,복성루,"짬뽕, 물짜장",,,,,2026-02-01,군산,4.1,51
52,생활의달인,생활의달인,진갈비,"떡갈비, 곰탕",,,,,2026-02-01,군산,4.2,15
53,생활의달인,생활의달인,삼일월,빵,,,,,2026-02-01,완주,3.0,2
54,생활의달인,생활의달인,목월빵집,빵,,,,,2026-02-01,구례,4.3,42
