no,media_type,title,place_name,place_type,description,opening_hours,break_time,closed_days,address,latitude,longitude,phone,last_updated,michelin_tier
1,show,어디로튈지몰라,꾸이꾸이돼지촌쭈꾸미,restaurant,1회 서울 방화동 부추가 산더미처럼 올라가는 쭈꾸미 맛집,정보없음,정보없음,정보없음,서울 강서구 초원로 77,,,정보없음,2026-02-02,
2,show,어디로튈지몰라,촌닭집,restaurant,1회 춘천 산속에서 즐기는 솥뚜껑 숯불 오리구이와 닭갈비,정보없음,정보없음,정보없음,강원 춘천시 신북읍 영서로 3748,,,정보없음,2026-02-02,
3,show,어디로튈지몰라,명가막국수,restaurant,"1회 춘천 3대 막국수, 자극적이지 않은 슴슴한 메밀 막국수",정보없음,정보없음,정보없음,강원 춘천시 신북읍 상천3길 8,,,정보없음,2026-02-02,
4,show,어디로튈지몰라,살별곱창,restaurant,1회 예산 삽교 곱창 골목의 돼지 곱창 구이와 전골 맛집,정보없음,정보없음,정보없음,충남 예산군 삽교읍 체육공원길 207,,,정보없음,2026-02-02,
5,show,어디로튈지몰라,부석흑콩국수,restaurant,"2회 서산 배우 고두심의 단골집, 서리태 콩국수 단일 메뉴",정보없음,정보없음,정보없음,충남 서산시 부석면 무학로 1158,,,정보없음,2026-02-02,
6,show,어디로튈지몰라,째보식당,restaurant,2회 군산 꽃게장 세트와 꼬막 비빔밥이 유명한 곳,정보없음,정보없음,정보없음,전북 군산시 구영3길 70,,,정보없음,2026-02-02,
7,show,어디로튈지몰라,서남만찬,restaurant,2회 남원 뜨거운 돌솥에 지글지글 나오는 오징어볶음 맛집,정보없음,정보없음,정보없음,전북 남원시 역재1길 9,,,정보없음,2026-02-02,
8,show,어디로튈지몰라,할매닭한마리,restaurant,3회 인천 부평 30년 전통의 닭한마리 칼국수 맛집,정보없음,정보없음,정보없음,인천 부평구 열우물로49번길 19,,,정보없음,2026-02-02,
9,show,어디로튈지몰라,옛집염소탕,restaurant,"3회 이천 흑염소 갈비전골, 잡내 없는 깊은 맛의 보양식",정보없음,정보없음,정보없음,경기 이천시 부악로76번길 11-8,,,정보없음,2026-02-02,
10,show,어디로튈지몰라,풍년뼈다귀해장국,restaurant,"3회 서울 송파 24시간 영업하는 뼈해장국 노포, 우거지 가득",정보없음,정보없음,정보없음,서울 송파구 가락로 94,,,정보없음,2026-02-02,
11,show,어디로튈지몰라,장수식당,restaurant,4회 서울 잠실 김치와 삼겹살을 철판에 볶아 먹는 김치삼겹살,정보없음,정보없음,정보없음,서울 송파구 삼전로 95,,,정보없음,2026-02-02,
12,show,어디로튈지몰라,특미관,restaurant,4회 보성 녹차 먹인 돼지고기로 만든 녹차 떡갈비,정보없음,정보없음,정보없음,전남 보성군 보성읍 봉화로 53,,,정보없음,2026-02-02,
13,show,어디로튈지몰라,부용산꼬막식당,restaurant,4회 보성 벌교 현지인이 추천하는 푸짐한 꼬막 정식 한 상,정보없음,정보없음,정보없음,전남 보성군 벌교읍 벌교천1길 49,,,정보없음,2026-02-02,
14,show,어디로튈지몰라,다강한정식,restaurant,5회 강진 상다리 부러지는 남도 한정식 (장어구이 포함),정보없음,정보없음,정보없음,전남 강진군 강진읍 중앙로 193,,,정보없음,2026-02-02,
15,show,어디로튈지몰라,THE미주농원120,restaurant,"5회 순천 닭 코스요리(닭구이, 떡갈비 등) 전문점",정보없음,정보없음,정보없음,전남 순천시 상사호길 120,,,정보없음,2026-02-02,
16,show,어디로튈지몰라,신사와칼국수,restaurant,5회 담양 쌈 싸 먹는 돈가스(쌈돈가스)와 칼국수 맛집,정보없음,정보없음,정보없음,전남 담양군 담양읍 지침6길 78-6,,,정보없음,2026-02-02,
17,show,어디로튈지몰라,서동한우,restaurant,6회 부여 국내 최초 드라이에이징(건조 숙성) 한우 전문점,정보없음,정보없음,정보없음,충남 부여군 부여읍 성왕로 256,,,정보없음,2026-02-02,
18,show,어디로튈지몰라,옛집식당,restaurant,6회 대구 1948년부터 3대째 이어오는 파 육개장 노포,정보없음,정보없음,정보없음,대구 중구 달성공원로6길 48-5,,,정보없음,2026-02-02,
19,show,어디로튈지몰라,아포국밥,restaurant,"6회 김천 돼지국밥, 잡내 없이 깔끔한 국물이 특징인 로컬 맛집",정보없음,정보없음,정보없음,경북 김천시 평화시장3길 1-1,,,정보없음,2026-02-02,
20,show,어디로튈지몰라,찐한식당,restaurant,7회 옥천 민물 생선국수(어탕국수)와 도리뱅뱅 향토 음식,정보없음,정보없음,정보없음,충북 옥천군 청산면 지전길 14,,,정보없음,2026-02-02,
21,show,어디로튈지몰라,평양냉면,restaurant,7회 공주 4대째 이어오는 메밀 향 진한 평양냉면 노포,정보없음,정보없음,정보없음,충남 공주시 미나리3길 12-5,,,정보없음,2026-02-02,
22,show,어디로튈지몰라,시골미꾸라지매운탕,restaurant,7회 청주 가마솥에 끓여내는 추어탕과 별미 미꾸라지 조림,정보없음,정보없음,정보없음,충북 청주시 흥덕구 직지대로 10,,,정보없음,2026-02-02,
23,show,어디로튈지몰라,돌판장,restaurant,"8회 서울 용산 조나단의 인생 맛집, 돌판 장어구이",정보없음,정보없음,정보없음,서울 용산구 한강대로53길 24,,,정보없음,2026-02-02,
24,show,어디로튈지몰라,위드미 약수역점,restaurant,8회 서울 약수역 조나단을 유혹한 지하철 역사 내 델리만쥬,정보없음,정보없음,정보없음,서울 중구 다산로 101-4 (약수역 내),,,정보없음,2026-02-02,
25,show,어디로튈지몰라,옛날감자전,restaurant,"8회 서울 용산 쯔양의 인생 맛집, 투박하고 고소한 감자전",정보없음,정보없음,정보없음,서울 용산구 한강대로84길 11,,,정보없음,2026-02-02,
26,show,어디로튈지몰라,소문난부부떡볶이,restaurant,"9회 청주 50년 전통 3대 떡볶이, 독특한 튀김범벅 스타일",정보없음,정보없음,정보없음,충북 청주시 상당구 상당로55번길 33,,,정보없음,2026-02-02,
27,show,어디로튈지몰라,도갈비,restaurant,"9회 제주 노형동 흑돼지, 갓김치와 멜젓의 조화가 일품",정보없음,정보없음,정보없음,제주 제주시 한라대학로 85,,,정보없음,2026-02-02,
28,show,어디로튈지몰라,황금어장,restaurant,10회 제주 연동 현지인이 추천하는 갈치조림 향토 음식점,정보없음,정보없음,정보없음,제주 제주시 사장길 14,,,정보없음,2026-02-02,
