id,sector,title,name,type,chef,address,lat,lng,date,area,user_score,review_cnt
1,전지적참견시점,전지적참견시점,횡성휴게소(강릉방향),"한우국밥, 한우스테이크",,,,,2026-02-01,횡성휴게소하행점,3.4,7
2,전지적참견시점,전지적참견시점,송화수산횟집,"송어회, 산천어",,,,,2026-02-01,화천,,
3,전지적참견시점,전지적참견시점,라모스버거,수제버거,,,,,2026-02-01,춘천,4.1,28
4,전지적참견시점,전지적참견시점,벌집칼국수,장칼국수,,,,,2026-02-01,강릉,4.5,87
5,전지적참견시점,전지적참견시점,통나무집,"산채비빔밥, 동치미",,,,,2026-02-01,양양,2.9,3
6,전지적참견시점,전지적참견시점,지운이네엄마손김,"김구이, 김부각",,,,,2026-02-01,강릉,4.0,1
7,전지적참견시점,전지적참견시점,딥버거,수제버거,,,,,2026-02-01,평창,5.0,2
8,전지적참견시점,전지적참견시점,스마일꽈배기,"꽈배기, 찹쌀꽈배기",,,,,2026-02-01,원주,,
9,전지적참견시점,전지적참견시점,대웅닭갈비막국수,"막국수, 닭갈비",,,,,2026-02-01,춘천,,
10,전지적참견시점,전지적참견시점,태백실비식당,"한우, 소고기",,,,,2026-02-01,태백,4.0,3
11,전지적참견시점,전지적참견시점,가평솥뚜껑닭볶음탕,"닭볶음탕, 솥뚜껑닭볶음탕",,,,,2026-02-01,춘천점,,
12,전지적참견시점,전지적참견시점,명랑핫도그,"핫도그, 치즈",,,,,2026-02-01,원주중앙점,,
13,전지적참견시점,전지적참견시점,홍천생고기,"고깃집, 생삼겹살",,,,,2026-02-01,홍천,,
14,전지적참견시점,전지적참견시점,왕십리곱창구이,"곱창, 곱창구이",,,,,2026-02-01,인제,,
15,전지적참견시점,전지적참견시점,홍스치킨,"통닭, 옛날통닭",,,,,2026-02-01,원주,,
