id,sector,title,name,type,chef,address,lat,lng,date,area,user_score,review_cnt
1,전지적참견시점,전지적참견시점,그집,"쭈꾸미, 쭈꾸미볶음",,,,,2026-02-01,김포,4.4,20
2,전지적참견시점,전지적참견시점,대복식당 불고기가게,"불고기, 옛날소불고기",,,,,2026-02-01,퇴촌,4.6,19
3,전지적참견시점,전지적참견시점,능골매운탕,"매운탕, 닭볶음탕",,,,,2026-02-01,파주,4.6,6
4,전지적참견시점,전지적참견시점,평원집,"순대국, 족발",,,,,2026-02-01,용인,4.2,8
5,전지적참견시점,전지적참견시점,스시정,"스시, 회전초밥",,,,,2026-02-01,인계동,3.5,4
6,전지적참견시점,전지적참견시점,오토김밥,"김밥, 닭강정",,,,,2026-02-01,수원시청점,4.9,7
7,전지적참견시점,전지적참견시점,웨스트진베이커리,"베이커리, 엘리게이터",,,,,2026-02-01,본점,4.5,10
8,전지적참견시점,전지적참견시점,이대조뼈다귀,"감자탕, 뼈해장국",,,,,2026-02-01,김포구래,4.5,2
9,전지적참견시점,전지적참견시점,솥뚜껑닭볶음탕,"닭볶음탕, 솥뚜껑닭볶음탕",,,,,2026-02-01,가평,4.2,12
10,전지적참견시점,전지적참견시점,오토김밥,"김밥, 닭강정",,,,,2026-02-01,성남시청점,5.0,1
11,전지적참견시점,전지적참견시점,앙금인절미좋은떡방,"인절미, 떡집",,,,,2026-02-01,행신,5.0,1
12,전지적참견시점,전지적참견시점,덕평소고기국밥,"소고기국밥, 소머리국밥",,,,,2026-02-01,이천,4.3,5
13,전지적참견시점,전지적참견시점,제빵소 덤,빵,,,,,2026-02-01,진접,4.6,9
14,전지적참견시점,전지적참견시점,청담동마녀김밥,"김밥, 푸드코트",,,,,2026-02-01,평촌,5.0,1
15,전지적참견시점,전지적참견시점,대독장,"김치찌개, 김치찜",,,,,2026-02-01,태재고개점,3.6,3
16,전지적참견시점,전지적참견시점,돈까스잔치,"돈까스, 잔치국수",,,,,2026-02-01,마성점,4.3,10
17,전지적참견시점,전지적참견시점,송림막창전골,"막창, 막창전골",,,,,2026-02-01,양평,,
18,전지적참견시점,전지적참견시점,착한꽈배기,"꽈배기, 찹쌀도너츠",,,,,2026-02-01,일산,4.5,5
19,전지적참견시점,전지적참견시점,참숯 불타는생고기,"삼겹살, 생고기",,,,,2026-02-01,행신동,3.0,1
20,전지적참견시점,전지적참견시점,부영장어,"장어, 장어구이",,,,,2026-02-01,경기광주,3.0,1
21,전지적참견시점,전지적참견시점,연핫도그,"핫도그, 소세지",,,,,2026-02-01,양평,4.4,55
22,전지적참견시점,전지적참견시점,안성휴게소(부산방향),"한식, 분식",,,,,2026-02-01,안성,3.8,10
23,전지적참견시점,전지적참견시점,목요일,"디저트, 캐러멜",,,,,2026-02-01,파주,,
24,전지적참견시점,전지적참견시점,착한낙지,"낙지볶음, 낙지덮밥",,,,,2026-02-01,남양주,3.5,4
25,전지적참견시점,전지적참견시점,브라더꽈배기,"꽈배기, 핫도그",,,,,2026-02-01,고양휴게소점,5.0,1
26,전지적참견시점,전지적참견시점,여흥옥,"설렁탕, 육개장",,,,,2026-02-01,여주강릉휴게소점,4.0,1
27,전지적참견시점,전지적참견시점,소리마을,"한정식, 간장게장",,,,,2026-02-01,양평,4.3,4
28,전지적참견시점,전지적참견시점,두물머리연핫도그,핫도그,,,,,2026-02-01,양평,4.2,109
29,전지적참견시점,전지적참견시점,일심본가콩요리,"두부요리, 콩요리",,,,,2026-02-01,팔당,4.1,9
30,전지적참견시점,전지적참견시점,오토김밥,"김밥, 닭강정",,,,,2026-02-01,구리점,4.0,1
31,전지적참견시점,전지적참견시점,콩심팥심,"팥죽, 콩국수",,,,,2026-02-01,김포,4.6,10
32,전지적참견시점,전지적참견시점,철탑집,닭볶음탕,,,,,2026-02-01,하남,3.0,1
33,전지적참견시점,전지적참견시점,산골농원,"닭볶음탕, 솥뚜껑닭볶음탕",,,,,2026-02-01,가평,4.0,45
34,전지적참견시점,전지적참견시점,황금코다리,"코다리, 코다리조림",,,,,2026-02-01,별내점,3.0,1
35,전지적참견시점,전지적참견시점,고봉삼계탕,"삼계탕, 상황버섯",,,,,2026-02-01,동백점,5.0,2
36,전지적참견시점,전지적참견시점,두물머리연핫도그,"핫도그, 소세지",,,,,2026-02-01,양평,4.2,15
