no,media_type,title,place_name,place_type,description,opening_hours,break_time,closed_days,address,latitude,longitude,phone,last_updated,michelin_tier
1,show,전현무계획3,옛날원대막국수,restaurant,인제 자작나무숲 인근 막국수와 곰취수육 맛집,10시 - 17시,정보없음,매주 화요일,강원 인제군 인제읍 자작나무숲길 1113,,,033-462-1515,2026-02-07,
2,show,전현무계획3,모산수제비,restaurant,들깨수제비와 얼큰이칼국수가 유명한 아산 맛집,10시 - 20시,15시 - 16시,매주 일요일,충남 아산시 배방읍 모산로 148,,,041-548-5252,2026-02-07,
3,show,전현무계획3,한일식당,restaurant,보령 소머리국밥과 수육 전문 노포,07시 - 20시,정보없음,정보없음,충남 보령시 청소면 평촌3길 15,,,041-932-9121,2026-02-07,
4,show,전현무계획3,부흥식육식당,restaurant,상주 연탄 석쇠구이와 소금구이 맛집,11시 30분 - 20시 30분,16시 - 17시,매월 2/4주 화요일,경북 상주시 남적로 6-75,,,정보없음,2026-02-07,
5,show,전현무계획3,중앙곰탕,restaurant,부산 양수백(양수육백반)이 유명한 노포,10시 - 16시,정보없음,매주 월요일,부산 중구 충장대로9번길 9,,,정보없음,2026-02-07,
6,show,전현무계획3,김유순대구뽈찜전문,restaurant,부산 대연동 대구뽈찜 전문점,11시 30분 - 21시,정보없음,정보없음,부산 남구 진남로 15,,,정보없음,2026-02-07,
7,show,전현무계획3,완도회식당,restaurant,속초 산오징어 물회와 반반물회 맛집,정보없음,정보없음,정보없음,강원 속초시 먹거리4길 21,,,정보없음,2026-02-07,
8,show,전현무계획3,신토불이감자옹심이,restaurant,속초 중앙시장 들깨감자옹심이 맛집,정보없음,정보없음,정보없음,강원 속초시 중앙로147번길 16,,,정보없음,2026-02-07,
9,show,전현무계획3,춘선네,restaurant,속초 곰치국과 가자미조림 맛집,정보없음,정보없음,정보없음,강원 속초시 청초호반로 230,,,정보없음,2026-02-07,
10,show,전현무계획3,부원면옥,restaurant,남대문시장 평양냉면과 빈대떡 맛집,정보없음,정보없음,정보없음,서울 중구 남대문시장4길 41-6,,,정보없음,2026-02-07,
11,show,전현무계획3,독박골맛있는집,restaurant,서대문 간장코다리찜과 소고기미나리전,정보없음,정보없음,정보없음,서울 서대문구 서소문로 61-7,,,정보없음,2026-02-07,
12,show,전현무계획3,이코노피자,restaurant,창원 진해 LP판 음악과 함께하는 피자집,정보없음,정보없음,정보없음,경남 창원시 진해구 충무동 25-30,,,정보없음,2026-02-07,
13,show,전현무계획3,무쇠곱창,restaurant,창원 한우 곱창구이 맛집,정보없음,정보없음,정보없음,경남 창원시 성산구 남양동 22,,,정보없음,2026-02-07,
14,show,전현무계획3,이성당,bakery,군산 단팥빵과 야채빵이 유명한 빵집,정보없음,정보없음,정보없음,전북 군산시 중앙로1가 12-2,,,정보없음,2026-02-07,
15,show,전현무계획3,할매손두부집,restaurant,상주 산초기름 두부구이 맛집,정보없음,정보없음,정보없음,경북 상주시 함창읍 구향리 169-8,,,정보없음,2026-02-07,
16,show,전현무계획3,황가네하모,restaurant,여수 하모 샤브샤브 맛집,정보없음,정보없음,정보없음,전남 여수시 남산동 27-8,,,정보없음,2026-02-07,
17,show,전현무계획3,장원회관,restaurant,광양 불고기 숯불구이 원조 노포,정보없음,정보없음,정보없음,전남 광양시 광양읍 읍내리 239-61,,,정보없음,2026-02-07,
18,show,전현무계획3,5번 친구해녀할매집,restaurant,기장 해녀촌 해산물과 장어구이,정보없음,정보없음,정보없음,부산 기장군 기장읍 대변리 245-23,,,정보없음,2026-02-07,
19,show,전현무계획3,박현지토종한우 1호점,restaurant,원태인 추천 대구 한우 맛집 (토치구이),정보없음,정보없음,정보없음,대구 수성구 지산동 1193-20,,,정보없음,2026-02-07,
20,show,전현무계획3,반야월 일송정,restaurant,대구 흑태찜(메로찜) 맛집,정보없음,정보없음,정보없음,대구 동구 율하동 43-6,,,정보없음,2026-02-07,
