no,media_type,title,place_name,place_type,description,opening_hours,break_time,closed_days,address,latitude,longitude,phone,last_updated,michelin_tier,food_category,representative_menu
1,show,천하제빵,수밀 블랑제리,bakery,1화 심사위원 만장일치 합격 빵집으로 기본 재료로 승부하는 치아바타 맛집,화-토 10:00 - 17:00,정보없음,매주 일요일/월요일,서울 구로구 중앙로 100 1층 103호,37.50639,126.8605267,정보없음,2025-02-15,,베이커리,"그린 치아바타, 소금 치아바타"
2,show,천하제빵,레브두,bakery,결이 살아있는 입체적인 '만겹 크루아상'과 쁘띠 갸또가 유명한 곳,매일 12:00 - 21:00,정보없음,연중무휴,서울 송파구 백제고분로45길 19 2층,37.5097782,127.109336,정보없음,2025-02-15,,베이커리,"만겹 크루아상, 쁘띠 갸또"
3,show,천하제빵,정남미명과 강릉본점,bakery,35년 방앗간 경력을 살려 강릉 농산물로 재료 본연의 모양을 살린 구황작물빵 맛집,매일 11:30 - 19:00,정보없음,연중무휴,강원 강릉시 경강로 2668 1층,37.7705515,128.9502005,정보없음,2025-02-15,,베이커리,구황작물빵 세트
4,show,천하제빵,푸하하크림빵,bakery,동물성 우유 생크림을 가득 채운 소금크림빵이 유명한 연남동 빵집,매일 09:30 - 22:00,정보없음,연중무휴,서울 마포구 양화로 19길 22-25 1층,37.5589475,126.9244461,정보없음,2025-02-15,,베이커리,"소금크림빵, 제주말차크림빵"
5,show,천하제빵,어글리베이커리,bakery,빵 반죽보다 속 재료가 더 많은 것으로 유명한 망원동 빵지순례 성지,수-일 12:00 - 20:00,정보없음,매주 월요일/화요일,서울 마포구 월드컵로 13길 73 1층,37.5550335,126.9060383,정보없음,2025-02-15,,베이커리,"감동의 대파빵, 말차 맘모스"
6,show,천하제빵,갈릭보이 광장시장,bakery,광장시장에 위치하며 마늘 스프레드와 트러플 오일을 더한 마늘빵이 주력,매일 10:00 - 19:30,정보없음,연중무휴,서울 종로구 창경궁로 88 1층 46호,37.5703506,127.0001135,정보없음,2025-02-15,,베이커리,"갈릭 브레드, 갈릭 크럼블"
7,show,천하제빵,1983 브레드,bakery,연탄 모양 식빵의 원조집으로 100% 우리 밀을 사용하는 곳,이전 준비 중,정보없음,정보없음,경기 고양시 일산동구 장항한강1로 21 상가동 3호,37.6936805,127.3890478,정보없음,2025-02-15,,베이커리,"1983 원조 연탄식빵, 연탄재식빵"
8,show,천하제빵,봉주르마담,bakery,블루리본 서베이에 9년 연속 선정된 제주도 빵지순례 필수 코스,매일 09:00 - 20:00,정보없음,연중무휴,제주 서귀포시 대청로 33 오름빌딩 1차 103호,33.2526933,126.503368,정보없음,2025-02-15,,베이커리,"뺑스위스, 밀푀유 앙버터"
9,show,천하제빵,솔트24,bakery,제과제빵 명인이 운영하는 크루아상 전문점으로 다양한 토핑 메뉴가 특징,매일 11:00 - 21:00,정보없음,연중무휴,서울 종로구 동숭길 36 1층,37.5798192,127.0043428,정보없음,2025-02-15,,베이커리,"플레인 크루아상, 솔트 크루아상"
10,show,천하제빵,꼼아파리,bakery,천연 발효종을 사용하며 강원도 감자를 활용한 크루아상이 시그니처인 춘천 빵집,목-일 06:00 - 10:00,정보없음,매주 월/화/수요일,강원 춘천시 동내면 거두택지길 61-3 1층,37.8550441,127.7576696,정보없음,2025-02-15,,베이커리,"감자 크루아상, 잠봉뵈르 치아바타"
