id,sector,title,name,type,chef,address,lat,lng,date,area,user_score,review_cnt
1,식객허영만의백반기행,식객허영만의백반기행,서울만두,"만두, 군만두",,,,,2026-02-01,문경,5.0,2
2,식객허영만의백반기행,식객허영만의백반기행,너구리식당,"생고기, 소고기",,,,,2026-02-01,상주,4.0,2
3,식객허영만의백반기행,식객허영만의백반기행,성전식당,"집밥, 간고등어",,,,,2026-02-01,안동,4.5,6
4,식객허영만의백반기행,식객허영만의백반기행,유정식당,"곰치국, 문어볶음",,,,,2026-02-01,울진,4.5,4
5,식객허영만의백반기행,식객허영만의백반기행,싱싱회타운,횟집,,,,,2026-02-01,울릉도,5.0,1
6,식객허영만의백반기행,식객허영만의백반기행,원조지례삼거리불고기,"흑돼지, 양념불고기",,,,,2026-02-01,김천,4.6,4
7,식객허영만의백반기행,식객허영만의백반기행,남산가든,"석쇠구이, 고추장",,,,,2026-02-01,상주,5.0,12
8,식객허영만의백반기행,식객허영만의백반기행,향춘손칼국수,손칼국수,,,,,2026-02-01,문경,5.0,1
9,식객허영만의백반기행,식객허영만의백반기행,옥동손국수,"국수, 안동국시",,,,,2026-02-01,안동,4.3,18
10,식객허영만의백반기행,식객허영만의백반기행,해리수,"해물찜, 가오리찜",,,,,2026-02-01,울진,5.0,1
11,식객허영만의백반기행,식객허영만의백반기행,서보냇가,"메기탕, 메기매운탕",,,,,2026-02-01,상주,4.0,1
12,식객허영만의백반기행,식객허영만의백반기행,삼릉고향손칼국수,"칼국수, 우리밀",,,,,2026-02-01,경주,4.1,4
13,식객허영만의백반기행,식객허영만의백반기행,백가네식당,"물회, 백반",,,,,2026-02-01,울진,4.5,2
14,식객허영만의백반기행,식객허영만의백반기행,평양냉면,평양냉면,,,,,2026-02-01,경주,3.0,3
15,식객허영만의백반기행,식객허영만의백반기행,순흥소머리국밥,"국밥, 소머리국밥",,,,,2026-02-01,영주,,
16,식객허영만의백반기행,식객허영만의백반기행,외식1번가,"한우, 소고기",,,,,2026-02-01,포항,4.2,3
17,식객허영만의백반기행,식객허영만의백반기행,중앙분식,"분식, 칼국수",,,,,2026-02-01,경주,,
18,식객허영만의백반기행,식객허영만의백반기행,수정식당,"백반, 백반집",,,,,2026-02-01,안동,,
19,식객허영만의백반기행,식객허영만의백반기행,할매문어집,"문어무침, 해물요리",,,,,2026-02-01,경주,,
20,식객허영만의백반기행,식객허영만의백반기행,한우생고기,"뭉티기, 한우생고기",,,,,2026-02-01,경산,5.0,1
21,식객허영만의백반기행,식객허영만의백반기행,기차길옆오막살이,"백숙, 정구지전",,,,,2026-02-01,김천,1.0,1
22,식객허영만의백반기행,식객허영만의백반기행,이천식당,"동태탕, 백반",,,,,2026-02-01,감포,5.0,1
23,식객허영만의백반기행,식객허영만의백반기행,너른마당,"청국장, 청국장정식",,,,,2026-02-01,영주,,
24,식객허영만의백반기행,식객허영만의백반기행,신사랑방식당,"황태, 북어",,,,,2026-02-01,구미,5.0,6
25,식객허영만의백반기행,식객허영만의백반기행,지혜횟집,"자연산회, 횟집",,,,,2026-02-01,포항,4.6,2
26,식객허영만의백반기행,식객허영만의백반기행,경주TMF한우식당,"한우, 육회비빔밥",,,,,2026-02-01,경주,,
27,식객허영만의백반기행,식객허영만의백반기행,진해식당,"차돌박이, 차돌삼합",,,,,2026-02-01,울진,,
28,식객허영만의백반기행,식객허영만의백반기행,영원식당,"칼국수, 콩나물",,,,,2026-02-01,상주,,
29,식객허영만의백반기행,식객허영만의백반기행,수라간,"한정식, 한우불고기",,,,,2026-02-01,상주,,
30,식객허영만의백반기행,식객허영만의백반기행,송내촌 산나물밥,산나물밥,,,,,2026-02-01,문경,4.1,7
31,식객허영만의백반기행,식객허영만의백반기행,영팔식육식당,"소갈비살, 소고기",,,,,2026-02-01,문경,4.9,2
32,식객허영만의백반기행,식객허영만의백반기행,제일반점,"짬뽕, 비빔짬뽕",,,,,2026-02-01,울진,3.4,25
33,식객허영만의백반기행,식객허영만의백반기행,고바우식당,"주물럭, 삼겹살",,,,,2026-02-01,포항,4.2,9
34,식객허영만의백반기행,식객허영만의백반기행,나리촌식당,"산채비빔밥, 산채정식",,,,,2026-02-01,울릉도,4.3,17
35,식객허영만의백반기행,식객허영만의백반기행,시골갈비식당,돼지갈비,,,,,2026-02-01,안동,4.3,7
36,식객허영만의백반기행,식객허영만의백반기행,수향회식당,"물회, 회덮밥",,,,,2026-02-01,포항,4.6,23
37,식객허영만의백반기행,식객허영만의백반기행,영순식당,"백반, 백반집",,,,,2026-02-01,문경,,
38,식객허영만의백반기행,식객허영만의백반기행,동일횟집,"생선회, 횟집",,,,,2026-02-01,경주,5.0,2
39,식객허영만의백반기행,식객허영만의백반기행,명가식당,"오삼불고기, 따개비밥",,,,,2026-02-01,울릉도,3.9,8
40,식객허영만의백반기행,식객허영만의백반기행,대화식당,"보리밥, 보리밥정식",,,,,2026-02-01,포항죽도시장,4.5,17
41,식객허영만의백반기행,식객허영만의백반기행,해변회식당,"물회, 백합",,,,,2026-02-01,영덕,,
42,식객허영만의백반기행,식객허영만의백반기행,의성마늘소 덕향,"한우, 백반",,,,,2026-02-01,의성,4.8,7
43,식객허영만의백반기행,식객허영만의백반기행,팔팔식당,"닭백숙, 닭불고기",,,,,2026-02-01,청송,4.4,8
44,식객허영만의백반기행,식객허영만의백반기행,보배김밥,"김밥, 우엉김밥",,,,,2026-02-01,경주,4.1,16
45,식객허영만의백반기행,식객허영만의백반기행,퇴근길숯불갈비,"고깃집, 소금구이",,,,,2026-02-01,경주,4.0,1
46,식객허영만의백반기행,식객허영만의백반기행,산동장안식당,"청국장, 석쇠불고기",,,,,2026-02-01,구미,4.4,5
47,식객허영만의백반기행,식객허영만의백반기행,경주원조콩국,"콩국, 콩국수",,,,,2026-02-01,경주,4.3,45
48,식객허영만의백반기행,식객허영만의백반기행,영덕물가자미전문점,물가자미,,,,,2026-02-01,영덕,4.7,5
49,식객허영만의백반기행,식객허영만의백반기행,화산숯불,"한우, 손두부",,,,,2026-02-01,경주,4.2,2
50,식객허영만의백반기행,식객허영만의백반기행,온정가,"국밥, 돼지곰탕",,,,,2026-02-01,포항,5.0,2
51,식객허영만의백반기행,식객허영만의백반기행,효자통닭,"찜닭, 쪼림닭",,,,,2026-02-01,안동,2.7,3
