id,sector,title,name,type,chef,address,lat,lng,date,area,user_score,review_cnt
1,식객허영만의백반기행,식객허영만의백반기행,삼릉고향손칼국수,"칼국수, 우리밀",,,,,2026-02-01,경주,4.1,4
2,식객허영만의백반기행,식객허영만의백반기행,평양냉면,평양냉면,,,,,2026-02-01,경주,3.0,3
3,식객허영만의백반기행,식객허영만의백반기행,중앙분식,"분식, 칼국수",,,,,2026-02-01,경주,,
4,식객허영만의백반기행,식객허영만의백반기행,할매문어집,"문어무침, 해물요리",,,,,2026-02-01,경주,,
5,식객허영만의백반기행,식객허영만의백반기행,이천식당,"동태탕, 백반",,,,,2026-02-01,감포,5.0,1
6,식객허영만의백반기행,식객허영만의백반기행,경주TMF한우식당,"한우, 육회비빔밥",,,,,2026-02-01,경주,,
7,식객허영만의백반기행,식객허영만의백반기행,동일횟집,"생선회, 횟집",,,,,2026-02-01,경주,5.0,2
8,식객허영만의백반기행,식객허영만의백반기행,보배김밥,"김밥, 우엉김밥",,,,,2026-02-01,경주,4.1,16
9,식객허영만의백반기행,식객허영만의백반기행,퇴근길숯불갈비,"고깃집, 소금구이",,,,,2026-02-01,경주,4.0,1
10,식객허영만의백반기행,식객허영만의백반기행,경주원조콩국,"콩국, 콩국수",,,,,2026-02-01,경주,4.3,45
11,식객허영만의백반기행,식객허영만의백반기행,화산숯불,"한우, 손두부",,,,,2026-02-01,경주,4.2,2
