id,sector,title,name,type,chef,address,lat,lng,date,area,user_score,review_cnt
1,식객허영만의백반기행,식객허영만의백반기행,천짓골식당,"돔베고기, 흑돼지",,,,,2026-02-01,서귀포,4.7,21
2,식객허영만의백반기행,식객허영만의백반기행,삼대해녀의집,"횟집, 보말칼국수",,,,,2026-02-01,성산,4.0,1
3,식객허영만의백반기행,식객허영만의백반기행,정성듬뿍 제주국,"갈치국, 각재기국",,,,,2026-02-01,제주공항근처,4.6,5
4,식객허영만의백반기행,식객허영만의백반기행,삼보식당,"갈치, 전복뚝배기",,,,,2026-02-01,서귀포,3.8,17
5,식객허영만의백반기행,식객허영만의백반기행,보람식당,"백반, 생물갈치",,,,,2026-02-01,성산,,
6,식객허영만의백반기행,식객허영만의백반기행,만덕이네,"갈치, 갈치조림",,,,,2026-02-01,성읍민속마을,3.8,17
7,식객허영만의백반기행,식객허영만의백반기행,오현불백,"밥집, 한치",,,,,2026-02-01,제주동문시장,4.4,11
8,식객허영만의백반기행,식객허영만의백반기행,나목도 식당,"두루치기, 순대국수",,,,,2026-02-01,표선,3.7,2
9,식객허영만의백반기행,식객허영만의백반기행,몰고랑식당,"몸국, 보말국",,,,,2026-02-01,서귀포,4.6,5
10,식객허영만의백반기행,식객허영만의백반기행,모슬포해안도로식당,고등어회,,,,,2026-02-01,신제주,5.0,3
11,식객허영만의백반기행,식객허영만의백반기행,돈지식당,"횟집, 한치회",,,,,2026-02-01,모슬포항,4.4,2
12,식객허영만의백반기행,식객허영만의백반기행,백마가든,"말고기, 육사시미",,,,,2026-02-01,제주시,4.0,2
13,식객허영만의백반기행,식객허영만의백반기행,막둥이해녀복순이네,"물회, 성게칼국수",,,,,2026-02-01,성산,4.5,5
14,식객허영만의백반기행,식객허영만의백반기행,복집식당,"갈치국, 갈치조림",,,,,2026-02-01,제주시,4.5,4
15,식객허영만의백반기행,식객허영만의백반기행,혼차롱식개집,한식,,,,,2026-02-01,서귀포,,
16,식객허영만의백반기행,식객허영만의백반기행,돈물국수,"콩국수, 검은콩국수",,,,,2026-02-01,제주,,
17,식객허영만의백반기행,식객허영만의백반기행,올레 할망집,"갈치국, 고사리",,,,,2026-02-01,서귀포,,
18,식객허영만의백반기행,식객허영만의백반기행,한라산아래첫마을 영농조합법인,"평양냉면, 메밀국수",,,,,2026-02-01,안덕면,4.5,26
19,식객허영만의백반기행,식객허영만의백반기행,윌라라,"피쉬앤칩스, 상어고기",,,,,2026-02-01,성산,4.2,9
20,식객허영만의백반기행,식객허영만의백반기행,원담,"갈치국, 갈치조림",,,,,2026-02-01,서귀포,,
21,식객허영만의백반기행,식객허영만의백반기행,서귀포시축협 축산물플라자,"한우, 흑우",,,,,2026-02-01,서귀포,,
