id,sector,title,name,type,chef,address,lat,lng,date,area,user_score,review_cnt
1,식객허영만의백반기행,식객허영만의백반기행,홍흥집,"소머리국밥, 한우곰탕",,,,,2026-02-01,홍성,4.8,5
2,식객허영만의백반기행,식객허영만의백반기행,혜성정육점식당,"삼겹살, 백반",,,,,2026-02-01,보은,4.7,4
3,식객허영만의백반기행,식객허영만의백반기행,한마음 냉면,"냉면, 만두",,,,,2026-02-01,대전유성구,3.2,9
4,식객허영만의백반기행,식객허영만의백반기행,홍남만두,"만두, 김치만두",,,,,2026-02-01,홍성,3.8,6
5,식객허영만의백반기행,식객허영만의백반기행,선창회마차,"횟집, 백반",,,,,2026-02-01,태안,4.5,2
6,식객허영만의백반기행,식객허영만의백반기행,꽃동산횟집,"횟집, 대하",,,,,2026-02-01,남당항,4.2,4
7,식객허영만의백반기행,식객허영만의백반기행,신정식당,"밀면, 닭수육",,,,,2026-02-01,아산,4.4,17
8,식객허영만의백반기행,식객허영만의백반기행,갑돌갈비,"갈비, 돼지갈비",,,,,2026-02-01,영동,5.0,1
9,식객허영만의백반기행,식객허영만의백반기행,광시털보신흥식당,"한우, 한우오마카세",,,,,2026-02-01,예산,5.0,1
10,식객허영만의백반기행,식객허영만의백반기행,깜상&삼식이네횟집,"횟집, 백반",,,,,2026-02-01,당진,5.0,1
11,식객허영만의백반기행,식객허영만의백반기행,꽃댕이 묵마을,한식,,,,,2026-02-01,제천,4.0,1
12,식객허영만의백반기행,식객허영만의백반기행,태화루,"짬뽕, 꼬막짬뽕",,,,,2026-02-01,보은,4.8,8
13,식객허영만의백반기행,식객허영만의백반기행,호반식당,"어죽, 민물새우",,,,,2026-02-01,예산,5.0,1
14,식객허영만의백반기행,식객허영만의백반기행,장춘관,"짬뽕, 중국집",,,,,2026-02-01,금산,4.2,3
15,식객허영만의백반기행,식객허영만의백반기행,콩대박,"콩요리, 한정식",,,,,2026-02-01,세종,5.0,2
16,식객허영만의백반기행,식객허영만의백반기행,청산가든,게요리,,,,,2026-02-01,진천,4.0,1
17,식객허영만의백반기행,식객허영만의백반기행,원조마늘순대,"순대국, 백반",,,,,2026-02-01,단양,4.5,26
18,식객허영만의백반기행,식객허영만의백반기행,실희원,"한정식, 백반",,,,,2026-02-01,충주,5.0,1
19,식객허영만의백반기행,식객허영만의백반기행,만나식당,"백반, 젓갈백반",,,,,2026-02-01,논산,3.0,3
20,식객허영만의백반기행,식객허영만의백반기행,서부식당,"김치찌게, 백반",,,,,2026-02-01,보령,4.2,2
21,식객허영만의백반기행,식객허영만의백반기행,청해식당,"칼국수, 손칼국수",,,,,2026-02-01,진천,5.0,1
22,식객허영만의백반기행,식객허영만의백반기행,남한강막국수,"막국수, 백반",,,,,2026-02-01,충주,3.9,10
