no,media_type,title,place_name,place_type,description,opening_hours,break_time,closed_days,address,latitude,longitude,phone,last_updated,michelin_tier
1,show,맛있는녀석들,오복가정식,restaurant,백반 맛집 (★4.2),정보없음,정보없음,정보없음,서울특별시,,,, 2026-01-31,
2,show,맛있는녀석들,아소정,restaurant,함흥냉면 맛집 (★4.1),정보없음,정보없음,정보없음,서울특별시,,,, 2026-01-31,
3,show,맛있는녀석들,광주식당,restaurant,청국장 맛집 (★4.0),정보없음,정보없음,정보없음,서울특별시,,,, 2026-01-31,
4,show,맛있는녀석들,가나점보돈가스,restaurant,돈가스 맛집,정보없음,정보없음,정보없음,서울특별시,,,, 2026-01-31,
5,show,맛있는녀석들,일미식당,restaurant,한식 맛집,정보없음,정보없음,정보없음,서울특별시,,,, 2026-01-31,
6,show,맛있는녀석들,동경전통육개장 설곰탕,restaurant,육개장 설렁탕 맛집,정보없음,정보없음,정보없음,서울특별시,,,, 2026-01-31,
7,show,맛있는녀석들,한강꽃데기,restaurant,꽃게 맛집,정보없음,정보없음,정보없음,서울특별시,,,, 2026-01-31,
8,show,맛있는녀석들,김영자 나주곰탕,restaurant,곰탕 맛집,정보없음,정보없음,정보없음,서울특별시,,,, 2026-01-31,
9,show,맛있는녀석들,장지녕 간장게장,restaurant,간장게장 맛집,정보없음,정보없음,정보없음,서울특별시,,,, 2026-01-31,
10,show,맛있는녀석들,호남식당,restaurant,한식 맛집,정보없음,정보없음,정보없음,서울특별시,,,, 2026-01-31,
11,show,맛있는녀석들,다락정,restaurant,한식 맛집,정보없음,정보없음,정보없음,서울특별시,,,, 2026-01-31,
12,show,맛있는녀석들,봉자마라탕,restaurant,마라탕 맛집,정보없음,정보없음,정보없음,서울특별시,,,, 2026-01-31,
13,show,맛있는녀석들,초롱이고모부대찌개,restaurant,부대찌개 맛집,정보없음,정보없음,정보없음,서울특별시,,,, 2026-01-31,
14,show,맛있는녀석들,장모님해장국,restaurant,해장국 맛집,정보없음,정보없음,정보없음,서울특별시,,,, 2026-01-31,
15,show,맛있는녀석들,길풍식당,restaurant,한식 맛집,정보없음,정보없음,정보없음,서울특별시,,,, 2026-01-31,
16,show,맛있는녀석들,자연석돌구이,restaurant,고기구이 맛집,정보없음,정보없음,정보없음,서울특별시,,,, 2026-01-31,
17,show,맛있는녀석들,와글와글 족발,restaurant,족발 맛집,정보없음,정보없음,정보없음,서울특별시,,,, 2026-01-31,
18,show,맛있는녀석들,빅토리아,restaurant,한식 맛집,정보없음,정보없음,정보없음,서울특별시,,,, 2026-01-31,
19,show,맛있는녀석들,김선생조개찜,restaurant,조개찜 맛집,정보없음,정보없음,정보없음,서울특별시,,,, 2026-01-31,
20,show,맛있는녀석들,사대분식,restaurant,분식 맛집,정보없음,정보없음,정보없음,서울특별시,,,, 2026-01-31,
