"연번","미디어타입","제목","장소명","장소타입","장소설명","영업시간","브레이크타임","휴무일","주소","위도","경도","전화번호","최종작성일"
"15273","guide","미슐랭 가이드 2025","이목 스모크다이닝","restaurant","미슐랭 셀렉티드 레스토랑.","정보없음","정보없음","정보없음","강남구 압구정로 2길 6 ,지하1층","0.0","0.0","+82 50-71341-4729","2026-01-29"
"15274","guide","미슐랭 가이드 2025","뫼밀집","restaurant","미슐랭 셀렉티드 레스토랑.","정보없음","정보없음","정보없음","해운대구 마린시티 3로 23, 오렌지 프라자 2층","0.0","0.0","+82 51-744-9944","2026-01-29"
"15275","guide","미슐랭 가이드 2025","오리지널 넘버스","restaurant","미슐랭 셀렉티드 레스토랑.","정보없음","정보없음","정보없음","강남구 도산대로 55길 24","0.0","0.0","+82 2-545-1777","2026-01-29"
"15276","guide","미슐랭 가이드 2025","진돼지곰탕","restaurant","미슐랭 셀렉티드 레스토랑.","정보없음","정보없음","정보없음","수영구 광안해변로 284번길 4, 2층","0.0","0.0","+82 50-71468-1634","2026-01-29"
"15277","guide","미슐랭 가이드 2025","평산옥","restaurant","미슐랭 셀렉티드 레스토랑.","정보없음","정보없음","정보없음","동구 초량중로 26","0.0","0.0","+82 51-468-6255","2026-01-29"
"15278","guide","미슐랭 가이드 2025","안덕","restaurant","미슐랭 셀렉티드 레스토랑.","정보없음","정보없음","정보없음","종로구 자하문로 17길 18","0.0","0.0","+82 2-723-1518","2026-01-29"
"15279","guide","미슐랭 가이드 2025","꼴라쥬","restaurant","미슐랭 셀렉티드 레스토랑.","정보없음","정보없음","정보없음","강남구 논현로 136길 11, 아난티 앳 강남 2층","0.0","0.0","+82 2-2190-4112","2026-01-29"
"15280","guide","미슐랭 가이드 2025","명보당","restaurant","미슐랭 셀렉티드 레스토랑.","정보없음","정보없음","정보없음","강남구 선릉로 158길 13-12, 3층","0.0","0.0","+82 2-511-5046","2026-01-29"
"15281","guide","미슐랭 가이드 2025","레스토랑 산","restaurant","미슐랭 셀렉티드 레스토랑.","정보없음","정보없음","정보없음","강남구 언주로 168길 6, 지하1층","0.0","0.0","+82-2-540-1729","2026-01-29"
"15282","guide","미슐랭 가이드 2025","마츠자키","restaurant","미슐랭 셀렉티드 레스토랑.","정보없음","정보없음","정보없음","수영구 수영로 582번길 10","0.0","0.0","+82 10-9433-4065","2026-01-29"
"15283","guide","미슐랭 가이드 2025","송헌집","restaurant","미슐랭 셀렉티드 레스토랑.","정보없음","정보없음","정보없음","수영구 민락로 19번길 18","0.0","0.0","+82 51-711-4648","2026-01-29"
"15284","guide","미슐랭 가이드 2025","1969 부원동 칼국수","restaurant","미슐랭 셀렉티드 레스토랑.","정보없음","정보없음","정보없음","중구 구덕로 22번길 3","0.0","0.0","+82 51-242-9909","2026-01-29"
"15285","guide","미슐랭 가이드 2025","미락슈퍼","restaurant","미슐랭 셀렉티드 레스토랑.","정보없음","정보없음","정보없음","수영구 민락본동로 31번길 46","0.0","0.0","+82 50-71371-3318","2026-01-29"
